SNO,Xdata,Ydata,Zdata
0,-38,-18,-40
1,-57,11,-5
2,-57,11,-5
3,-6,51,-7
4,24,18,19
5,24,18,19
6,-37,9,-40
7,-37,9,-40
8,-22,-24,-12
9,-18,5,-24
10,-18,5,-24
11,13,-16,9
12,43,17,-13
13,43,17,-13
14,-1,8,20
15,-1,8,20
16,32,16,6
17,14,-8,-25
18,14,-8,-25
19,-2,2,-3
20,-6,11,-10
21,-6,11,-10
22,-18,-3,-51
23,-18,-3,-51
24,20,-7,28
25,-5,-5,9
26,-5,-5,9
27,-18,23,6
28,-18,23,6
29,12,14,-20
30,15,-11,-3
31,15,-11,-3
32,-5,-2,11
33,3,3,18
34,3,3,18
35,-4,11,11
36,-4,11,11
37,-27,4,-19
38,3,-21,-18
39,3,-21,-18
40,6,-16,-8
41,-14,-10,2
42,-14,-10,2
43,-45,-12,0
44,-45,-12,0
45,-17,9,1
46,-26,34,-65
47,-26,34,-65
48,-4,-24,-48
49,-12,5,-6
50,-12,5,-6
51,-5,-19,-19
52,-5,-19,-19
53,33,-3,-4
54,21,23,-28
55,21,23,-28
56,11,-26,-32
57,-4,51,-28
58,-4,51,-28
59,22,48,11
60,22,48,11
61,2,-24,-33
62,-33,30,-28
63,-33,30,-28
64,-4,-41,-79
65,-8,24,39
66,-8,24,39
67,1,21,-1
68,1,21,-1
69,-26,-9,21
70,-1,66,81
71,-1,66,81
72,-29,-32,-68
73,49,-12,-33
74,49,-12,-33
75,-1,14,28
76,-1,14,28
77,-5,16,13
78,22,8,-27
79,22,8,-27
80,22,3,-33
81,2,-2,-9
82,2,-2,-9
83,-1,25,36
84,-1,25,36
85,1,-34,-12
86,4,26,-26
87,4,26,-26
88,-3,0,-22
89,13,28,24
90,13,28,24
91,-10,29,25
92,-10,29,25
93,-26,-20,-7
94,-15,-54,3
95,-15,-54,3
96,-10,-7,-2
97,4,18,16
98,4,18,16
99,-14,5,8
100,-14,5,8
101,-34,-17,22
102,19,26,41
103,19,26,41
104,19,-7,-43
105,-6,7,-10
106,-6,7,-10
107,4,16,4
108,4,16,4
109,17,-43,31
110,-3,-53,3
111,-3,-53,3
112,-52,10,-31
113,-52,10,-31
114,-4,34,4
115,4,30,31
116,4,30,31
117,28,-13,21
118,8,-8,-24
119,8,-8,-24
120,-38,-27,-17
121,-38,-27,-17
122,-8,-2,4
123,-6,5,-34
124,-6,5,-34
125,-9,9,-46
126,47,37,-10
127,47,37,-10
128,45,-19,-33
129,45,-19,-33
130,33,20,-37
131,37,-8,4
132,37,-8,4
133,7,0,13
134,0,-8,9
135,0,-8,9
136,-30,-38,36
137,-30,-38,36
138,-14,-34,18
139,3,12,46
140,3,12,46
141,-36,-60,-1
142,14,-14,-9
143,14,-14,-9
144,-23,-34,-47
145,-23,-34,-47
146,-25,-50,77
147,3,-22,44
148,3,-22,44
149,19,-10,-16
150,9,19,-1
151,9,19,-1
152,24,19,24
153,24,19,24
154,17,-36,17
155,25,22,41
156,25,22,41
157,-19,-22,-30
158,-22,-14,-10
159,-22,-14,-10
160,15,48,22
161,15,48,22
162,3,-31,5
163,34,19,-1
164,34,19,-1
165,-41,-12,22
166,-32,-2,-31
167,-32,-2,-31
168,-15,-18,-42
169,-15,-18,-42
170,-43,-8,4
171,-1,22,10
172,-1,22,10
173,-34,38,-34
174,-3,23,-19
175,-3,23,-19
176,3,12,1
177,3,12,1
178,13,-13,10
179,10,29,16
180,10,29,16
181,0,7,6
182,-28,21,-25
183,-28,21,-25
184,-38,6,17
185,-38,6,17
186,-13,11,4
187,-8,24,-21
188,-8,24,-21
189,13,16,-15
190,9,16,-28
191,9,16,-28
192,14,23,-32
193,14,23,-32
194,1,-19,-12
195,-1,-9,-12
196,-1,-9,-12
197,-6,4,3
198,4,33,-32
199,4,33,-32
200,4,-8,-14
201,4,-8,-14
202,-13,-8,-48
203,-41,-38,-13
204,-41,-38,-13
205,-20,14,-23
206,-20,14,-23
207,26,27,12
208,-7,-9,-19
209,-7,-9,-19
210,-4,-6,24
211,60,34,53
212,60,34,53
213,-14,-35,-51
214,-14,-35,-51
215,21,-12,7
216,-11,-16,-18
217,-11,-16,-18
218,-17,-16,9
219,-28,6,18
220,-28,6,18
221,-19,-48,-52
222,-19,-48,-52
223,2,4,-25
224,-15,10,-31
225,-15,10,-31
226,-21,-12,-2
227,34,13,-13
228,34,13,-13
229,44,-14,-25
230,44,-14,-25
231,1,-13,-7
232,5,20,-13
233,5,20,-13
234,4,-24,-15
235,17,60,-25
236,17,60,-25
237,26,35,24
238,26,35,24
239,6,18,20
240,-16,-9,45
241,-16,-9,45
242,-23,9,3
243,0,5,31
244,0,5,31
245,-2,19,-38
246,-2,19,-38
247,-9,-34,-18
248,10,31,45
249,10,31,45
250,-23,5,13
251,22,-3,10
252,22,-3,10
253,26,44,-15
254,26,44,-15
255,24,-11,-21
256,2,43,30
257,2,43,30
258,-12,18,-4
259,-10,9,37
260,-10,9,37
261,-17,36,0
262,-17,36,0
263,-49,-13,-19
264,-15,-28,21
265,-15,-28,21
266,10,-28,9
267,17,-63,-9
268,17,-63,-9
269,36,23,-60
270,36,23,-60
271,-15,-19,-25
272,-11,26,21
273,-11,26,21
274,-34,-48,-16
275,-13,51,-11
276,-13,51,-11
277,-17,9,-13
278,-17,9,-13
279,-3,44,-15
280,-31,-42,-3
281,-31,-42,-3
282,-16,44,-39
283,4,-26,3
284,4,-26,3
285,-26,25,-23
286,-26,25,-23
287,11,-53,-9
288,2,31,8
289,2,31,8
290,9,-87,-35
291,9,-87,-35
292,7,-7,15
293,4,-14,-4
294,4,-14,-4
295,-15,-34,-58
296,-28,-12,-51
297,-28,-12,-51
298,16,6,-3
299,16,6,-3
300,2,-1,5
301,17,45,25
302,17,45,25
303,0,-73,-18
304,22,73,-18
305,22,73,-18
306,0,-47,-28
307,0,-47,-28
308,-6,57,-22
309,-1,5,5
310,-1,5,5
311,-3,4,-33
312,24,-6,19
313,24,-6,19
314,-20,50,50
315,-20,50,50
316,8,-50,-11
317,-23,22,-22
318,-23,22,-22
319,-11,-32,31
320,-8,26,-19
321,-8,26,-19
322,-18,9,28
323,-18,9,28
324,22,-18,19
325,-14,17,-32
326,-14,17,-32
327,-15,6,13
328,8,-2,-22
329,8,-2,-22
330,24,27,1
331,24,27,1
332,-24,2,5
333,-22,26,17
334,-22,26,17
335,-41,3,25
336,-29,22,14
337,-29,22,14
338,8,2,-22
339,8,2,-22
340,23,20,-47
341,-30,3,20
342,-30,3,20
343,-8,-4,-16
344,-10,17,-8
345,-10,17,-8
346,-9,-2,1
347,-9,-2,1
348,-5,-44,15
349,15,-43,-14
350,15,-43,-14
351,-25,-18,-34
352,-11,-13,4
353,-11,-13,4
354,-56,39,27
355,-56,39,27
356,1,-24,27
357,-13,28,-11
358,-13,28,-11
359,-17,8,-7
360,-15,35,37
361,-15,35,37
362,-2,31,2
363,-2,31,2
364,-13,20,-21
365,-3,22,-11
366,-3,22,-11
367,11,10,-12
368,-14,22,-43
369,-14,22,-43
370,-1,-20,-34
371,-1,-20,-34
372,-24,1,-55
373,12,-6,7
374,12,-6,7
375,-14,-3,-33
376,-26,45,-1
377,-26,45,-1
378,21,19,27
379,21,19,27
380,6,5,-10
381,19,11,32
382,19,11,32
383,-33,-22,-22
384,-33,-22,-22
385,8,-2,21
386,-2,47,27
387,-2,47,27
388,12,8,37
389,10,28,18
390,10,28,18
391,-3,-11,-50
392,-3,-11,-50
393,-23,-57,-17
394,-37,22,-4
395,-37,22,-4
396,-27,-14,-59
397,-54,34,-18
398,-54,34,-18
399,-41,0,1
400,-41,0,1
401,-16,-24,6
402,11,5,67
403,11,5,67
404,-36,-48,25
405,-47,0,15
406,-47,0,15
407,-7,5,18
408,-7,5,18
409,-9,-40,-84
410,7,33,15
411,7,33,15
412,13,-14,-36
413,4,-13,5
414,4,-13,5
415,-2,36,23
416,-2,36,23
417,12,-24,-29
418,-44,36,19
419,-44,36,19
420,-10,34,-35
421,17,-14,-46
422,17,-14,-46
423,-9,42,10
424,-9,42,10
425,24,15,0
426,30,23,8
427,30,23,8
428,19,1,-28
429,20,13,-10
430,20,13,-10
431,10,13,47
432,10,13,47
433,-4,-32,-52
434,-7,8,-58
435,-7,8,-58
436,-34,-51,-28
437,-11,-6,-41
438,-11,-6,-41
439,-14,9,5
440,-14,9,5
441,11,-15,7
442,5,-14,47
443,5,-14,47
444,22,-33,30
445,3,-8,-15
446,3,-8,-15
447,2,3,-17
448,2,3,-17
449,32,4,-21
450,0,6,-13
451,0,6,-13
452,11,-5,-36
453,32,-7,-8
454,32,-7,-8
455,-11,-27,-26
456,-11,-27,-26
457,11,4,-32
458,-1,-12,-7
459,-1,-12,-7
460,-15,-15,18
461,32,8,-28
462,32,8,-28
463,7,-33,36
464,7,-33,36
465,9,-24,31
466,-15,-5,40
467,-15,-5,40
468,-21,-11,-29
469,-39,9,48
470,-39,9,48
471,-21,1,56
472,-21,1,56
473,3,-7,-45
474,7,13,-9
475,7,13,-9
476,-11,-26,17
477,-11,-26,17
478,-2,-33,24
479,2,30,-17
480,2,30,-17
481,-12,-3,7
482,16,34,-27
483,16,34,-27
484,-23,59,-14
485,-23,59,-14
486,-12,-12,-18
487,13,34,13
488,13,34,13
489,-2,-33,-12
490,-29,-11,-9
491,-29,-11,-9
492,-17,16,-46
493,-17,16,-46
494,-13,-2,6
495,-6,2,-12
496,-6,2,-12
497,2,26,-43
498,-27,-16,-1
499,-27,-16,-1
500,30,19,56
501,30,19,56
502,13,-19,-1
503,19,12,8
504,19,12,8
505,-3,-4,-9
506,-33,-9,-24
507,-33,-9,-24
508,2,6,-31
509,2,6,-31
510,34,15,-21
511,32,-38,31
512,32,-38,31
513,1,-4,0
514,26,-55,24
515,26,-55,24
516,-8,18,8
517,-8,18,8
518,-5,13,-23
519,21,-15,-33
520,21,-15,-33
521,-15,16,4
522,-28,19,-22
523,-28,19,-22
524,-29,6,7
525,-29,6,7
526,-16,13,-40
527,2,-47,-2
528,2,-47,-2
529,9,21,-27
530,12,5,-16
531,12,5,-16
532,-14,12,20
533,-14,12,20
534,19,2,-7
535,-2,32,-36
536,-2,32,-36
537,-13,31,2
538,-41,26,15
539,-41,26,15
540,-33,-30,21
541,-33,-30,21
542,22,-17,24
543,17,-13,-16
544,17,-13,-16
545,-5,-14,26
546,-7,1,-36
547,-7,1,-36
548,-10,-1,16
549,-10,-1,16
550,-10,3,-35
551,-4,23,2
552,-4,23,2
553,7,-14,34
