SNO,Xdata,Ydata,Zdata
0,11,37,18
1,3,15,-48
2,3,15,-48
3,-11,35,-46
4,-11,35,-46
5,11,9,-45
6,-19,4,-1
7,-19,4,-1
8,-23,-15,46
9,-4,9,-20
10,-4,9,-20
11,-12,16,37
12,-12,16,37
13,-47,29,-12
14,-45,-77,-4
15,-45,-77,-4
16,-3,40,24
17,14,-46,33
18,14,-46,33
19,-21,15,58
20,-21,15,58
21,-7,-2,-15
22,3,4,-11
23,3,4,-11
24,5,18,29
25,31,32,29
26,31,32,29
27,16,60,-3
28,16,60,-3
29,-11,31,18
30,17,-53,-4
31,17,-53,-4
32,-3,-13,23
33,1,14,40
34,1,14,40
35,4,34,43
36,4,34,43
37,-19,20,17
38,11,1,-15
39,11,1,-15
40,29,48,41
41,-33,-54,23
42,-33,-54,23
43,-22,-31,42
44,-22,-31,42
45,-22,-26,11
46,-32,-26,-22
47,-32,-26,-22
48,-42,-9,17
49,-18,18,-3
50,-18,18,-3
51,-14,0,-36
52,-14,0,-36
53,-40,24,17
54,-3,8,-7
55,-3,8,-7
56,28,9,-5
57,-6,0,-4
58,-6,0,-4
59,-35,-55,41
60,-35,-55,41
61,-14,-49,-20
62,-39,-63,-26
63,-39,-63,-26
64,-29,58,21
65,-26,-37,-3
66,-26,-37,-3
67,-48,-21,-37
68,-48,-21,-37
69,-10,24,21
70,-35,38,-33
71,-35,38,-33
72,-44,-19,-35
73,-21,-39,-35
74,-21,-39,-35
75,-32,-7,-24
76,-32,-7,-24
77,-16,25,22
78,3,56,17
79,3,56,17
80,33,78,6
81,-15,29,3
82,-15,29,3
83,-22,-1,39
84,-22,-1,39
85,-16,-51,-28
86,-15,0,-33
87,-15,0,-33
88,5,-56,-10
89,6,50,-42
90,6,50,-42
91,-67,-51,-14
92,-67,-51,-14
93,-37,-20,4
94,-8,-12,15
95,-8,-12,15
96,-18,10,-78
97,-18,10,-78
98,-11,-47,-58
99,-43,-34,-31
100,-43,-34,-31
101,18,-3,-14
102,14,7,-4
103,14,7,-4
