SNO,Xdata,Ydata,Zdata
0,18,14,-17
1,18,14,-17
2,2,17,-3
3,-6,25,-31
4,-6,25,-31
5,37,18,-10
6,0,-15,-8
7,0,-15,-8
8,8,-26,-4
9,8,-26,-4
10,1,-3,40
11,-13,-21,49
12,-13,-21,49
13,5,-15,52
14,17,-20,-29
15,17,-20,-29
16,34,-33,-6
17,34,-33,-6
18,-5,10,-35
19,-24,26,-22
20,-24,26,-22
21,12,-12,33
22,-11,29,-38
23,-11,29,-38
24,-32,-19,6
25,-32,-19,6
26,12,24,-10
27,14,0,30
28,14,0,30
29,31,35,-30
30,10,-26,-45
31,10,-26,-45
32,14,17,-11
33,14,17,-11
34,14,-1,29
35,-22,7,-29
36,-22,7,-29
37,-9,-6,21
38,-2,-26,2
39,-2,-26,2
40,-30,-18,28
41,-30,-18,28
42,-2,21,34
43,14,32,15
44,14,32,15
45,5,55,-18
46,5,55,-18
47,8,-14,1
48,23,9,3
49,23,9,3
50,-11,-11,-31
51,-2,-17,-74
52,-2,-17,-74
53,-28,-20,-57
54,-28,-20,-57
55,-6,27,-55
56,-14,-47,-3
57,-14,-47,-3
58,-19,-10,31
59,9,19,-5
60,9,19,-5
61,-5,-8,-12
62,-5,-8,-12
63,-30,7,-51
64,-8,-10,-20
65,-8,-10,-20
66,20,-2,-29
67,-13,4,-40
68,-13,4,-40
69,-4,8,-24
70,-4,8,-24
71,24,32,11
72,-1,-4,-9
73,-1,-4,-9
74,-15,-15,1
75,0,-26,19
76,0,-26,19
77,4,-23,28
78,4,-23,28
79,-40,-32,86
80,10,-5,26
81,10,-5,26
82,42,22,41
83,-14,20,-12
84,-14,20,-12
85,-6,-17,-18
86,-6,-17,-18
87,-22,28,-46
88,17,-6,-47
89,17,-6,-47
90,1,-15,-14
91,17,-5,19
92,17,-5,19
93,-2,-38,-8
94,-2,-38,-8
95,8,-30,-19
96,-26,-12,22
97,-26,-12,22
98,23,-19,24
99,12,1,-7
100,12,1,-7
101,2,-38,-48
102,2,-38,-48
103,1,1,3
104,1,21,-57
105,1,21,-57
106,27,-18,-26
107,-1,-20,-24
108,-1,-20,-24
109,-3,1,-24
110,-3,1,-24
111,21,-16,-9
112,-9,1,4
113,-9,1,4
114,19,-22,-8
115,22,14,24
116,22,14,24
117,-21,-26,-7
118,-21,-26,-7
119,-23,24,9
120,-1,-9,7
121,-1,-9,7
122,8,-15,38
123,-27,-12,-21
124,-27,-12,-21
125,-15,-13,-20
126,-15,-13,-20
127,17,3,23
128,9,6,-37
129,9,6,-37
130,-6,-20,6
131,-6,-20,6
132,16,15,41
133,1,-27,26
134,1,-27,26
135,20,4,-6
136,29,16,-32
137,29,16,-32
138,33,-15,-13
139,33,-15,-13
140,44,26,3
141,16,-7,-36
142,16,-7,-36
143,-4,33,1
144,-20,-21,1
145,-20,-21,1
146,-16,0,7
147,-16,0,7
148,7,14,-17
149,12,7,-19
150,12,7,-19
151,21,7,-10
152,12,30,-36
153,12,30,-36
154,-5,-30,4
155,-5,-30,4
156,19,25,-16
157,-10,7,1
158,-10,7,1
159,-28,33,36
160,7,-7,-39
161,7,-7,-39
162,9,36,-33
163,9,36,-33
164,9,18,12
165,-18,24,-4
166,-18,24,-4
167,4,-26,23
168,10,34,-10
169,10,34,-10
170,-6,-10,-56
171,-6,-10,-56
172,15,1,-40
173,17,-12,11
174,17,-12,11
175,29,5,36
176,-3,-47,-34
177,-3,-47,-34
178,16,4,-17
179,16,4,-17
180,-8,-33,13
181,-23,-3,-8
182,-23,-3,-8
183,-22,-39,-19
184,7,-3,-32
185,7,-3,-32
186,2,-32,-48
187,2,-32,-48
188,-22,11,27
189,-19,-4,-30
190,-19,-4,-30
191,16,19,15
192,12,-19,1
193,12,-19,1
194,-3,21,12
195,-3,21,12
196,5,-13,31
197,-12,29,4
198,-12,29,4
199,-4,-21,23
200,17,53,30
201,17,53,30
202,-4,-21,-6
203,-4,-21,-6
204,9,39,4
205,-25,-42,-13
206,-25,-42,-13
207,-12,16,3
208,-11,2,-1
209,-11,2,-1
210,-14,32,2
211,-14,32,2
212,34,-29,18
213,8,4,7
214,8,4,7
215,-23,-61,-16
216,-23,-61,-16
217,0,-17,-22
218,-3,-42,-15
219,-3,-42,-15
220,-25,14,35
221,-18,-9,-11
222,-18,-9,-11
223,-21,-30,-10
224,-21,-30,-10
225,-35,-36,23
226,17,12,60
227,17,12,60
228,2,-15,-20
229,16,17,-2
230,16,17,-2
231,-28,-13,-22
232,-28,-13,-22
233,4,20,19
234,27,5,18
235,27,5,18
236,5,2,-2
237,0,-17,-2
238,0,-17,-2
239,-25,-10,30
240,-25,-10,30
241,-2,-3,5
242,-12,24,-10
243,-12,24,-10
244,16,27,15
245,2,47,-5
246,2,47,-5
247,-9,4,-5
248,-9,4,-5
249,17,29,8
250,7,33,-15
251,7,33,-15
252,-30,-16,-6
253,-18,3,-14
254,-18,3,-14
255,-21,-3,10
256,-21,-3,10
257,10,26,-11
258,-1,-6,-5
259,-1,-6,-5
260,-2,24,16
261,-26,-43,-6
262,-26,-43,-6
263,-24,-24,30
264,-24,-24,30
265,-27,-36,-28
266,18,29,-25
267,18,29,-25
268,11,-30,-5
269,48,53,-20
270,48,53,-20
271,10,1,14
272,10,1,14
273,9,42,-36
274,-11,-18,2
275,-11,-18,2
276,-17,41,16
277,33,-27,-20
278,33,-27,-20
279,-7,53,-34
280,-7,53,-34
281,7,-35,-7
