SNO,Xdata,Ydata,Zdata
0,3,148,-7
1,23,-152,19
2,23,-152,19
3,29,153,-6
4,8,-99,-7
5,8,-99,-7
6,-10,97,-37
7,-1,-27,5
8,-1,-27,5
9,-7,60,-20
10,-7,60,-20
11,35,-50,-54
12,6,77,17
13,6,77,17
14,14,-75,13
15,32,71,-58
16,32,71,-58
17,-7,-51,41
18,-7,-51,41
19,29,48,-57
20,-15,-61,43
21,-15,-61,43
22,31,62,-58
23,-47,-22,74
24,-47,-22,74
25,2,43,13
26,2,43,13
27,-16,-58,11
28,-10,35,35
29,-10,35,35
30,-9,-2,17
31,3,-24,20
32,3,-24,20
33,8,4,-30
34,8,4,-30
35,9,-13,-23
36,-8,-44,2
37,-8,-44,2
38,-2,5,0
39,0,-58,-9
40,0,-58,-9
41,36,15,0
42,36,15,0
43,32,1,7
44,-10,31,61
45,-10,31,61
46,0,6,28
47,-1,-11,-26
48,-1,-11,-26
49,-13,-21,15
50,-13,-21,15
51,-15,45,-7
52,-21,-11,4
53,-21,-11,4
54,-10,16,-45
55,0,-40,-30
56,0,-40,-30
57,18,-11,-16
58,18,-11,-16
59,20,-19,-30
60,31,13,-32
61,31,13,-32
62,9,7,-8
63,8,30,16
64,8,30,16
65,21,-33,28
66,21,-33,28
67,4,0,0
68,22,18,-23
69,22,18,-23
70,-4,-11,-13
71,-4,-11,-13
72,2,-3,-24
73,25,33,1
74,25,33,1
75,-8,19,-54
76,32,9,6
77,32,9,6
78,-7,-40,26
79,-7,-40,26
80,7,-1,-30
81,9,-5,31
82,9,-5,31
83,22,22,7
84,20,-4,29
85,20,-4,29
86,26,-5,39
87,26,-5,39
88,-5,-32,24
89,2,21,-4
90,2,21,-4
91,19,-28,-41
92,-8,10,0
93,-8,10,0
94,-16,22,-32
95,-16,22,-32
96,-7,-27,4
97,6,33,-18
98,6,33,-18
99,-18,-18,11
100,18,2,32
101,18,2,32
102,-11,22,27
103,-11,22,27
104,2,-45,-32
105,34,53,14
106,34,53,14
107,6,-29,-86
108,1,-13,17
109,1,-13,17
110,2,17,-30
111,2,17,-30
112,0,-8,-59
113,25,-29,12
114,25,-29,12
115,12,37,-70
116,33,-43,-17
117,33,-43,-17
118,14,63,31
119,14,63,31
120,13,-45,-89
121,27,32,5
122,27,32,5
123,-8,11,-3
124,12,24,-47
125,12,24,-47
126,-1,30,-52
127,-1,30,-52
128,-5,38,0
129,-20,-13,13
130,-20,-13,13
131,16,64,-4
132,33,-5,-35
133,33,-5,-35
134,10,1,13
135,10,1,13
136,7,28,8
137,-4,-31,8
138,-4,-31,8
139,25,1,-25
140,33,-10,20
141,33,-10,20
142,6,5,40
143,6,5,40
144,33,22,-15
145,16,-15,11
146,16,-15,11
147,-14,19,-9
148,18,18,-7
149,18,18,-7
150,8,-35,-14
151,8,-35,-14
152,-16,5,-46
153,-41,-50,27
154,-41,-50,27
155,6,-50,7
156,14,-27,5
157,14,-27,5
158,1,-9,12
159,1,-9,12
160,-10,-34,-19
161,50,8,68
162,50,8,68
163,19,-4,27
164,19,-4,27
165,11,21,10
166,1,4,-1
167,1,4,-1
168,-13,-48,-41
169,52,34,34
170,52,34,34
171,8,-32,20
172,8,-32,20
173,17,18,9
174,18,-19,6
175,18,-19,6
176,2,-15,12
177,37,11,-7
178,37,11,-7
179,11,-2,13
180,11,-2,13
181,0,-5,-1
182,1,18,-32
183,1,18,-32
184,-21,-22,-45
185,17,19,-8
186,17,19,-8
187,15,7,23
188,15,7,23
189,-3,-41,-27
190,1,26,8
191,1,26,8
192,-13,18,-9
193,-15,-17,33
194,-15,-17,33
195,14,-18,14
196,14,-18,14
197,22,-3,0
198,13,-8,17
199,13,-8,17
200,-4,1,5
201,32,-33,-27
202,32,-33,-27
203,-7,-6,33
204,-7,-6,33
205,-34,18,34
206,17,-15,42
207,17,-15,42
208,16,18,-4
209,-2,-12,-35
210,-2,-12,-35
211,-7,19,19
212,-7,19,19
213,29,2,-10
214,30,5,9
215,30,5,9
216,31,-15,-5
217,11,10,-20
218,11,10,-20
219,62,-9,48
220,62,-9,48
221,27,22,59
222,35,-12,9
223,35,-12,9
224,-1,-5,-34
225,-11,17,-33
226,-11,17,-33
227,20,-4,-10
228,20,-4,-10
229,-19,-3,16
230,-16,22,13
231,-16,22,13
232,-40,-37,3
233,-4,27,-44
234,-4,27,-44
235,4,-51,-30
236,4,-51,-30
237,-30,-5,-56
238,24,4,-12
239,24,4,-12
240,-8,-41,8
241,29,-12,-49
242,29,-12,-49
243,9,9,21
244,9,9,21
245,-6,16,-9
246,-5,40,12
247,-5,40,12
248,3,-9,-2
249,3,-9,-2
250,11,54,-60
251,12,-26,23
252,12,-26,23
253,14,4,6
254,18,27,-6
255,18,27,-6
256,-23,7,-8
257,-23,7,-8
258,7,11,-30
259,-5,-12,37
260,-5,-12,37
261,7,-11,14
262,4,44,19
263,4,44,19
264,25,29,-9
265,25,29,-9
266,-15,-20,-25
267,-20,34,0
268,-20,34,0
269,10,-6,-6
270,6,9,28
271,6,9,28
272,11,5,35
273,11,5,35
274,21,13,7
275,-4,2,47
276,-4,2,47
277,-27,4,41
278,26,-4,0
279,26,-4,0
280,20,5,55
281,20,5,55
282,26,-14,9
283,-4,-7,56
284,-4,-7,56
285,-2,25,34
286,13,3,-3
287,13,3,-3
288,-28,-12,47
289,-28,-12,47
290,-13,11,-28
291,-28,5,22
292,-28,5,22
293,-2,22,54
294,-9,-12,-4
295,-9,-12,-4
296,1,-2,61
297,1,-2,61
298,-16,21,10
299,-4,-15,-15
300,-4,-15,-15
301,33,7,38
302,11,-8,25
303,11,-8,25
304,-29,-20,-50
305,-29,-20,-50
306,3,20,5
307,37,-24,-45
308,37,-24,-45
309,2,17,-8
310,7,50,-17
311,7,50,-17
312,-27,-39,32
313,-27,-39,32
314,9,60,-26
315,32,-10,6
