SNO,Xdata,Ydata,Zdata
0,-2,15,-21
1,-2,15,-21
2,-46,-36,-19
3,-15,-30,-9
4,-15,-30,-9
5,14,2,3
6,-6,-20,-1
7,-6,-20,-1
8,-43,-8,-51
9,-43,-8,-51
10,-25,-49,-14
11,-21,14,19
12,-21,14,19
13,-23,2,-25
14,-25,24,2
15,-25,24,2
16,-36,33,10
17,-36,33,10
18,-3,3,6
19,-9,-10,-5
20,-9,-10,-5
21,-51,32,-59
22,-55,18,-12
23,-55,18,-12
24,-46,-22,-45
25,-46,-22,-45
26,18,25,-13
27,11,1,-34
28,11,1,-34
29,5,6,-33
30,-45,-31,11
31,-45,-31,11
32,12,16,32
33,12,16,32
34,-41,-54,-13
35,-31,-10,-15
36,-31,-10,-15
37,-25,-13,24
38,-17,9,32
39,-17,9,32
40,-12,-30,-9
41,-12,-30,-9
42,-31,-10,-68
43,-26,10,42
44,-26,10,42
45,3,15,-6
46,-37,-22,-20
47,-37,-22,-20
48,-26,13,-16
49,-26,13,-16
50,-28,-9,2
51,20,-6,-34
52,20,-6,-34
53,-41,44,-24
54,-32,-30,-1
55,-32,-30,-1
56,-23,30,7
57,-23,30,7
58,-5,22,31
59,1,-3,-9
60,1,-3,-9
61,-3,7,-20
62,-31,21,6
63,-31,21,6
64,-23,8,-6
65,-23,8,-6
66,1,-23,25
67,-14,9,8
68,-14,9,8
69,-26,18,-29
70,-26,18,-29
71,-32,5,-14
72,-17,10,52
73,-17,10,52
74,-10,-13,16
75,-29,-31,7
76,-29,-31,7
77,-24,-6,-11
78,-24,-6,-11
79,-8,14,-12
80,-14,27,39
81,-14,27,39
82,-7,-46,-9
83,14,5,-1
84,14,5,-1
85,-1,11,-10
86,-1,11,-10
87,26,10,-11
88,-23,-3,6
89,-23,-3,6
90,-5,-18,29
91,-1,-28,-32
92,-1,-28,-32
93,-25,35,-1
94,-25,35,-1
95,-16,-6,-7
96,12,-13,-35
97,12,-13,-35
98,-20,-39,-22
99,-1,6,2
100,-1,6,2
101,-53,17,-2
102,-53,17,-2
103,-32,-6,22
104,-45,23,15
105,-45,23,15
106,-34,22,-33
107,-12,44,-18
108,-12,44,-18
109,-30,-32,-2
110,-30,-32,-2
111,2,18,9
112,-20,-29,28
113,-20,-29,28
114,-10,-8,16
115,-1,-34,-2
116,-1,-34,-2
117,16,-28,-12
118,16,-28,-12
119,-5,-28,-28
120,-7,-18,-10
121,-7,-18,-10
122,-36,-11,20
123,-34,-14,-25
124,-34,-14,-25
125,-48,9,45
126,-48,9,45
127,-45,-15,27
128,-37,11,2
129,-37,11,2
130,12,7,-6
131,0,-11,14
132,0,-11,14
133,-19,7,13
134,-19,7,13
135,-29,-20,-1
136,-23,41,-23
137,-23,41,-23
138,-13,18,-27
139,-24,21,23
