SNO,Xdata,Ydata,Zdata
0,3,-185,-135
1,3,-185,-135
2,18,283,64
3,18,283,64
4,21,-147,-41
5,-67,10,101
6,-67,10,101
7,49,124,65
8,-14,-194,-29
9,-14,-194,-29
10,-46,166,52
11,-46,166,52
12,29,-71,16
13,-22,-50,36
14,-22,-50,36
15,19,122,-12
16,-15,-155,-92
17,-15,-155,-92
18,-29,64,-28
19,-29,64,-28
20,29,33,111
21,-5,-132,-106
22,-5,-132,-106
23,-17,64,101
24,24,-21,-21
25,24,-21,-21
26,-53,-85,-14
27,-53,-85,-14
28,13,133,105
29,25,-189,-163
30,25,-189,-163
31,-34,142,107
32,51,8,48
33,51,8,48
34,-61,-10,-144
35,-61,-10,-144
36,16,48,223
37,25,-1,-122
38,25,-1,-122
39,-77,-76,-19
40,114,110,91
41,114,110,91
42,-51,-144,-42
43,-51,-144,-42
44,58,113,16
45,8,-110,37
46,8,-110,37
47,-49,17,-94
48,22,-2,123
49,22,-2,123
50,-16,-79,-147
51,-16,-79,-147
52,-39,-44,62
53,0,100,-14
54,0,100,-14
55,-11,-139,-30
56,6,134,83
57,6,134,83
58,67,-91,-85
59,67,-91,-85
60,-35,60,23
61,28,92,50
62,28,92,50
63,26,-157,-17
64,-6,114,79
65,-6,114,79
66,38,-60,-46
67,38,-60,-46
68,-66,1,-31
69,24,41,41
70,24,41,41
71,-35,-137,-15
72,-33,76,-15
73,-33,76,-15
74,17,-87,100
75,17,-87,100
76,-24,9,-69
77,3,78,127
78,3,78,127
79,44,-112,58
80,-9,33,-73
81,-9,33,-73
82,25,112,95
83,25,112,95
84,30,-112,-121
85,-17,119,57
86,-17,119,57
87,58,11,-53
88,58,11,-53
89,-18,-57,-17
90,-10,167,-20
91,-10,167,-20
92,-11,-245,-44
93,-26,157,73
94,-26,157,73
95,28,-108,15
96,28,-108,15
97,7,-39,-60
98,0,94,58
99,0,94,58
100,-11,-128,16
101,-13,43,-96
102,-13,43,-96
103,-3,26,92
104,-3,26,92
105,23,-102,-97
106,15,105,70
107,15,105,70
108,-29,-45,68
109,-27,-41,-196
110,-27,-41,-196
111,-27,157,137
112,-27,157,137
113,3,-183,-98
114,-46,108,48
115,-46,108,48
116,15,13,-2
117,-35,-102,-51
118,-35,-102,-51
119,-22,211,40
120,-22,211,40
121,2,-185,24
122,-58,36,49
123,-58,36,49
124,12,61,21
125,7,-159,-105
126,7,-159,-105
127,7,159,12
128,7,159,12
129,30,-143,55
130,-25,1,-67
131,-25,1,-67
132,-31,95,91
133,5,-89,-90
134,5,-89,-90
135,-26,56,-21
136,-26,56,-21
137,0,35,65
138,21,-144,-132
139,21,-144,-132
140,-18,149,99
141,71,-108,-54
142,71,-108,-54
143,-18,19,6
144,-18,19,6
145,60,131,65
146,-8,-174,-66
147,-8,-174,-66
148,-4,235,27
149,62,-120,16
150,62,-120,16
151,-69,-7,-14
152,-69,-7,-14
153,28,108,55
154,10,-227,0
155,10,-227,0
156,-63,84,-77
157,42,-12,111
158,42,-12,111
159,-15,-74,-1
160,-15,-74,-1
161,11,136,9
162,34,-103,6
163,34,-103,6
164,-41,-40,-94
165,49,154,120
166,49,154,120
167,17,-152,-120
168,17,-152,-120
169,-34,171,57
170,58,41,46
171,58,41,46
172,-61,-172,-76
173,-41,238,174
174,-41,238,174
175,49,-137,-70
176,49,-137,-70
177,7,89,-17
178,39,54,38
179,39,54,38
180,-47,-222,-27
181,-47,-222,-27
182,35,174,12
183,11,-71,5
184,11,-71,5
185,-19,33,-129
186,24,70,140
187,24,70,140
188,-42,-169,-58
189,-42,-169,-58
190,-36,24,-49
191,25,109,72
192,25,109,72
193,-8,-158,-172
194,6,189,145
195,6,189,145
196,55,-88,-8
197,55,-88,-8
198,-50,3,-5
199,55,189,70
200,55,189,70
201,39,-178,-61
202,-31,157,78
203,-31,157,78
204,34,-55,-57
205,34,-55,-57
206,-24,-82,-50
207,37,194,-8
208,37,194,-8
209,3,-165,-70
210,-30,114,-2
211,-30,114,-2
212,33,20,96
213,33,20,96
214,34,-89,-144
215,30,137,83
216,30,137,83
217,-22,-75,15
218,-10,-46,-115
219,-10,-46,-115
220,-5,121,132
221,-5,121,132
222,12,-97,-147
223,-49,127,38
224,-49,127,38
225,23,12,-15
226,-24,-90,-91
227,-24,-90,-91
228,-11,239,54
229,-11,239,54
230,54,-170,24
231,-48,87,95
232,-48,87,95
233,-4,42,13
234,-1,-200,-33
235,-1,-200,-33
236,-13,232,67
237,-13,232,67
238,52,-159,31
239,-41,16,-3
240,-41,16,-3
241,15,95,40
242,23,-93,-49
243,23,-93,-49
244,-37,56,-14
245,-37,56,-14
246,5,44,122
247,-19,-126,-158
248,-19,-126,-158
249,-35,136,115
250,47,-89,-75
251,47,-89,-75
252,-44,-4,22
253,-44,-4,22
254,42,80,104
255,18,-189,-147
256,18,-189,-147
257,-29,137,-4
258,60,-110,37
259,60,-110,37
260,-40,-52,-59
261,-40,-52,-59
262,13,126,27
263,-4,-134,-40
264,-4,-134,-40
265,-52,133,-54
266,-52,133,-54
267,30,-31,23
268,-63,-74,-40
269,-63,-74,-40
270,-44,130,62
271,19,-132,-10
272,19,-132,-10
