SNO,Xdata,Ydata,Zdata
0,17,11,-31
1,45,-18,-39
2,45,-18,-39
3,-10,10,-38
4,-10,10,-38
5,-8,-1,-34
6,-11,39,46
7,-11,39,46
8,-42,-28,11
9,1,68,4
10,1,68,4
11,-9,-11,-51
12,-9,-11,-51
13,13,7,-9
14,1,-3,24
15,1,-3,24
16,-8,5,-36
17,-24,-8,-40
18,-24,-8,-40
19,-11,14,-12
20,-11,14,-12
21,13,14,33
22,8,20,-7
23,8,20,-7
24,29,6,15
25,45,6,-5
26,45,6,-5
27,22,-20,-12
28,22,-20,-12
29,30,-13,32
30,16,15,-21
31,16,15,-21
32,7,39,-18
33,20,48,27
34,20,48,27
35,-5,-2,-15
36,-5,-2,-15
37,2,-20,40
38,8,20,-13
39,8,20,-13
40,-21,-31,-3
41,-13,38,-19
42,-13,38,-19
43,-9,-28,-22
44,-9,-28,-22
45,-22,-14,-18
46,-8,23,20
47,-8,23,20
48,36,9,-22
49,-1,-21,11
50,-1,-21,11
51,1,6,-27
52,1,6,-27
53,3,-54,61
54,23,24,-9
55,23,24,-9
56,-21,-52,-42
57,-6,-7,-20
58,-6,-7,-20
59,4,4,55
60,4,4,55
61,-19,-22,34
62,14,-8,27
63,14,-8,27
64,30,-5,-7
65,-14,-22,69
66,-14,-22,69
67,-24,-9,25
68,-24,-9,25
69,2,-17,-23
70,-6,4,-33
71,-6,4,-33
72,-25,-16,-47
73,-25,-16,-47
74,40,5,-18
75,-32,5,-39
76,-32,5,-39
77,8,-35,-16
78,-18,5,-11
79,-18,5,-11
80,-6,-19,-30
81,-6,-19,-30
82,6,5,12
83,23,-24,-20
84,23,-24,-20
85,29,-19,3
86,-20,22,29
87,-20,22,29
88,-15,-26,-40
89,-15,-26,-40
90,19,-11,-5
91,6,11,-29
92,6,11,-29
93,-16,-33,-32
94,-6,39,-23
95,-6,39,-23
96,2,-30,-23
97,2,-30,-23
98,-2,-40,-19
99,-15,51,33
100,-15,51,33
101,-9,12,5
102,7,30,-29
103,7,30,-29
104,-2,17,7
105,-2,17,7
106,43,34,22
107,7,3,-26
108,7,3,-26
109,24,-5,-14
110,-5,-14,-7
111,-5,-14,-7
112,24,1,-10
113,24,1,-10
114,19,1,18
115,32,1,-23
116,32,1,-23
117,12,-20,-28
118,24,38,13
119,24,38,13
120,2,17,7
121,2,17,7
122,23,-23,11
123,16,-2,-29
124,16,-2,-29
125,48,1,-34
126,-13,6,-35
127,-13,6,-35
128,3,19,-21
129,3,19,-21
130,-12,-2,-22
131,6,10,12
132,6,10,12
133,10,22,-46
134,8,-9,-19
135,8,-9,-19
136,24,4,3
137,24,4,3
138,11,-13,60
139,-2,8,20
140,-2,8,20
141,-9,-62,-14
142,28,36,-16
143,28,36,-16
144,-10,-1,-14
145,-10,-1,-14
146,42,6,-23
147,3,-3,11
148,3,-3,11
149,15,15,-1
150,9,-12,1
151,9,-12,1
152,-35,36,2
153,-35,36,2
154,-24,29,-37
155,-33,36,-6
156,-33,36,-6
157,6,-17,-1
158,5,2,5
159,5,2,5
160,-37,-2,16
161,-37,-2,16
162,32,2,32
163,23,-32,1
164,23,-32,1
165,22,36,29
166,22,36,29
167,-35,-19,33
168,5,38,27
169,5,38,27
170,-2,12,-28
171,9,27,3
172,9,27,3
173,-2,11,-36
174,-2,11,-36
175,-15,6,-5
176,24,-20,6
177,24,-20,6
178,51,-4,-15
179,11,-31,23
180,11,-31,23
181,20,17,-2
182,20,17,-2
183,4,9,-10
184,5,0,-56
185,5,0,-56
186,0,9,-7
187,-11,-14,33
188,-11,-14,33
189,29,39,28
190,29,39,28
191,2,5,-29
192,-28,20,-1
193,-28,20,-1
194,-3,7,42
195,-22,-37,8
196,-22,-37,8
197,-15,-4,-16
198,-15,-4,-16
199,-24,16,-1
200,0,2,-21
201,0,2,-21
202,27,34,19
203,18,4,-14
204,18,4,-14
205,-5,19,33
206,-5,19,33
207,7,-21,-27
208,5,8,-22
209,5,8,-22
210,25,6,-11
211,23,11,-7
212,23,11,-7
213,0,6,7
214,0,6,7
215,-12,2,38
216,-16,-4,40
217,-16,-4,40
218,9,23,58
219,-9,8,-33
220,-9,8,-33
221,8,18,-14
222,8,18,-14
223,16,-22,-46
224,26,25,-34
225,26,25,-34
226,49,-3,22
227,1,-27,-18
228,1,-27,-18
229,15,20,9
230,15,20,9
231,11,-9,-23
232,39,7,22
233,39,7,22
234,28,4,14
235,-12,0,-25
236,-12,0,-25
237,6,-15,17
238,6,-15,17
239,15,-20,21
240,-15,-11,-16
241,-15,-11,-16
242,24,-48,-7
243,11,32,-4
244,11,32,-4
245,-30,-29,-16
246,-30,-29,-16
247,5,17,-16
248,19,-24,-11
249,19,-24,-11
250,18,17,17
251,-7,-11,-2
252,-7,-11,-2
253,4,33,37
254,4,33,37
255,27,5,19
256,7,6,-21
257,7,6,-21
258,7,21,-19
259,7,21,-19
260,17,-7,-21
261,6,-15,-14
262,6,-15,-14
263,17,6,-54
264,-23,-27,-38
265,-23,-27,-38
266,-11,21,37
267,-11,21,37
268,-10,-26,-26
269,54,14,0
270,54,14,0
271,24,-9,9
272,-1,10,-58
273,-1,10,-58
274,15,-5,-8
275,15,-5,-8
276,-4,-25,-49
277,11,16,-5
278,11,16,-5
279,4,6,35
280,20,-23,50
281,20,-23,50
282,38,4,31
283,38,4,31
284,33,-16,-6
285,9,17,-12
286,9,17,-12
287,0,-1,-40
288,-20,-18,-8
289,-20,-18,-8
290,-7,5,-17
291,-7,5,-17
292,-21,4,-4
293,-19,6,10
294,-19,6,10
295,1,-9,-43
296,-16,-9,30
297,-16,-9,30
298,35,25,40
299,35,25,40
300,-8,-47,-32
301,9,2,3
302,9,2,3
303,3,9,1
304,-24,-26,-17
305,-24,-26,-17
306,2,14,-8
307,2,14,-8
308,-14,-34,-7
309,-6,-1,-9
310,-6,-1,-9
311,-6,2,-9
312,36,-12,12
313,36,-12,12
314,19,12,-9
315,19,12,-9
316,12,-8,-19
317,7,8,23
318,7,8,23
319,-17,38,-28
320,-1,-22,-16
321,-1,-22,-16
322,17,38,5
323,17,38,5
324,14,-33,5
325,1,9,2
326,1,9,2
327,4,2,-67
328,-13,-34,-37
329,-13,-34,-37
330,-11,43,11
331,-11,43,11
332,-23,9,-29
333,10,-8,-25
334,10,-8,-25
335,13,31,1
336,-22,-28,-21
337,-22,-28,-21
338,22,-6,10
339,22,-6,10
340,41,-5,-1
341,-9,9,24
342,-9,9,24
343,31,-35,19
344,31,-35,19
345,-10,39,8
346,-19,-26,-10
347,-19,-26,-10
348,-22,46,-4
349,-1,-36,-20
350,-1,-36,-20
351,34,27,5
352,34,27,5
353,6,-39,-22
354,34,-9,21
355,34,-9,21
356,23,-11,-19
357,-11,-3,2
358,-11,-3,2
359,6,-1,-52
360,6,-1,-52
361,-2,-1,-36
362,26,-5,14
363,26,-5,14
364,33,24,-43
365,0,-23,10
366,0,-23,10
367,29,45,0
368,29,45,0
369,-37,-38,-3
370,22,16,-10
371,22,16,-10
372,8,5,-57
373,3,-2,-35
374,3,-2,-35
375,-9,31,34
376,-9,31,34
377,-4,-20,-4
378,9,-5,0
379,9,-5,0
380,10,-10,-6
381,21,-15,57
382,21,-15,57
383,13,14,14
384,13,14,14
385,18,-22,-38
386,11,46,-41
387,11,46,-41
388,-21,22,-31
389,54,-26,-1
390,54,-26,-1
391,9,16,-15
392,9,16,-15
393,-7,-31,-51
394,18,-3,-6
395,18,-3,-6
396,26,0,-34
397,14,-68,-41
398,14,-68,-41
399,20,32,-14
400,20,32,-14
401,17,1,-10
402,-13,-10,-34
403,-13,-10,-34
404,7,18,-30
405,15,-2,-6
406,15,-2,-6
407,40,-2,14
408,40,-2,14
409,6,-9,40
410,24,13,38
411,24,13,38
412,19,9,37
413,25,1,-18
414,25,1,-18
415,17,25,21
416,17,25,21
417,18,28,51
418,32,5,28
419,32,5,28
420,7,44,-4
421,15,-17,-20
422,15,-17,-20
423,-6,25,8
424,-6,25,8
425,-9,-1,-10
426,-22,-3,7
427,-22,-3,7
428,-5,21,18
429,-12,3,-20
430,-12,3,-20
431,15,12,-6
432,15,12,-6
433,16,13,9
434,22,-13,26
435,22,-13,26
436,-3,25,3
437,-3,25,3
438,18,-9,-23
439,6,26,3
440,6,26,3
441,2,-10,-4
442,8,-3,-4
443,8,-3,-4
444,3,10,-29
445,3,10,-29
446,15,-8,11
447,12,-16,-9
448,12,-16,-9
449,-17,-47,35
450,-7,-25,19
451,-7,-25,19
452,-16,0,-2
453,-16,0,-2
454,9,-6,-20
455,8,24,-51
456,8,24,-51
457,-26,25,-15
458,-17,4,-40
459,-17,4,-40
460,17,50,-3
461,17,50,-3
462,1,-15,-17
463,17,-10,9
464,17,-10,9
465,19,16,30
466,29,-50,-2
467,29,-50,-2
468,41,1,-5
469,41,1,-5
470,16,-20,6
471,41,48,6
472,41,48,6
473,58,-32,-12
474,40,3,-62
475,40,3,-62
476,-10,14,35
477,-10,14,35
478,25,18,22
479,4,-40,-7
480,4,-40,-7
481,-14,-2,-4
482,-4,-39,-15
483,-4,-39,-15
484,-12,15,15
485,-12,15,15
486,-16,-21,25
487,2,-45,-20
488,2,-45,-20
489,23,3,-7
490,14,-29,-8
491,14,-29,-8
492,33,-12,13
493,33,-12,13
494,20,12,7
495,20,-4,-40
496,20,-4,-40
497,20,12,0
498,7,-18,-34
499,7,-18,-34
500,-23,8,1
501,-23,8,1
502,20,-1,2
503,34,-6,-16
504,34,-6,-16
505,13,4,15
506,6,-16,3
507,6,-16,3
508,4,-23,-29
509,4,-23,-29
510,-5,1,-41
511,5,-20,27
512,5,-20,27
513,33,10,14
514,36,-9,4
515,36,-9,4
516,-7,-20,32
517,-7,-20,32
518,21,5,22
519,21,8,-21
520,21,8,-21
521,3,4,-9
522,-4,7,-17
523,-4,7,-17
524,-7,-19,-41
525,-7,-19,-41
526,15,5,21
527,7,-8,-6
528,7,-8,-6
529,9,24,15
530,9,24,15
531,2,-10,-17
532,16,16,-44
533,16,16,-44
534,39,2,-18
535,-22,4,-9
536,-22,4,-9
537,-3,-12,49
538,-3,-12,49
539,-14,33,41
540,4,-28,60
541,4,-28,60
542,13,10,-17
543,6,-4,-11
544,6,-4,-11
545,-42,15,16
546,-42,15,16
547,16,8,-30
548,-7,4,-54
549,-7,4,-54
550,-19,27,-29
551,18,19,-26
552,18,19,-26
553,27,-7,-6
554,27,-7,-6
555,34,8,30
556,18,-32,37
557,18,-32,37
558,11,-10,52
559,31,-5,20
560,31,-5,20
561,-3,0,-8
562,-3,0,-8
563,0,14,5
564,-5,-25,24
565,-5,-25,24
566,15,19,2
567,-18,4,-35
568,-18,4,-35
569,-21,18,-1
570,-21,18,-1
571,37,-10,-4
572,16,-12,-26
573,16,-12,-26
574,16,6,27
575,-5,-3,-1
576,-5,-3,-1
577,-16,20,9
578,-16,20,9
579,-3,31,-15
580,6,-28,-25
581,6,-28,-25
582,17,-12,-20
583,33,-31,-25
584,33,-31,-25
585,-10,-3,-9
586,-10,-3,-9
587,0,-19,-34
588,-8,42,21
589,-8,42,21
590,6,-26,-53
591,1,15,-72
592,1,15,-72
593,-3,-2,-18
594,-3,-2,-18
595,22,30,8
596,23,-34,20
597,23,-34,20
598,11,23,-14
599,11,-1,33
600,11,-1,33
601,-15,19,7
602,-15,19,7
603,-31,25,-9
604,-7,0,-1
