SNO,Xdata,Ydata,Zdata
4355,23,-31,-13
4356,25,-19,-26
4357,25,-19,-26
4358,-15,-22,31
4359,0,10,17
4360,0,10,17
4361,-12,-13,25
4362,-12,-13,25
4363,2,34,-21
4364,-24,-7,-15
4365,-24,-7,-15
4366,-10,17,-14
4367,-10,17,-14
4368,0,5,20
4369,32,23,2
4370,32,23,2
4371,18,-13,-17
4372,27,19,-21
4373,27,19,-21
4374,31,-29,-16
4375,31,-29,-16
4376,-1,-10,30
4377,-8,8,-14
4378,-8,8,-14
4379,30,6,-3
4380,20,-27,5
4381,20,-27,5
4382,5,-14,-23
4383,5,-14,-23
4384,-19,-24,-41
4385,-19,-21,5
4386,-19,-21,5
4387,34,-23,22
4388,2,11,4
4389,2,11,4
4390,1,-14,6
4391,1,-14,6
4392,4,-3,-22
4393,23,9,-15
4394,23,9,-15
4395,4,12,-25
4396,15,4,9
4397,15,4,9
4398,-13,-16,-20
4399,-13,-16,-20
4400,-8,17,-25
4401,-5,6,8
4402,-5,6,8
4403,17,30,-38
4404,16,-10,-2
4405,16,-10,-2
4406,14,36,15
4407,14,36,15
4408,29,-32,7
4409,-13,33,-15
4410,-13,33,-15
4411,-18,11,-65
4412,14,17,-2
4413,14,17,-2
4414,4,-4,-26
4415,4,-4,-26
4416,-17,22,-15
4417,13,-25,10
4418,13,-25,10
4419,34,-16,7
4420,14,-10,-22
4421,14,-10,-22
4422,15,34,-13
4423,15,34,-13
4424,-1,-13,-65
4425,1,31,4
4426,1,31,4
4427,24,-25,-19
4428,34,-17,22
4429,34,-17,22
4430,7,16,22
4431,7,16,22
4432,17,18,-48
4433,24,-7,-11
4434,24,-7,-11
4435,-5,11,-37
4436,8,-23,-36
4437,8,-23,-36
4438,8,-23,-22
4439,8,-23,-22
4440,-26,-21,4
4441,14,-35,10
4442,14,-35,10
4443,35,32,33
4444,0,6,6
4445,0,6,6
4446,20,13,-3
4447,20,13,-3
4448,-9,11,-11
4449,10,9,33
4450,10,9,33
4451,-10,12,18
4452,-10,12,18
4453,-12,-18,-18
4454,38,-33,-26
4455,38,-33,-26
4456,14,22,-27
4457,-8,-8,-3
4458,-8,-8,-3
4459,3,18,3
4460,3,18,3
4461,8,6,-10
4462,18,-11,9
4463,18,-11,9
4464,-14,-8,-8
4465,5,-42,-12
4466,5,-42,-12
4467,3,14,-4
4468,3,14,-4
4469,-17,-1,-11
4470,-29,15,13
4471,-29,15,13
4472,-5,30,6
4473,-20,27,-2
4474,-20,27,-2
4475,13,13,37
4476,13,13,37
4477,19,26,-16
4478,3,-28,-7
4479,3,-28,-7
4480,-1,-20,-3
4481,-2,14,-8
4482,-2,14,-8
4483,37,34,16
4484,37,34,16
4485,13,23,-45
4486,9,-10,-34
4487,9,-10,-34
4488,23,-48,-28
4489,24,38,9
4490,24,38,9
4491,16,6,34
4492,16,6,34
4493,-3,22,8
4494,-23,-5,7
4495,-23,-5,7
4496,-15,-28,-14
4497,34,17,-2
4498,34,17,-2
4499,19,-4,-35
4500,19,-4,-35
4501,25,20,-8
4502,20,5,5
4503,20,5,5
4504,4,6,-14
4505,-2,-51,-56
4506,-2,-51,-56
4507,0,-34,-27
4508,0,-34,-27
4509,27,-28,15
4510,-17,-7,44
4511,-17,-7,44
4512,1,-12,33
4513,11,-2,2
4514,11,-2,2
4515,2,3,8
4516,2,3,8
4517,-25,22,45
4518,5,-6,1
4519,5,-6,1
4520,-3,7,-3
4521,-10,-15,-13
4522,-10,-15,-13
4523,6,-1,-3
4524,6,-1,-3
4525,-6,-19,-20
4526,1,1,18
4527,1,1,18
4528,-29,-15,6
4529,5,-17,3
4530,5,-17,3
4531,27,10,-3
4532,27,10,-3
4533,31,8,-15
4534,20,-1,32
4535,20,-1,32
4536,14,27,13
4537,14,27,13
4538,32,-3,2
4539,43,9,-16
4540,43,9,-16
4541,20,12,-3
4542,1,-17,-19
4543,1,-17,-19
4544,13,10,-8
4545,13,10,-8
4546,-4,-40,-1
4547,20,8,-33
4548,20,8,-33
4549,30,5,-12
4550,-15,4,-20
4551,-15,4,-20
4552,12,9,8
4553,12,9,8
4554,-1,-13,-10
4555,-2,-1,25
4556,-2,-1,25
4557,-14,-4,3
4558,11,6,-13
4559,11,6,-13
4560,-3,-19,16
4561,-3,-19,16
4562,-7,-6,-5
4563,13,0,15
4564,13,0,15
4565,6,-5,-32
4566,14,-6,30
4567,14,-6,30
4568,9,1,11
4569,9,1,11
4570,8,-11,-1
4571,-5,-12,22
4572,-5,-12,22
4573,-2,19,4
4574,30,24,-13
4575,30,24,-13
4576,-2,-11,-28
4577,-2,-11,-28
4578,15,17,-27
4579,11,6,-4
4580,11,6,-4
4581,-13,16,-9
4582,-32,0,0
4583,-32,0,0
4584,11,-20,22
4585,11,-20,22
4586,-5,-18,1
4587,-4,8,0
4588,-4,8,0
4589,32,40,18
4590,-1,-33,25
4591,-1,-33,25
4592,30,22,11
4593,30,22,11
4594,27,30,-8
4595,1,14,39
4596,1,14,39
4597,0,-2,12
4598,22,2,-47
4599,22,2,-47
4600,12,-25,-38
4601,12,-25,-38
4602,24,-31,-20
4603,25,-19,-27
4604,25,-19,-27
4605,-24,-4,-49
4606,10,0,19
4607,10,0,19
4608,11,18,5
4609,11,18,5
4610,0,1,26
4611,0,-13,37
4612,0,-13,37
4613,8,-5,16
4614,40,11,-19
4615,40,11,-19
4616,23,4,5
4617,23,4,5
4618,22,-29,14
4619,-4,-2,-14
4620,-4,-2,-14
4621,15,3,19
4622,15,3,19
4623,3,15,-63
4624,-8,15,8
4625,-8,15,8
4626,-21,20,49
4627,-2,-4,-15
4628,-2,-4,-15
4629,17,-7,-19
4630,17,-7,-19
4631,-3,-28,-7
4632,32,-7,36
4633,32,-7,36
4634,39,-28,9
4635,-3,-14,-47
4636,-3,-14,-47
4637,-18,-15,-14
4638,-18,-15,-14
4639,3,5,9
4640,23,-12,7
4641,23,-12,7
4642,10,-9,-17
4643,-3,11,-26
4644,-3,11,-26
