SNO,Xdata,Ydata,Zdata
0,6,27,1
1,-7,-42,3
2,-7,-42,3
3,9,1,-36
4,-13,-10,12
5,-13,-10,12
6,14,8,-12
7,14,8,-12
8,40,9,-8
9,19,17,17
10,19,17,17
11,-16,-30,-36
12,26,5,33
13,26,5,33
14,12,-33,12
15,12,-33,12
16,12,-19,30
17,8,-22,43
18,8,-22,43
19,5,-16,11
20,-2,-41,-23
21,-2,-41,-23
22,-35,15,7
23,-35,15,7
24,0,-9,-16
25,19,23,-1
26,19,23,-1
27,-18,7,5
28,-34,7,12
29,-34,7,12
30,6,44,-20
31,6,44,-20
32,-9,16,-34
33,-26,0,9
34,-26,0,9
35,13,9,-1
36,-11,-53,-35
37,-11,-53,-35
38,-28,-8,-47
39,-28,-8,-47
40,20,16,-5
41,25,-35,27
42,25,-35,27
43,15,34,-17
44,-2,28,-27
45,-2,28,-27
46,-4,-2,-7
47,-4,-2,-7
48,20,21,-38
49,-3,-3,-8
50,-3,-3,-8
51,-2,21,-6
52,5,31,-1
53,5,31,-1
54,-15,21,9
55,-15,21,9
56,40,24,1
57,5,20,5
58,5,20,5
59,14,3,-14
60,3,8,3
61,3,8,3
62,-5,-2,-9
63,-5,-2,-9
64,-15,-16,-30
65,5,-31,-29
66,5,-31,-29
67,28,-28,2
68,21,14,3
69,21,14,3
70,-22,33,8
71,-22,33,8
72,-8,-10,3
73,13,-4,19
74,13,-4,19
75,8,20,17
76,8,21,-9
77,8,21,-9
78,-6,-6,-27
79,-6,-6,-27
80,-10,-13,-44
81,-10,4,-58
82,-10,4,-58
83,5,-9,3
84,5,-39,-18
85,5,-39,-18
86,4,-22,-20
87,4,-22,-20
88,11,-1,-2
89,12,-22,-26
90,12,-22,-26
91,-8,13,-18
92,-8,13,-18
93,21,18,-2
94,25,21,3
95,25,21,3
96,-21,11,-27
97,27,12,6
98,27,12,6
99,9,-1,-50
100,9,-1,-50
101,-21,-10,-17
102,5,-40,-1
103,5,-40,-1
104,39,-13,24
105,1,-5,-16
106,1,-5,-16
107,-4,-19,13
108,-4,-19,13
109,-17,25,14
110,0,15,33
111,0,15,33
112,-2,24,-39
113,-15,-19,27
114,-15,-19,27
115,6,6,36
116,6,6,36
117,6,18,-19
118,19,6,7
119,19,6,7
120,-1,3,16
121,-12,-36,-9
122,-12,-36,-9
123,-11,11,54
124,-11,11,54
125,-6,20,11
126,5,-11,5
127,5,-11,5
128,20,3,25
129,-3,-1,22
130,-3,-1,22
131,9,-1,35
132,9,-1,35
133,-9,22,-16
134,-23,7,-5
135,-23,7,-5
136,-10,-11,-9
137,-9,-1,-17
138,-9,-1,-17
139,0,-28,3
140,0,-28,3
141,-3,0,-18
142,-10,-9,35
143,-10,-9,35
144,-5,2,13
145,18,-1,-13
146,18,-1,-13
147,3,8,33
148,3,8,33
149,-2,14,-25
150,-13,-8,21
151,-13,-8,21
152,-13,-12,-20
153,34,26,-8
154,34,26,-8
155,11,-6,-16
156,11,-6,-16
157,9,-5,-21
158,-1,-56,-19
159,-1,-56,-19
160,-19,0,3
161,24,-13,8
162,24,-13,8
163,12,5,-11
164,12,5,-11
165,0,-22,-18
166,29,26,-21
167,29,26,-21
168,23,-7,-15
169,32,49,-13
170,32,49,-13
171,17,5,78
172,17,5,78
173,-5,19,-30
174,-9,-15,-17
175,-9,-15,-17
176,3,20,35
177,3,20,35
178,26,-14,29
179,-2,11,12
180,-2,11,12
181,-1,-31,-16
182,-10,24,-24
183,-10,24,-24
184,-14,24,-42
185,-14,24,-42
186,-2,6,-60
187,4,-1,-31
188,4,-1,-31
189,24,33,-10
190,-7,-24,25
191,-7,-24,25
192,-25,-6,46
193,-25,-6,46
194,-21,-35,17
195,20,-15,29
196,20,-15,29
197,-15,-1,-5
198,-16,16,-12
199,-16,16,-12
200,-11,-14,-4
201,-11,-14,-4
202,15,-6,-9
203,-10,14,-13
204,-10,14,-13
205,-24,6,-17
206,-15,-45,13
207,-15,-45,13
208,-15,-29,-7
209,-15,-29,-7
210,-20,16,-3
211,-29,3,-32
212,-29,3,-32
213,7,28,-5
214,11,19,-37
215,11,19,-37
216,-3,-1,10
217,-3,-1,10
218,5,-18,26
219,-8,-9,-25
220,-8,-9,-25
221,10,-20,-15
222,3,21,-16
223,3,21,-16
224,9,-14,-2
225,9,-14,-2
226,10,-4,-22
227,3,0,-3
228,3,0,-3
229,-33,16,48
230,5,-40,-21
231,5,-40,-21
232,9,-17,5
233,9,-17,5
234,-12,11,45
235,29,19,28
236,29,19,28
237,20,-5,10
238,29,-13,-38
239,29,-13,-38
240,16,-21,-16
241,16,-21,-16
242,18,17,-36
243,25,7,2
244,25,7,2
245,1,-3,16
246,22,-39,1
247,22,-39,1
248,2,-9,-2
249,2,-9,-2
250,13,3,5
251,-21,-17,-13
252,-21,-17,-13
253,-2,20,7
254,-12,3,-27
255,-12,3,-27
256,27,-6,-10
257,27,-6,-10
258,-8,-13,-3
259,26,-14,-17
260,26,-14,-17
261,1,-21,-2
262,32,-25,-5
263,32,-25,-5
264,28,1,21
265,28,1,21
266,-8,39,6
267,13,-7,2
268,13,-7,2
269,-17,-9,7
270,-17,-9,7
271,8,3,-35
272,33,-2,14
273,33,-2,14
274,12,25,13
275,-5,29,1
276,-5,29,1
277,4,14,12
278,4,14,12
279,0,12,1
280,-32,-9,9
281,-32,-9,9
282,16,-14,28
283,19,-5,1
284,19,-5,1
285,-11,37,-7
286,-11,37,-7
287,0,-21,-30
288,-10,50,36
289,-10,50,36
290,14,-19,4
291,19,-28,-5
292,19,-28,-5
293,31,-14,-39
294,31,-14,-39
295,-4,50,43
296,-2,0,15
297,-2,0,15
298,14,29,-10
299,-8,-9,-30
300,-8,-9,-30
301,-21,8,-24
302,-21,8,-24
303,0,-31,13
304,7,-5,-18
305,7,-5,-18
306,11,-1,51
307,11,8,-5
308,11,8,-5
309,5,-26,5
310,5,-26,5
311,29,0,26
312,-27,-28,6
313,-27,-28,6
314,8,0,-6
315,-10,11,19
316,-10,11,19
317,-1,49,26
318,-1,49,26
319,43,25,-24
320,-13,-14,-65
321,-13,-14,-65
322,-2,-28,-33
323,1,1,8
324,1,1,8
325,-7,-13,-16
326,-7,-13,-16
327,-10,2,-50
328,11,13,32
329,11,13,32
330,27,-24,-4
331,-3,24,-24
332,-3,24,-24
333,7,-1,-36
334,7,-1,-36
335,27,1,-11
336,-1,-13,-35
337,-1,-13,-35
338,-30,-11,36
339,-18,-33,33
340,-18,-33,33
341,15,29,14
342,15,29,14
343,26,-8,19
344,46,18,-19
345,46,18,-19
346,10,5,-4
347,1,26,-35
348,1,26,-35
349,6,-3,26
350,6,-3,26
351,7,34,-10
352,-30,10,-30
353,-30,10,-30
354,34,3,24
355,34,3,24
356,29,-32,-13
357,11,12,-33
358,11,12,-33
359,-2,-10,-65
360,-12,27,-49
361,-12,27,-49
362,-9,-7,22
363,-9,-7,22
364,-12,15,-6
365,-13,-42,23
366,-13,-42,23
367,-9,33,50
368,-8,5,11
369,-8,5,11
370,16,7,12
371,16,7,12
372,-24,-8,-15
373,1,-20,-8
374,1,-20,-8
375,-4,-30,30
376,-11,5,29
377,-11,5,29
378,-18,-22,-18
379,-18,-22,-18
380,-6,18,-14
381,32,-8,15
382,32,-8,15
383,2,17,53
384,18,-35,29
385,18,-35,29
386,-17,21,-21
387,-17,21,-21
388,-5,27,17
389,36,-12,-26
390,36,-12,-26
391,14,21,-23
392,-2,-14,-3
393,-2,-14,-3
394,2,19,-28
395,2,19,-28
396,9,-21,14
397,-7,-17,-5
398,-7,-17,-5
399,-26,-16,26
400,-8,21,-39
401,-8,21,-39
402,-9,-19,-16
403,-9,-19,-16
404,4,-10,-25
405,-12,11,-14
406,-12,11,-14
407,-20,-17,-35
408,-21,6,8
409,-21,6,8
410,-3,9,6
411,-3,9,6
412,20,-3,-4
413,-27,10,-16
414,-27,10,-16
415,-35,7,18
416,-2,21,25
417,-2,21,25
418,-9,-27,-19
419,-9,-27,-19
420,-3,12,-3
421,-6,-9,-40
422,-6,-9,-40
423,-7,-7,29
424,-5,-66,-4
425,-5,-66,-4
426,-1,-8,0
427,-1,-8,0
428,4,0,8
429,10,13,-12
430,10,13,-12
431,-16,-21,3
432,-40,2,12
433,-40,2,12
434,-8,8,-2
435,-8,8,-2
436,-11,28,-21
437,15,19,8
438,15,19,8
439,13,-6,-5
440,2,9,23
441,2,9,23
442,34,-41,29
443,34,-41,29
444,32,-49,35
445,31,34,30
446,31,34,30
447,4,-16,1
448,4,-16,1
449,9,-33,-42
450,10,-5,-24
451,10,-5,-24
452,-18,18,-15
453,6,-13,-16
454,6,-13,-16
455,-24,-1,9
456,-24,-1,9
457,13,9,-16
458,18,5,8
459,18,5,8
460,45,35,25
461,3,12,-34
462,3,12,-34
463,-10,11,-38
464,-10,11,-38
465,3,-17,-26
466,-21,-1,8
467,-21,-1,8
468,-24,18,-32
469,1,-20,-38
470,1,-20,-38
471,-7,-34,-51
472,-7,-34,-51
473,9,4,1
474,2,0,-41
475,2,0,-41
476,32,32,-11
477,33,-5,-20
478,33,-5,-20
479,23,10,-9
480,23,10,-9
481,0,-3,-4
482,24,-50,-36
483,24,-50,-36
484,25,35,21
485,-1,-29,-16
486,-1,-29,-16
487,-19,-15,-13
488,-19,-15,-13
489,5,-17,20
490,5,-18,0
491,5,-18,0
492,18,-18,13
493,31,51,-7
494,31,51,-7
495,-5,-5,-8
496,-5,-5,-8
497,13,-10,-9
498,11,-15,-30
499,11,-15,-30
500,-8,-35,-40
501,-13,-2,0
502,-13,-2,0
503,15,46,-7
504,15,46,-7
505,-8,-7,-11
506,3,32,34
507,3,32,34
508,3,-16,-26
509,15,10,8
510,15,10,8
511,1,3,29
512,1,3,29
513,-21,7,-13
514,3,-18,36
515,3,-18,36
516,2,24,19
517,45,6,-8
518,45,6,-8
519,-11,9,-9
520,-11,9,-9
521,6,-2,-2
522,-3,8,12
523,-3,8,12
524,-6,-2,17
525,-4,-17,0
526,-4,-17,0
527,-1,-20,-24
528,-1,-20,-24
529,39,-17,-9
530,-2,-17,-31
531,-2,-17,-31
532,-43,-39,-23
533,-43,-39,-23
534,-32,-6,4
535,12,-12,3
536,12,-12,3
537,39,-2,4
538,3,-41,20
539,3,-41,20
540,15,10,-6
541,15,10,-6
542,-6,-29,23
543,20,-21,11
544,20,-21,11
545,31,-1,32
546,-18,16,-8
547,-18,16,-8
548,5,-17,-16
549,5,-17,-16
550,39,54,-27
551,9,-3,-22
552,9,-3,-22
553,3,-15,6
554,9,-24,0
555,9,-24,0
556,22,-12,-1
557,22,-12,-1
558,-2,-2,52
559,-6,18,-19
560,-6,18,-19
561,-17,9,-5
562,-26,38,18
563,-26,38,18
564,-47,-17,-32
565,-47,-17,-32
566,-49,-2,26
567,-7,-27,-33
568,-7,-27,-33
569,27,-13,18
570,15,-39,-9
571,15,-39,-9
572,18,-2,-1
573,18,-2,-1
574,-1,8,-8
575,-23,29,3
576,-23,29,3
577,-18,-18,-14
578,14,35,14
579,14,35,14
580,0,-5,14
581,0,-5,14
582,24,15,35
583,14,33,-3
584,14,33,-3
585,-8,25,2
586,-28,9,-24
587,-28,9,-24
588,-7,-26,-20
589,-7,-26,-20
590,-29,-26,1
591,2,4,-9
592,2,4,-9
593,-14,-22,-26
594,-1,-42,5
595,-1,-42,5
596,31,0,-27
597,31,0,-27
598,-6,-2,-42
599,-1,0,-21
600,-1,0,-21
601,-18,-10,-8
602,-4,21,43
603,-4,21,43
604,-32,-24,-39
605,-32,-24,-39
606,-23,-10,15
607,-2,35,13
608,-2,35,13
609,13,-10,-41
610,-13,-15,-13
611,-13,-15,-13
612,17,8,-16
613,17,8,-16
614,0,-41,-39
615,-2,-13,-19
616,-2,-13,-19
617,-33,-18,-47
618,-33,-18,-47
619,-42,-4,8
620,-38,-19,-24
621,-38,-19,-24
622,2,3,-13
623,-18,-3,22
624,-18,-3,22
625,15,48,17
626,15,48,17
627,-9,-7,-5
628,-13,4,-30
629,-13,4,-30
630,-6,10,-6
631,-8,-13,-8
632,-8,-13,-8
633,-15,3,-31
634,-15,3,-31
635,12,-13,27
636,2,31,9
637,2,31,9
638,13,44,41
639,19,14,27
640,19,14,27
641,2,-17,1
642,2,-17,1
643,27,-10,-13
644,-10,-20,-39
645,-10,-20,-39
646,-19,-18,-36
647,5,-25,-11
648,5,-25,-11
649,-11,3,-40
650,-11,3,-40
651,34,33,-10
652,1,7,2
653,1,7,2
654,10,-5,-40
655,41,17,41
656,41,17,41
657,-30,-17,-14
658,-30,-17,-14
659,2,11,8
660,26,-47,-6
661,26,-47,-6
662,13,10,-33
663,-11,-9,11
664,-11,-9,11
665,21,30,26
666,21,30,26
667,8,-18,36
668,-4,52,29
669,-4,52,29
670,7,-14,15
671,7,35,9
672,7,35,9
673,5,-4,14
674,5,-4,14
675,7,15,-36
676,12,-12,8
677,12,-12,8
678,-31,36,-8
679,-6,-15,20
680,-6,-15,20
681,-39,-5,-3
682,-39,-5,-3
683,-31,-22,-39
684,-25,59,-38
685,-25,59,-38
686,-7,30,-21
687,11,-9,-14
688,11,-9,-14
689,-8,-13,-40
690,-8,-13,-40
691,-18,15,-33
692,-22,-5,1
693,-22,-5,1
694,-14,3,-27
695,-41,-18,-20
696,-41,-18,-20
697,-10,-5,-75
698,-10,-5,-75
699,-12,-4,-16
700,-2,4,24
701,-2,4,24
702,9,10,5
703,9,10,5
704,18,-8,-25
705,8,10,-22
706,8,10,-22
707,-9,-1,29
708,-17,12,23
709,-17,12,23
710,-17,6,-9
711,-17,6,-9
712,-12,33,12
713,-32,-21,-7
714,-32,-21,-7
715,-40,24,-12
716,-11,-22,-11
717,-11,-22,-11
718,-3,40,-29
719,-3,40,-29
720,-36,-21,22
721,0,27,-11
722,0,27,-11
723,8,-29,6
724,7,4,15
725,7,4,15
726,-5,-12,-48
727,-5,-12,-48
728,11,29,21
729,-1,8,-20
730,-1,8,-20
