SNO,Xdata,Ydata,Zdata
0,7,6,6
1,28,-11,31
2,28,-11,31
3,3,-64,5
4,-19,39,-98
5,-19,39,-98
6,-11,49,18
7,-11,49,18
8,-17,-23,8
9,10,11,-15
10,10,11,-15
11,23,-49,7
12,6,52,-24
13,6,52,-24
14,22,-53,-13
15,22,-53,-13
16,34,55,7
17,29,-18,-16
18,29,-18,-16
19,-8,43,-18
20,17,-28,-2
21,17,-28,-2
22,10,-6,-18
23,10,-6,-18
24,12,-28,29
25,30,18,-18
26,30,18,-18
27,50,-33,-5
28,16,4,-26
29,16,4,-26
30,10,-25,17
31,10,-25,17
32,-16,-31,16
33,-11,-10,27
34,-11,-10,27
35,23,-17,18
36,-5,-4,19
37,-5,-4,19
38,-5,41,6
39,-5,41,6
40,-1,-30,-10
41,45,58,-3
42,45,58,-3
43,11,57,14
44,-26,-39,-48
45,-26,-39,-48
46,-41,-88,-13
47,-41,-88,-13
48,3,-21,12
49,54,16,35
50,54,16,35
51,37,33,37
52,4,-22,-10
53,4,-22,-10
54,41,18,-30
55,41,18,-30
56,33,57,-60
57,-3,17,11
58,-3,17,11
59,46,77,50
60,-31,55,-26
61,-31,55,-26
62,-104,-255,-129
63,-104,-255,-129
64,53,60,32
65,79,73,16
66,79,73,16
67,-29,-52,-35
68,-29,-52,-35
69,7,-42,-33
70,42,1,21
71,42,1,21
72,-16,3,5
73,-29,-18,-40
74,-29,-18,-40
75,22,35,-7
76,22,35,-7
77,5,-38,26
78,-54,-7,-40
79,-54,-7,-40
80,-27,-25,18
81,50,77,49
82,50,77,49
83,-15,-11,29
84,-15,-11,29
85,-37,-82,-9
86,4,9,-14
87,4,9,-14
88,23,85,-13
89,7,-6,-27
90,7,-6,-27
91,-14,-37,-26
92,-14,-37,-26
93,1,-40,-13
94,-8,16,-3
95,-8,16,-3
96,-1,29,-26
97,27,67,-10
98,27,67,-10
99,-8,-40,-41
100,-8,-40,-41
101,-42,26,-51
102,-21,-39,-38
103,-21,-39,-38
104,-9,3,3
105,26,18,4
106,26,18,4
107,12,16,2
108,12,16,2
109,5,-47,-6
110,22,50,-5
111,22,50,-5
112,14,-33,-1
113,-7,20,-25
114,-7,20,-25
115,-11,-48,27
116,-11,-48,27
117,-12,50,16
118,13,-16,-16
119,13,-16,-16
120,-14,45,19
121,44,-24,-15
122,44,-24,-15
123,25,12,38
124,25,12,38
125,9,-44,48
126,14,28,18
127,14,28,18
128,-7,-3,-32
129,22,10,8
130,22,10,8
131,25,-7,-31
132,25,-7,-31
133,16,15,-33
134,4,-5,-21
135,4,-5,-21
136,7,-23,-3
137,1,6,11
138,1,6,11
139,-20,-14,16
140,-20,-14,16
141,-14,-19,-42
142,10,7,-68
143,10,7,-68
144,11,-35,-15
145,8,-1,-7
146,8,-1,-7
147,-5,-4,29
148,-5,-4,29
149,-44,-16,-34
150,8,-7,-22
151,8,-7,-22
152,25,-2,-26
153,25,-2,-26
154,10,-26,13
155,11,35,13
156,11,35,13
157,-6,-10,-3
158,-2,-26,0
159,-2,-26,0
160,6,-17,1
161,6,-17,1
162,21,-22,-1
163,26,-9,-17
164,26,-9,-17
165,-2,-27,-10
166,34,-7,-31
167,34,-7,-31
168,32,29,16
169,32,29,16
170,-4,9,54
171,23,28,-16
172,23,28,-16
173,24,-4,23
174,-2,-8,-36
175,-2,-8,-36
176,15,-6,-2
177,15,-6,-2
178,20,51,-23
179,10,2,33
180,10,2,33
181,-24,13,19
182,-37,-16,18
183,-37,-16,18
184,-8,-1,31
185,-8,-1,31
186,-21,-14,-12
187,-22,0,5
188,-22,0,5
189,-10,-33,16
190,3,26,17
191,3,26,17
192,11,-5,-25
193,11,-5,-25
194,-5,-8,30
195,-7,-5,16
196,-7,-5,16
197,30,-33,-6
198,4,-6,-22
199,4,-6,-22
200,19,3,-31
201,19,3,-31
202,23,9,30
203,-7,-4,-26
204,-7,-4,-26
205,-11,-31,-27
206,-7,2,2
207,-7,2,2
208,8,22,42
209,8,22,42
210,39,-11,27
211,37,3,-12
212,37,3,-12
213,-17,7,34
214,10,24,26
215,10,24,26
216,-3,-18,60
217,-3,-18,60
218,11,-11,-24
219,-12,9,-2
220,-12,9,-2
221,-2,-3,22
222,5,-16,51
223,5,-16,51
224,-1,-50,32
225,-1,-50,32
226,0,-19,-31
227,-34,-3,-15
228,-34,-3,-15
229,0,-48,-27
230,0,-48,-27
231,34,-17,-29
232,24,-8,25
233,24,-8,25
