SNO,Xdata,Ydata,Zdata
14320,16,-11,16
14321,-23,-30,26
14322,-23,-30,26
14323,-35,28,33
14324,-35,28,33
14325,-18,18,-1
14326,20,-15,-5
14327,20,-15,-5
14328,20,45,2
14329,-37,-54,-16
14330,-37,-54,-16
14331,-37,-4,-25
14332,-37,-4,-25
14333,-9,-5,-9
14334,-42,-16,-6
14335,-42,-16,-6
14336,-13,-32,-39
14337,-4,-5,-17
14338,-4,-5,-17
14339,14,27,17
14340,14,27,17
14341,-19,0,3
14342,-34,-27,-2
14343,-34,-27,-2
14344,-7,-19,32
14345,-22,-33,22
14346,-22,-33,22
14347,-9,10,11
14348,-9,10,11
14349,-36,-1,-54
14350,-12,22,4
14351,-12,22,4
14352,10,26,40
14353,-6,-9,15
14354,-6,-9,15
14355,-6,29,39
14356,-6,29,39
14357,-49,27,24
14358,-25,-39,38
14359,-25,-39,38
14360,-3,26,22
14361,-27,26,14
14362,-27,26,14
14363,5,18,32
14364,5,18,32
14365,-20,25,-21
14366,-3,-36,-47
14367,-3,-36,-47
14368,-14,19,2
14369,-55,24,10
14370,-55,24,10
14371,-22,39,-21
14372,-22,39,-21
14373,-4,4,26
14374,-17,-59,12
14375,-17,-59,12
14376,29,-7,39
14377,29,-7,39
14378,18,-21,23
14379,-1,-16,7
14380,-1,-16,7
14381,-22,3,42
14382,-9,-26,11
14383,-9,-26,11
14384,10,-34,11
14385,10,-34,11
14386,2,22,4
14387,3,0,58
14388,3,0,58
14389,-16,32,81
14390,-17,-24,10
14391,-17,-24,10
14392,8,-11,29
14393,8,-11,29
14394,6,27,67
14395,-22,1,56
14396,-22,1,56
14397,15,24,21
14398,-2,-6,25
14399,-2,-6,25
14400,-7,22,1
14401,-7,22,1
14402,-20,6,18
14403,-18,-6,-16
14404,-18,-6,-16
14405,-6,-8,-12
14406,-31,-25,-49
14407,-31,-25,-49
14408,-16,45,35
14409,-16,45,35
14410,-25,-7,15
14411,-26,18,23
14412,-26,18,23
14413,-2,1,40
14414,-6,-36,-12
14415,-6,-36,-12
14416,3,-2,18
14417,3,-2,18
14418,-16,8,-31
14419,-32,-27,-2
14420,-32,-27,-2
14421,-14,1,35
14422,-5,-48,4
14423,-5,-48,4
14424,22,-23,-10
14425,22,-23,-10
14426,-19,-27,11
14427,25,-5,8
14428,25,-5,8
14429,8,38,-6
14430,-21,-22,39
14431,-21,-22,39
14432,-19,-8,-9
14433,-19,-8,-9
14434,-17,-21,63
14435,-16,4,-11
14436,-16,4,-11
