SNO,Xdata,Ydata,Zdata
0,14,9,23
1,14,9,23
2,7,-6,3
3,7,-6,3
4,22,14,-21
5,10,14,7
6,10,14,7
7,-5,35,20
8,12,13,-11
9,12,13,-11
10,-27,-11,-53
11,-27,-11,-53
12,-18,-26,23
13,-13,-13,50
14,-13,-13,50
15,8,3,25
16,18,-4,-29
17,18,-4,-29
18,-9,44,-22
19,-9,44,-22
20,24,-17,55
21,14,16,27
22,14,16,27
23,-7,-2,-26
24,18,31,-3
25,18,31,-3
26,20,-5,31
27,20,-5,31
28,-1,6,-9
29,10,1,13
30,10,1,13
31,-6,8,-15
32,60,-59,55
33,60,-59,55
34,12,188,-71
35,12,188,-71
36,-44,-207,-40
37,41,250,18
38,41,250,18
39,-14,-190,33
40,14,194,29
41,14,194,29
42,2,-121,20
43,2,-121,20
44,18,121,36
45,-6,-111,-32
46,-6,-111,-32
47,4,81,18
48,-21,-51,14
49,-21,-51,14
50,-27,52,-24
51,-27,52,-24
52,-7,-2,-23
53,39,39,4
54,39,39,4
55,27,-21,5
56,-7,26,34
57,-7,26,34
58,-26,-2,-16
59,-26,-2,-16
60,0,57,-16
61,-4,6,-8
62,-4,6,-8
63,25,-10,-31
64,9,-27,-30
65,9,-27,-30
66,18,-33,42
67,18,-33,42
68,-4,-35,22
69,-13,4,-14
70,-13,4,-14
71,6,-16,-2
72,12,1,35
73,12,1,35
74,23,-9,-25
75,23,-9,-25
76,34,1,19
77,3,6,33
78,3,6,33
79,7,-52,45
80,46,5,18
81,46,5,18
82,-54,70,-59
83,-54,70,-59
84,1,-53,64
85,6,-5,45
86,6,-5,45
87,28,24,-29
88,28,24,-29
89,4,47,-5
90,-4,-58,22
91,-4,-58,22
92,33,0,-6
93,51,-9,-29
94,51,-9,-29
95,55,-25,4
96,55,-25,4
97,56,16,17
98,-4,15,23
99,-4,15,23
100,-26,36,-35
101,33,2,-45
102,33,2,-45
103,3,19,46
104,3,19,46
105,15,-6,27
106,6,14,37
107,6,14,37
108,-15,-24,29
109,14,38,-37
110,14,38,-37
111,17,24,7
112,17,24,7
113,20,-5,-1
114,45,3,7
115,45,3,7
116,14,18,18
117,20,11,4
118,20,11,4
119,29,36,26
120,29,36,26
121,17,15,5
122,-4,-7,-1
123,-4,-7,-1
124,7,-25,16
125,-17,8,-21
126,-17,8,-21
127,7,34,7
128,7,34,7
129,-2,-12,11
130,-11,-5,-12
131,-11,-5,-12
132,-1,7,-5
133,-3,-4,-32
134,-3,-4,-32
135,16,1,3
136,16,1,3
137,8,10,-8
138,4,-30,-13
139,4,-30,-13
140,-21,-18,21
141,22,-9,-23
142,22,-9,-23
143,24,-26,32
144,24,-26,32
145,8,18,23
146,-28,-4,30
147,-28,-4,30
148,15,-18,14
149,8,13,-15
150,8,13,-15
151,4,-18,-23
152,4,-18,-23
153,5,-19,7
154,-35,20,-28
155,-35,20,-28
156,12,-21,-16
157,7,-8,6
158,7,-8,6
159,-22,-42,-36
160,-22,-42,-36
161,6,3,21
162,10,-10,-18
163,10,-10,-18
164,-5,-26,-68
165,-2,-47,-49
166,-2,-47,-49
167,-5,-1,-8
168,-5,-1,-8
169,5,-18,-15
170,5,-6,-5
171,5,-6,-5
172,5,-21,27
173,5,-21,27
174,-24,27,-6
175,9,-19,38
176,9,-19,38
177,9,20,62
178,-9,31,33
179,-9,31,33
180,-19,11,19
181,-19,11,19
182,-8,-1,-48
183,2,5,19
184,2,5,19
185,21,6,19
186,17,-2,-26
187,17,-2,-26
188,-17,15,-2
189,-17,15,-2
190,8,21,-14
191,8,29,72
192,8,29,72
193,9,6,37
194,-15,-15,29
195,-15,-15,29
196,14,33,32
197,14,33,32
198,21,-37,-45
199,9,-18,25
200,9,-18,25
201,18,19,24
202,5,35,15
203,5,35,15
204,-10,-2,1
205,-10,-2,1
206,-31,33,-39
207,11,28,5
208,11,28,5
209,5,46,-6
210,-10,-12,-14
211,-10,-12,-14
212,10,-1,11
213,10,-1,11
214,11,-20,2
215,37,-2,-4
216,37,-2,-4
217,-7,4,17
218,-9,-14,4
219,-9,-14,4
220,-5,-20,7
221,-5,-20,7
222,5,25,15
223,-25,-5,21
224,-25,-5,21
225,10,38,46
226,-21,-49,-18
227,-21,-49,-18
228,15,14,0
229,15,14,0
230,-8,11,53
231,-21,7,-26
232,-21,7,-26
233,3,-16,45
234,9,-15,24
235,9,-15,24
236,-1,-24,8
237,-1,-24,8
238,-26,24,-16
239,-12,33,-8
240,-12,33,-8
241,-11,11,10
242,19,-8,-1
243,19,-8,-1
244,2,14,36
245,2,14,36
246,-7,2,20
247,-3,19,14
248,-3,19,14
249,3,-5,-3
250,-4,-5,21
251,-4,-5,21
252,-23,-24,-3
253,-23,-24,-3
254,5,21,7
255,7,-8,21
256,7,-8,21
257,-8,11,-13
258,-8,11,-13
259,7,-6,-1
260,7,14,-3
261,7,14,-3
262,19,-32,-22
263,10,14,8
264,10,14,8
265,20,5,2
266,20,5,2
267,3,-42,68
268,-16,-34,0
269,-16,-34,0
270,-10,-8,-16
271,14,-5,22
272,14,-5,22
273,3,-17,28
274,3,-17,28
275,18,-11,-9
276,2,15,46
277,2,15,46
278,-14,-28,-3
279,-29,24,15
280,-29,24,15
281,-24,-8,-37
282,-24,-8,-37
283,2,-13,-24
284,18,-24,-11
285,18,-24,-11
286,18,-12,8
287,15,2,39
288,15,2,39
289,-7,32,-22
290,-7,32,-22
291,8,15,-52
292,7,11,-65
293,7,11,-65
294,-34,-22,-1
295,1,-14,7
296,1,-14,7
297,22,22,10
