SNO,Xdata,Ydata,Zdata
15612,-13,-5,2
15613,-4,36,-4
15614,-4,36,-4
15615,-5,-37,-64
15616,-9,8,34
15617,-9,8,34
15618,12,40,12
15619,-17,7,14
15620,-17,7,14
15621,3,-12,5
15622,3,-12,5
15623,-5,-3,30
15624,-41,-19,15
15625,-41,-19,15
15626,-31,26,-8
15627,-1,-16,48
15628,-1,-16,48
15629,-6,16,-26
15630,-6,16,-26
15631,9,10,22
15632,22,-18,43
15633,22,-18,43
15634,30,-18,8
15635,-20,23,-3
15636,-20,23,-3
15637,-2,11,-39
15638,-2,11,-39
15639,1,-21,42
15640,31,21,-13
15641,31,21,-13
15642,26,28,-5
15643,26,28,-5
15644,11,42,37
15645,23,25,-61
15646,23,25,-61
15647,-4,-26,-35
15648,14,-31,36
15649,14,-31,36
15650,-31,-30,23
15651,-31,-30,23
15652,-17,11,-24
15653,29,21,-31
15654,29,21,-31
15655,33,-42,2
15656,-7,-7,32
15657,-7,-7,32
15658,13,33,18
15659,13,33,18
15660,24,24,-8
15661,-1,6,-28
15662,-1,6,-28
15663,19,-28,-38
15664,-22,-20,64
15665,-22,-20,64
15666,29,-4,13
15667,29,-4,13
15668,2,-1,54
15669,16,-5,13
15670,16,-5,13
15671,4,9,80
15672,19,-3,-34
15673,19,-3,-34
15674,12,-14,16
15675,12,-14,16
15676,-1,-3,43
15677,-40,0,19
15678,-40,0,19
15679,-30,12,-2
15680,-2,8,8
15681,-2,8,8
15682,-7,8,-22
15683,-7,8,-22
15684,-7,16,-15
15685,29,15,-24
15686,29,15,-24
15687,24,-20,-46
15688,0,-13,-13
15689,0,-13,-13
15690,-4,-16,22
15691,-4,-16,22
15692,1,-2,-2
15693,-5,10,-32
15694,-5,10,-32
15695,21,-12,-15
15696,2,-5,29
15697,2,-5,29
15698,19,44,7
15699,19,44,7
15700,11,6,12
15701,-14,26,-2
15702,-14,26,-2
15703,24,34,9
15704,12,-9,25
15705,12,-9,25
15706,21,-23,-29
15707,21,-23,-29
15708,9,-4,-15
15709,7,18,22
15710,7,18,22
15711,20,-20,3
15712,16,2,6
15713,16,2,6
15714,7,-16,10
15715,7,-16,10
15716,15,-2,59
15717,1,-8,-10
15718,1,-8,-10
15719,-7,16,9
15720,-3,-12,-12
15721,-3,-12,-12
15722,5,7,12
15723,5,7,12
15724,15,44,49
15725,-13,37,0
15726,-13,37,0
15727,6,20,-68
15728,6,20,-68
15729,4,-23,9
15730,10,10,-65
15731,10,10,-65
15732,4,-6,-35
15733,-1,38,-78
15734,-1,38,-78
15735,-15,-23,-48
15736,-15,-23,-48
15737,-7,23,40
15738,-8,-39,-27
15739,-8,-39,-27
15740,-36,-28,11
15741,15,47,-20
