SNO,Xdata,Ydata,Zdata
24451,8,22,-25
24452,-38,24,44
24453,-31,-20,20
24454,-31,-20,20
24455,7,-29,-45
24456,7,-28,-4
24457,7,-28,-4
24458,-24,-4,22
24459,-24,-4,22
24460,10,11,-4
24461,-29,26,-9
24462,-29,26,-9
24463,-10,-7,-16
24464,-14,-35,7
24465,-14,-35,7
24466,5,-6,-24
24467,5,-6,-24
24468,-16,-5,-14
24469,-7,7,64
24470,-7,7,64
24471,18,-28,32
24472,-8,-6,33
24473,-8,-6,33
24474,-12,-13,-22
24475,-12,-13,-22
24476,-13,27,-28
24477,10,-23,-27
24478,10,-23,-27
24479,4,-5,-29
24480,0,-29,19
24481,0,-29,19
24482,-2,25,-6
24483,-2,25,-6
24484,-1,0,3
24485,-18,-1,53
24486,-18,-1,53
24487,-24,12,35
24488,-24,12,35
24489,-9,-13,27
24490,-30,6,8
24491,-30,6,8
24492,-10,-15,20
24493,-8,-4,28
24494,-8,-4,28
24495,-8,-47,20
24496,-8,-47,20
24497,-32,18,-13
24498,-24,8,-21
24499,-24,8,-21
24500,-8,4,9
24501,0,-15,9
24502,0,-15,9
24503,10,-7,-34
24504,10,-7,-34
24505,-7,-9,-28
24506,-8,12,11
24507,-8,12,11
24508,-38,-14,-42
24509,16,4,-14
24510,16,4,-14
24511,-9,-4,-28
24512,-9,-4,-28
24513,-16,-6,-22
24514,-17,-27,-36
24515,-17,-27,-36
24516,-16,-1,-13
24517,2,-34,42
24518,2,-34,42
24519,-26,-6,7
24520,-26,-6,7
24521,10,0,-3
24522,6,16,-20
24523,6,16,-20
24524,34,-17,-23
24525,-24,7,7
24526,-24,7,7
24527,-9,12,-30
24528,-9,12,-30
24529,3,28,-2
24530,-21,-24,-1
24531,-21,-24,-1
24532,-60,19,-18
24533,-53,14,9
24534,-53,14,9
24535,-25,-13,51
24536,-25,-13,51
24537,-16,-1,14
24538,-26,4,-13
24539,-26,4,-13
24540,-36,12,-8
24541,-20,-26,41
24542,-20,-26,41
24543,-13,-16,-7
24544,-13,-16,-7
24545,-15,-11,-61
24546,-19,-19,-18
24547,-19,-19,-18
24548,-16,-23,19
24549,11,10,7
24550,11,10,7
24551,-23,0,17
24552,-23,0,17
24553,-16,11,8
24554,-9,-15,48
24555,-9,-15,48
24556,9,-20,25
24557,-7,18,11
24558,-7,18,11
24559,-7,45,6
24560,-7,45,6
24561,16,18,-23
24562,9,-3,24
24563,9,-3,24
24564,-17,-2,-10
24565,-17,-2,-10
24566,-26,-29,-33
24567,-3,26,-5
24568,-3,26,-5
24569,1,4,-20
24570,22,20,3
24571,22,20,3
24572,16,-9,27
24573,16,-9,27
24574,-30,-4,26
24575,15,-40,25
24576,15,-40,25
24577,-18,-14,14
24578,-21,-20,21
24579,-21,-20,21
24580,-24,3,-16
24581,-24,3,-16
24582,27,48,-27
24583,-22,10,-28
24584,-22,10,-28
24585,-25,20,-25
24586,-23,-43,15
24587,-23,-43,15
24588,-11,26,53
24589,-11,26,53
24590,4,17,-1
24591,-23,-23,17
24592,-23,-23,17
24593,10,-25,9
24594,34,9,-26
24595,34,9,-26
24596,23,19,-26
24597,23,19,-26
24598,-3,1,37
24599,-15,25,-5
24600,-15,25,-5
24601,-17,-4,5
24602,19,-7,5
24603,19,-7,5
24604,-2,-2,-16
24605,-2,-2,-16
24606,-7,-26,3
24607,-6,-12,-62
24608,-6,-12,-62
24609,-5,17,-32
24610,-10,-1,-39
24611,-10,-1,-39
24612,13,10,-2
24613,13,10,-2
24614,18,-20,12
24615,19,-26,18
24616,19,-26,18
24617,17,14,-19
24618,7,-5,31
24619,7,-5,31
24620,-23,-5,-25
24621,-23,-5,-25
24622,-8,21,-31
24623,-9,17,5
24624,-9,17,5
24625,2,-18,33
24626,5,29,-24
24627,5,29,-24
24628,-15,21,-31
24629,-15,21,-31
24630,34,13,-13
24631,-4,-13,10
24632,-4,-13,10
24633,-7,-15,18
24634,9,1,3
24635,9,1,3
24636,22,13,13
24637,22,13,13
24638,6,-23,-19
24639,-17,-13,-12
24640,-17,-13,-12
24641,-33,-5,14
24642,-37,-13,-24
24643,-37,-13,-24
24644,-27,-4,7
24645,-27,-4,7
24646,12,5,-4
24647,-8,-40,35
24648,-8,-40,35
24649,-9,32,26
24650,-9,32,26
24651,-12,-12,-38
24652,-22,40,21
24653,-22,40,21
24654,15,14,-4
24655,-3,-23,16
24656,-3,-23,16
24657,-23,-5,-3
24658,-23,-5,-3
24659,-9,-21,-7
24660,-8,-35,29
24661,-8,-35,29
24662,-30,26,-4
24663,-41,2,-12
24664,-41,2,-12
24665,-64,13,-5
24666,-64,13,-5
24667,-50,-25,-22
24668,-3,-16,-30
24669,-3,-16,-30
24670,-19,-5,7
24671,10,26,7
24672,10,26,7
24673,11,-6,9
24674,11,-6,9
24675,-20,-3,5
24676,14,8,-27
24677,14,8,-27
24678,-22,-12,4
24679,-1,-10,-24
24680,-1,-10,-24
