SNO,Xdata,Ydata,Zdata
16552,-3,-21,26
16553,-3,-21,26
16554,-8,4,-13
16555,-24,7,-17
16556,-24,7,-17
16557,-15,19,38
16558,-15,19,38
16559,-6,-25,36
16560,-35,2,28
16561,-35,2,28
16562,-28,-5,23
16563,-26,-4,-32
16564,-26,-4,-32
16565,-27,-24,-62
16566,-27,-24,-62
16567,14,45,-4
16568,-20,-12,-35
16569,-20,-12,-35
16570,17,-24,45
16571,-23,20,9
16572,-23,20,9
16573,-34,30,-29
16574,-34,30,-29
16575,-6,-2,-4
16576,-12,-11,-14
16577,-12,-11,-14
16578,-31,1,-31
16579,-26,5,11
16580,-26,5,11
16581,-14,-28,11
16582,-14,-28,11
16583,-4,50,12
16584,0,-23,12
16585,0,-23,12
16586,-14,12,10
16587,1,-27,-20
16588,1,-27,-20
16589,-3,-1,-21
16590,-3,-1,-21
16591,-19,11,-1
16592,-36,-28,14
16593,-36,-28,14
16594,-11,-6,17
16595,-24,14,56
16596,-24,14,56
16597,3,4,-11
16598,3,4,-11
16599,21,4,10
16600,-32,-9,-66
16601,-32,-9,-66
16602,14,-19,3
16603,14,-19,3
16604,9,-30,9
16605,16,-5,19
16606,16,-5,19
16607,7,42,11
16608,-44,-2,-37
16609,-44,-2,-37
16610,7,-26,6
16611,7,-26,6
16612,-20,-49,14
16613,-5,51,-4
16614,-5,51,-4
16615,-8,4,33
16616,-11,30,46
16617,-11,30,46
16618,-19,-53,14
16619,-19,-53,14
16620,-46,-5,-9
16621,9,-5,-34
16622,9,-5,-34
16623,8,30,-15
16624,-71,-12,-22
16625,-71,-12,-22
16626,-13,-36,-38
16627,-13,-36,-38
16628,-20,-17,-18
16629,-13,-32,-20
16630,-13,-32,-20
16631,1,-51,23
16632,16,40,7
16633,16,40,7
16634,-13,-77,49
16635,-13,-77,49
16636,24,72,3
16637,37,-37,-4
16638,37,-37,-4
16639,43,23,37
16640,-51,-71,12
16641,-51,-71,12
16642,-46,-83,-30
16643,-46,-83,-30
16644,19,-19,2
16645,15,7,-12
16646,15,7,-12
16647,-6,17,31
16648,-26,31,23
16649,-26,31,23
16650,8,-7,29
16651,8,-7,29
16652,-13,25,-7
16653,-17,-6,-6
16654,-17,-6,-6
16655,10,49,-46
16656,20,3,-14
16657,20,3,-14
16658,19,-32,23
16659,19,-32,23
16660,14,2,3
16661,2,-34,-18
16662,2,-34,-18
16663,-5,52,-12
16664,-13,-23,50
16665,-13,-23,50
16666,5,-26,36
16667,5,-26,36
16668,16,-48,-9
16669,-7,99,-30
16670,-7,99,-30
16671,-40,-5,9
16672,-38,-7,-6
16673,-38,-7,-6
16674,7,17,39
16675,7,17,39
16676,-1,51,10
16677,-58,-64,-37
16678,-58,-64,-37
16679,-17,70,-20
16680,-10,-41,-13
16681,-10,-41,-13
16682,-3,29,6
16683,-3,29,6
16684,-9,-19,5
16685,-7,-2,23
16686,-7,-2,23
16687,-31,-52,-46
16688,-31,-52,-46
16689,-48,9,-50
16690,-49,-16,-16
16691,-49,-16,-16
16692,4,44,7
