SNO,Xdata,Ydata,Zdata
0,20,15,-62
1,20,15,-62
2,8,-11,-64
3,8,-11,-64
4,11,-17,-35
5,9,15,-25
6,9,15,-25
7,-6,3,-27
8,18,-6,-16
9,18,-6,-16
10,36,29,25
11,36,29,25
12,-11,0,-13
13,-1,29,0
14,-1,29,0
15,39,7,-21
16,5,39,22
17,5,39,22
18,6,-10,16
19,6,-10,16
20,8,30,10
21,13,-18,10
22,13,-18,10
23,-44,6,-53
24,-16,-12,-15
25,-16,-12,-15
26,-6,-11,-19
27,-6,-11,-19
28,32,-2,3
29,5,24,5
30,5,24,5
31,11,38,8
32,0,8,19
33,0,8,19
34,0,17,0
35,0,17,0
36,20,24,-3
37,7,20,-15
38,7,20,-15
39,5,13,-36
40,-3,41,-27
41,-3,41,-27
42,27,-13,14
43,27,-13,14
44,-12,-12,10
45,21,-20,14
46,21,-20,14
47,3,7,10
48,3,7,10
49,37,22,-10
50,5,0,-4
51,5,0,-4
52,14,-4,-20
53,19,1,-5
54,19,1,-5
55,0,-28,-34
56,0,-28,-34
57,8,-17,-1
58,1,-20,-24
59,1,-20,-24
60,-11,-6,-16
61,14,3,24
62,14,3,24
63,4,14,11
64,4,14,11
65,8,-9,27
66,-15,-11,-14
67,-15,-11,-14
68,-5,-8,-34
69,9,-43,12
70,9,-43,12
71,30,-8,-37
72,30,-8,-37
73,-5,-36,-6
74,12,36,-43
75,12,36,-43
76,15,-4,-11
77,9,10,-3
78,9,10,-3
79,24,-22,-41
80,24,-22,-41
81,-4,27,-42
82,12,-32,4
83,12,-32,4
84,6,-8,-23
85,13,4,-2
86,13,4,-2
87,6,-3,-30
88,6,-3,-30
89,28,-26,-13
90,51,25,38
91,51,25,38
92,32,-21,-64
93,49,-8,-8
94,49,-8,-8
95,12,-6,-9
96,12,-6,-9
97,0,5,-14
98,-9,6,-56
99,-9,6,-56
100,12,1,-43
101,-25,15,-10
102,-25,15,-10
103,5,18,-19
104,5,18,-19
105,9,1,-15
106,-16,34,-35
107,-16,34,-35
108,13,11,-1
109,18,2,-3
110,18,2,-3
111,0,-24,-26
112,0,-24,-26
113,10,0,3
114,15,-1,26
115,15,-1,26
116,18,-1,-35
117,22,7,-32
118,22,7,-32
119,0,-11,3
120,0,-11,3
121,-20,-9,-40
122,33,46,-18
123,33,46,-18
124,39,-18,-42
125,-2,10,-57
126,-2,10,-57
127,21,-4,-27
128,21,-4,-27
129,26,1,11
130,24,-9,9
131,24,-9,9
132,2,-23,20
133,2,-23,20
134,8,42,66
135,-5,28,-22
136,-5,28,-22
137,0,4,-35
138,10,-39,26
139,10,-39,26
140,1,33,-9
141,1,33,-9
142,-1,-36,-30
143,6,34,-7
144,6,34,-7
145,17,10,14
146,18,34,29
147,18,34,29
148,16,-24,-35
149,16,-24,-35
150,0,26,-26
151,20,18,-23
152,20,18,-23
153,13,-12,-19
154,33,5,-17
155,33,5,-17
156,-8,-4,-41
157,-8,-4,-41
158,-20,-17,-41
159,-5,11,-47
160,-5,11,-47
161,-1,53,19
162,-22,-13,-18
163,-22,-13,-18
164,5,19,-38
165,5,19,-38
166,-14,0,14
167,21,-5,22
168,21,-5,22
169,-34,0,-16
170,-25,13,-29
171,-25,13,-29
172,-4,9,-17
173,-4,9,-17
174,-14,7,-29
175,-9,11,-12
176,-9,11,-12
177,10,-9,-13
178,-14,-6,44
179,-14,-6,44
180,10,12,-44
181,10,12,-44
182,-1,25,-45
183,-8,15,-8
184,-8,15,-8
185,-1,-44,45
186,22,-17,76
187,22,-17,76
188,-8,-35,-14
189,-8,-35,-14
190,28,1,-5
191,4,-4,17
192,4,-4,17
193,0,-10,21
194,1,-18,32
195,1,-18,32
196,-5,-9,0
197,-5,-9,0
198,16,18,7
199,7,-21,25
200,7,-21,25
201,14,-19,8
202,38,19,-29
203,38,19,-29
204,-18,9,9
205,-18,9,9
206,0,-20,13
207,13,-8,-4
208,13,-8,-4
209,-7,8,4
210,0,-12,36
211,0,-12,36
212,18,24,14
213,18,24,14
214,15,10,-13
215,14,26,28
216,14,26,28
217,-21,-23,48
218,-21,-23,48
219,12,-7,-24
220,23,0,-12
221,23,0,-12
222,-33,16,-15
223,8,9,11
224,8,9,11
225,9,12,34
226,9,12,34
227,-4,3,3
228,-1,4,29
229,-1,4,29
230,2,4,7
231,-15,31,-23
232,-15,31,-23
233,-14,1,28
234,-14,1,28
235,28,-13,36
236,19,18,49
237,19,18,49
238,25,23,28
239,11,5,40
240,11,5,40
241,7,12,34
242,7,12,34
243,-12,-47,-23
244,-4,-5,22
245,-4,-5,22
246,-12,20,30
247,4,56,-31
248,4,56,-31
249,19,-6,-14
250,19,-6,-14
251,-27,-2,-22
252,-5,3,38
253,-5,3,38
254,-7,12,3
255,-3,-39,-30
256,-3,-39,-30
257,1,-11,2
258,1,-11,2
259,13,-4,-6
260,8,4,15
261,8,4,15
262,7,-9,-47
263,8,8,9
264,8,8,9
265,16,-6,14
266,16,-6,14
267,23,-23,23
268,16,-28,68
269,16,-28,68
270,-15,3,66
271,-4,7,12
272,-4,7,12
273,7,23,19
274,7,23,19
275,-23,-35,-23
276,-36,7,-18
277,-36,7,-18
278,7,-7,-4
279,-12,0,-1
280,-12,0,-1
281,17,0,-39
282,17,0,-39
283,28,14,-1
284,-6,12,31
285,-6,12,31
286,-2,-25,18
287,19,-4,-16
288,19,-4,-16
289,0,-28,-22
290,0,-28,-22
291,-1,-8,-14
292,23,-2,47
293,23,-2,47
294,1,15,20
295,28,3,14
296,28,3,14
297,20,-19,23
298,20,-19,23
299,5,-6,-42
300,13,2,36
301,13,2,36
302,-3,-12,-15
303,-3,-12,-15
304,7,12,-18
305,9,24,-4
306,9,24,-4
307,43,1,15
308,0,-12,-15
309,0,-12,-15
310,15,1,-13
311,15,1,-13
312,36,7,-18
313,34,-18,43
314,34,-18,43
315,4,-32,-15
316,14,36,13
317,14,36,13
318,-13,33,-35
319,-13,33,-35
320,-18,16,-31
321,8,6,11
322,8,6,11
323,-2,17,-27
324,9,-5,-14
325,9,-5,-14
326,7,-21,-8
327,7,-21,-8
328,12,6,-1
329,1,-25,15
330,1,-25,15
331,-4,18,-13
332,0,-5,46
333,0,-5,46
334,-5,28,36
335,-5,28,36
336,-6,-27,-19
337,20,29,4
338,20,29,4
339,9,13,47
340,-9,49,10
341,-9,49,10
342,-8,3,-18
343,-8,3,-18
344,10,26,-19
345,12,-14,11
346,12,-14,11
347,21,14,-35
348,-40,-24,-21
349,-40,-24,-21
350,6,-17,-12
351,6,-17,-12
352,-35,-20,-3
353,-7,-30,40
354,-7,-30,40
355,14,-16,19
356,24,26,-13
357,24,26,-13
358,6,3,-52
359,6,3,-52
360,12,-5,22
361,4,-10,22
362,4,-10,22
363,-8,1,-11
364,20,32,27
365,20,32,27
366,15,8,49
367,15,8,49
368,-29,-2,77
369,11,-13,-6
370,11,-13,-6
371,-19,3,9
372,-6,-29,-4
373,-6,-29,-4
374,-32,-10,11
375,-32,-10,11
376,24,-20,-7
377,20,-6,-34
378,20,-6,-34
379,-1,-15,-16
380,24,1,-8
381,24,1,-8
382,16,-7,-6
383,16,-7,-6
384,33,24,-51
385,14,-25,17
386,14,-25,17
387,-9,28,3
388,-16,-33,-11
389,-16,-33,-11
390,3,13,15
391,3,13,15
392,5,-14,-8
393,-11,18,21
394,-11,18,21
395,-9,-12,-5
396,-9,-12,-5
397,13,-13,-11
398,23,-22,42
399,23,-22,42
400,-7,11,18
401,11,-18,-9
402,11,-18,-9
403,-32,21,-14
404,-32,21,-14
405,21,-26,2
406,24,2,19
407,24,2,19
408,41,-37,-34
409,11,20,-38
410,11,20,-38
411,3,-50,-34
412,3,-50,-34
413,-14,3,-7
414,-5,-9,32
415,-5,-9,32
416,-5,11,-20
417,-11,13,24
418,-11,13,24
419,-6,29,14
420,-6,29,14
421,-23,-14,-9
422,-25,-13,-22
423,-25,-13,-22
424,-7,-44,-25
425,-5,-7,-22
426,-5,-7,-22
427,-11,12,35
428,-11,12,35
429,-1,41,-4
430,12,-16,28
431,12,-16,28
432,-3,4,-18
433,-19,-8,-13
434,-19,-8,-13
435,-13,11,15
436,-13,11,15
437,2,6,-38
438,-14,-8,-42
439,-14,-8,-42
440,-19,18,17
441,-7,10,53
442,-7,10,53
443,21,-6,27
444,21,-6,27
445,18,12,17
446,32,20,-21
447,32,20,-21
448,49,17,-5
449,18,33,-21
450,18,33,-21
451,12,-3,52
452,12,-3,52
453,-15,12,11
454,-27,-14,-50
455,-27,-14,-50
456,9,13,9
457,20,-2,-9
458,20,-2,-9
459,10,-23,-15
460,10,-23,-15
461,19,-18,32
462,-7,5,-16
463,-7,5,-16
464,-35,-14,-33
465,7,-23,5
466,7,-23,5
467,-2,-10,-18
468,-2,-10,-18
469,10,-17,-6
470,18,-2,-29
471,18,-2,-29
472,10,-20,-60
473,18,1,18
474,18,1,18
475,-12,-20,-21
476,-12,-20,-21
477,26,-7,-52
478,30,-6,-20
479,30,-6,-20
480,-11,37,-12
481,-11,37,-12
482,4,-25,-58
483,33,35,-56
484,33,35,-56
485,5,-47,-17
486,2,7,-18
487,2,7,-18
488,-11,-33,33
489,-11,-33,33
490,0,15,-49
491,-19,-30,16
492,-19,-30,16
493,-8,13,37
494,33,-15,31
495,33,-15,31
496,2,2,14
497,2,2,14
498,-2,10,-34
499,7,23,-26
500,7,23,-26
501,3,0,-1
502,7,-36,20
503,7,-36,20
504,22,1,21
505,22,1,21
506,22,52,-18
507,-17,3,-7
508,-17,3,-7
509,2,8,27
510,5,-2,-27
511,5,-2,-27
512,24,18,40
513,24,18,40
514,4,-12,2
515,4,-3,6
516,4,-3,6
517,11,17,32
518,-20,-43,-13
519,-20,-43,-13
520,28,14,19
521,28,14,19
522,-2,4,-16
523,-24,-14,-48
524,-24,-14,-48
525,-11,-43,-60
526,18,29,-58
527,18,29,-58
528,-10,-12,-27
529,-10,-12,-27
530,-9,-6,26
531,12,-30,7
532,12,-30,7
533,-12,11,30
534,-33,-28,3
535,-33,-28,3
536,-16,-20,8
537,-16,-20,8
538,37,-4,-3
539,-7,-19,31
540,-7,-19,31
541,-18,14,15
542,19,-12,-5
543,19,-12,-5
544,-6,-3,21
545,-6,-3,21
546,6,15,10
547,-34,-5,-5
548,-34,-5,-5
549,-11,23,7
550,15,3,-28
551,15,3,-28
552,28,6,-8
553,28,6,-8
554,27,18,22
555,6,11,9
556,6,11,9
557,-42,-21,20
558,33,2,-3
559,33,2,-3
560,32,-6,-9
561,32,-6,-9
562,-14,19,-3
563,-4,35,17
564,-4,35,17
565,-13,10,69
566,-13,10,69
567,14,6,-10
568,-5,-8,-18
569,-5,-8,-18
570,-18,-8,-57
571,4,-41,-2
572,4,-41,-2
573,12,-1,29
574,12,-1,29
575,29,-15,-16
576,9,-11,-14
577,9,-11,-14
578,-24,-6,-10
579,13,-13,15
580,13,-13,15
581,-1,-3,36
582,-1,-3,36
583,10,12,0
584,-8,28,-19
585,-8,28,-19
586,34,-28,-4
587,12,15,34
588,12,15,34
589,-13,-56,3
590,-13,-56,3
591,-20,11,21
592,-14,-15,-2
593,-14,-15,-2
594,1,12,10
595,37,-8,2
596,37,-8,2
597,38,11,55
598,38,11,55
599,20,-22,22
600,5,16,0
601,5,16,0
602,-3,-18,27
603,-7,2,45
604,-7,2,45
605,-16,-18,0
606,-16,-18,0
607,16,63,38
608,-1,-20,18
609,-1,-20,18
610,9,17,21
611,-35,-17,21
612,-35,-17,21
613,9,4,28
