SNO,Xdata,Ydata,Zdata
0,-19,-8,-17
1,-18,24,1
2,-16,-1,17
3,-16,-1,17
4,-12,25,28
5,-3,13,-10
6,-3,13,-10
7,-8,-31,20
8,-8,-31,20
9,4,-4,7
10,-6,19,4
11,-6,19,4
12,8,24,20
13,24,31,1
14,24,31,1
15,-4,35,-11
16,-4,35,-11
17,12,-23,4
18,15,13,11
19,15,13,11
20,3,-13,17
21,3,-13,17
22,21,-17,29
23,10,-18,25
24,10,-18,25
25,18,-24,-18
26,-9,-29,-4
27,-9,-29,-4
28,11,36,-16
29,11,36,-16
30,11,-19,-17
31,3,34,-26
32,3,34,-26
33,-7,-12,48
34,-1,31,13
35,-1,31,13
36,-20,-28,11
37,-20,-28,11
38,7,18,-47
39,24,-30,17
40,24,-30,17
41,-13,21,19
42,-15,-6,48
43,-15,-6,48
44,0,-11,40
45,0,-11,40
46,-10,-29,-14
47,-40,34,17
48,-40,34,17
49,7,-26,-11
50,18,6,-6
51,18,6,-6
52,12,-4,-2
53,12,-4,-2
54,-12,11,33
55,7,-10,-15
56,7,-10,-15
57,3,21,-19
58,11,-31,-23
59,11,-31,-23
60,4,-9,-2
61,4,-9,-2
62,1,-17,0
63,3,11,-33
64,3,11,-33
65,-11,-31,13
66,7,17,3
67,7,17,3
68,-13,-19,16
69,-13,-19,16
70,1,14,-1
71,-3,-10,-39
72,-3,-10,-39
73,17,-25,-6
74,8,14,-29
75,8,14,-29
76,42,10,47
77,42,10,47
78,2,-11,1
79,-16,-13,-35
80,-16,-13,-35
81,0,3,-2
82,18,22,-7
83,18,22,-7
84,-14,-9,39
85,-14,-9,39
86,0,-5,-7
87,-2,-16,-20
88,-2,-16,-20
89,20,5,11
90,12,10,-7
91,12,10,-7
92,11,11,-6
93,11,11,-6
94,-9,-11,13
95,-4,39,-12
96,-4,39,-12
97,20,-24,-14
98,6,-7,17
99,6,-7,17
100,2,14,-24
101,2,14,-24
102,-27,22,-2
103,6,-1,-19
104,6,-1,-19
105,0,-16,29
106,0,-16,29
107,-25,3,21
108,-9,7,-1
109,-9,7,-1
110,6,1,-12
111,22,-17,3
112,22,-17,3
113,22,-15,-11
114,22,-15,-11
115,12,-2,-38
116,-15,-12,16
117,-15,-12,16
118,0,19,13
119,29,-4,19
120,29,-4,19
121,2,23,-6
122,2,23,-6
123,-20,32,-2
124,10,-18,-1
125,10,-18,-1
126,40,14,11
127,3,-39,-2
128,3,-39,-2
129,-25,-13,-11
130,-25,-13,-11
131,-29,-12,-25
132,-2,-5,36
133,-2,-5,36
134,4,-52,-53
135,31,-8,-33
136,31,-8,-33
137,10,-1,1
138,10,-1,1
139,-28,29,-65
140,-46,-18,0
141,-46,-18,0
142,-28,65,31
143,-32,28,38
144,-32,28,38
145,-27,31,-14
146,-27,31,-14
147,10,-1,-32
148,-10,-13,-20
149,-10,-13,-20
150,-26,3,-13
151,2,3,-6
152,2,3,-6
153,10,-22,-5
154,10,-22,-5
155,18,-46,-6
156,-13,-36,27
157,-13,-36,27
158,38,5,15
159,-10,11,66
160,-10,11,66
161,1,-27,6
162,1,-27,6
163,18,-18,-14
164,10,7,14
165,10,7,14
166,13,-31,-3
167,1,15,10
168,1,15,10
169,10,-19,-19
170,10,-19,-19
171,-14,-1,-16
172,-15,-22,48
173,-15,-22,48
174,-6,-10,-3
175,-19,-21,2
176,-19,-21,2
177,-37,-30,24
178,-37,-30,24
179,16,-23,-5
180,17,-16,33
181,17,-16,33
182,-13,-41,21
183,26,11,11
184,26,11,11
185,-4,5,2
186,-4,5,2
187,-16,39,-2
188,18,-12,-1
189,18,-12,-1
190,26,35,8
191,26,35,8
192,9,-26,-15
193,-18,28,-17
194,-18,28,-17
195,-16,-10,-8
196,-4,7,29
197,-4,7,29
198,-11,-24,41
199,-11,-24,41
200,-23,-22,50
201,8,-13,79
202,8,-13,79
203,-26,17,-11
204,-10,-1,-44
205,-10,-1,-44
206,-2,35,36
207,-2,35,36
208,5,33,56
209,-7,7,32
210,-7,7,32
211,-18,16,-31
212,10,25,14
213,10,25,14
214,5,8,52
215,5,8,52
216,-11,-22,35
217,-6,-16,27
218,-6,-16,27
219,8,-25,-14
220,1,-51,27
221,1,-51,27
222,9,2,-22
223,9,2,-22
224,5,12,-39
225,7,28,20
226,7,28,20
227,16,-4,-27
228,4,4,5
229,4,4,5
230,-8,16,39
231,-8,16,39
232,-32,-7,-14
233,-19,-5,42
234,-19,-5,42
235,-10,25,35
236,4,6,30
237,4,6,30
238,20,23,-5
239,20,23,-5
240,38,-19,-50
241,36,-8,53
242,36,-8,53
243,4,-5,-12
244,-17,10,8
245,-17,10,8
246,-15,-8,13
247,-15,-8,13
248,1,10,15
249,5,-15,28
250,5,-15,28
251,-6,-10,-13
252,-15,-8,15
253,-15,-8,15
254,2,-14,-26
255,2,-14,-26
256,-6,12,21
257,-28,-14,-11
258,-28,-14,-11
259,-12,-40,28
260,22,-1,42
261,22,-1,42
262,14,-1,-8
263,14,-1,-8
264,0,-21,4
265,26,-17,-1
266,26,-17,-1
267,15,-11,-7
268,-22,-14,19
269,-22,-14,19
270,0,-9,18
271,0,-9,18
272,-12,-4,28
273,-7,25,29
274,-7,25,29
275,-24,9,-14
276,-24,9,-14
277,-11,-5,0
278,-1,19,35
279,-1,19,35
280,-6,-31,-28
281,-14,-2,-21
282,-14,-2,-21
283,-6,-13,-35
284,-6,-13,-35
285,12,-27,-23
286,-19,4,-11
287,-19,4,-11
288,-16,-18,-12
289,7,-1,-1
290,7,-1,-1
291,-6,-36,4
292,-6,-36,4
293,4,-33,27
294,-1,-9,-24
295,-1,-9,-24
296,-13,-16,-40
297,7,27,-45
298,7,27,-45
299,14,34,-11
300,14,34,-11
301,-7,20,36
302,-13,13,36
303,-13,13,36
304,16,34,-26
305,3,-6,43
306,3,-6,43
307,1,-12,-24
308,1,-12,-24
309,-12,-32,2
310,30,-31,16
311,30,-31,16
312,28,-34,-21
313,-15,-3,-3
314,-15,-3,-3
315,22,4,11
316,22,4,11
317,24,-29,-12
318,-3,-23,1
319,-3,-23,1
320,-22,8,5
321,-18,19,49
322,-18,19,49
323,7,-1,10
324,7,-1,10
325,-4,-35,-10
326,3,2,-9
327,3,2,-9
328,23,-27,-3
329,-6,15,-11
330,-6,15,-11
331,8,-7,14
332,8,-7,14
333,-29,11,24
334,-22,-26,28
335,-22,-26,28
336,-18,-4,-4
337,-10,-9,7
338,-10,-9,7
339,-18,17,1
340,-18,17,1
341,-34,0,-3
342,24,19,-39
343,24,19,-39
344,32,-20,-15
345,20,42,-18
346,20,42,-18
347,25,23,-27
348,25,23,-27
349,30,-1,45
350,7,-11,-23
351,7,-11,-23
352,-30,-20,-24
353,-3,-6,-17
354,-3,-6,-17
355,4,41,-27
356,4,41,-27
357,11,51,-10
358,-41,15,9
359,-41,15,9
360,-30,3,6
361,1,10,-18
362,1,10,-18
363,0,-26,-41
364,0,-26,-41
365,10,-6,19
366,-10,-3,18
367,-10,-3,18
368,-16,4,8
369,-16,4,8
370,-15,13,3
371,1,6,22
372,1,6,22
373,-26,-8,-5
374,-35,-12,15
375,-35,-12,15
376,-22,-21,32
377,-22,-21,32
378,-3,33,-30
379,14,15,6
380,14,15,6
381,6,-13,27
382,19,-10,51
383,19,-10,51
384,-2,-11,-33
385,-2,-11,-33
386,-25,3,-7
387,15,-2,-7
388,15,-2,-7
389,20,-20,-50
390,31,-39,-22
391,31,-39,-22
392,10,34,-15
393,10,34,-15
394,14,-21,3
395,-1,5,-8
396,-1,5,-8
397,1,-13,-29
398,-10,9,-6
399,-10,9,-6
400,-8,-7,-24
401,-8,-7,-24
402,-3,14,-15
403,22,-6,-23
404,22,-6,-23
405,-19,2,-4
406,-28,-8,1
407,-28,-8,1
408,40,9,18
409,40,9,18
410,14,-12,-12
411,0,-14,-8
412,0,-14,-8
413,7,-46,6
414,9,-13,-22
415,9,-13,-22
416,-17,-50,-13
417,-17,-50,-13
418,-27,11,21
419,6,4,-38
420,6,4,-38
421,38,-6,-21
422,5,-17,-21
423,5,-17,-21
424,5,-29,-61
425,5,-29,-61
426,15,-15,33
427,16,46,-29
428,16,46,-29
429,14,-23,39
430,28,16,54
431,28,16,54
432,-13,1,-36
433,-13,1,-36
434,-3,45,24
435,4,-18,-3
436,4,-18,-3
437,22,14,58
438,8,-15,30
439,8,-15,30
440,2,7,28
441,2,7,28
442,3,-28,-54
443,-7,-12,-33
444,-7,-12,-33
445,-27,-36,-10
446,-6,-15,-10
447,-6,-15,-10
448,2,-22,-77
449,2,-22,-77
450,-7,14,-64
451,19,-6,-39
452,19,-6,-39
453,7,-6,-70
454,7,-6,-70
455,15,32,16
456,2,-21,-20
457,2,-21,-20
458,-3,-18,-27
459,2,34,20
460,2,34,20
461,-18,-9,20
462,-18,-9,20
463,-1,-6,4
464,-8,-19,-18
465,-8,-19,-18
466,-16,-39,2
467,-7,20,-4
468,-7,20,-4
469,-4,11,32
470,-4,11,32
471,-33,-17,14
472,17,1,-4
473,17,1,-4
474,33,24,6
475,22,1,-23
476,22,1,-23
477,14,53,2
478,14,53,2
479,-1,-32,-17
480,25,16,5
481,25,16,5
482,4,1,22
483,5,34,18
484,5,34,18
485,12,-17,-10
486,12,-17,-10
487,-6,-17,-44
488,-6,-20,-7
489,-6,-20,-7
490,0,8,31
491,-13,-7,-43
492,-13,-7,-43
493,6,-25,-5
494,6,-25,-5
495,23,28,36
496,29,4,8
497,29,4,8
498,34,-34,-31
499,23,-4,-3
500,23,-4,-3
501,15,-22,-55
502,15,-22,-55
503,-12,-27,-34
504,-3,-7,-6
505,-3,-7,-6
506,45,6,16
507,-10,-10,-28
508,-10,-10,-28
509,-51,-13,-38
510,-51,-13,-38
511,-6,10,12
512,7,-40,-20
513,7,-40,-20
514,13,-33,24
515,-10,12,27
516,-10,12,27
517,22,-37,-28
518,22,-37,-28
519,8,-19,16
520,-17,-12,-16
521,-17,-12,-16
522,-3,8,-1
523,-9,8,-33
524,-9,8,-33
525,-45,-6,-32
526,-45,-6,-32
527,9,25,32
528,6,22,-2
529,6,22,-2
530,-34,13,-21
531,-15,23,-19
532,-15,23,-19
533,-1,19,-19
534,-1,19,-19
535,1,0,-23
536,-12,2,-44
537,-12,2,-44
538,8,7,14
539,8,7,14
540,31,2,19
541,20,-18,-7
542,20,-18,-7
543,2,-31,27
544,8,-7,13
545,8,-7,13
546,16,-40,-6
547,16,-40,-6
548,-4,-14,-46
549,2,31,8
550,2,31,8
551,4,36,29
552,5,24,5
553,5,24,5
554,-10,42,15
555,-10,42,15
556,-24,-9,-24
557,-38,-11,-2
558,-38,-11,-2
559,-13,-20,17
560,-5,8,0
561,-5,8,0
562,-16,-40,-44
563,-16,-40,-44
564,-19,-23,-15
565,1,-9,28
566,1,-9,28
