SNO,Xdata,Ydata,Zdata
8348,1,40,-39
8349,1,40,-39
8350,25,11,-32
8351,-17,46,-36
8352,-17,46,-36
8353,-18,-11,-9
8354,-30,-9,-14
8355,-30,-9,-14
8356,-12,-37,-1
8357,-12,-37,-1
8358,-17,-5,5
8359,-13,26,-4
8360,-13,26,-4
8361,-7,32,48
8362,3,32,-5
8363,3,32,-5
8364,-1,-34,1
8365,-1,-34,1
8366,0,-9,12
8367,-18,26,-10
8368,-18,26,-10
8369,2,-4,28
8370,-25,-5,33
8371,-25,-5,33
8372,-16,25,2
8373,-16,25,2
8374,-9,-15,-15
8375,-5,-7,-43
8376,-5,-7,-43
8377,-15,-12,-45
8378,-15,-12,-45
8379,16,-15,4
8380,-24,2,0
8381,-24,2,0
8382,-31,-9,22
8383,5,16,9
8384,5,16,9
8385,-9,-31,44
8386,-9,-31,44
8387,-23,2,-15
8388,-16,22,-8
8389,-16,22,-8
8390,-2,-51,-38
8391,3,-12,-44
8392,3,-12,-44
8393,0,23,-18
8394,0,23,-18
8395,-1,5,7
8396,-21,-8,26
8397,-21,-8,26
8398,-32,-7,-27
8399,-16,-1,-31
8400,-16,-1,-31
8401,2,10,-25
8402,2,10,-25
8403,-13,36,16
8404,-38,-17,5
8405,-38,-17,5
8406,-23,58,-6
8407,-4,-37,-33
8408,-4,-37,-33
8409,22,12,-28
8410,22,12,-28
8411,-13,-13,11
8412,-23,37,26
8413,-23,37,26
8414,-25,-60,24
8415,-9,34,11
8416,-9,34,11
8417,20,-64,-13
8418,20,-64,-13
8419,0,17,-13
8420,0,4,-6
8421,0,4,-6
8422,-3,25,22
8423,-42,2,-20
8424,-42,2,-20
8425,19,-27,-25
8426,19,-27,-25
8427,-10,-26,-12
8428,-6,2,-8
8429,-6,2,-8
8430,-2,-18,1
8431,-18,-2,22
8432,-18,-2,22
8433,-11,-42,35
8434,-11,-42,35
8435,5,7,19
8436,24,37,40
8437,24,37,40
8438,-26,1,2
8439,-9,-2,-22
8440,-9,-2,-22
8441,-3,-42,-18
8442,-3,-42,-18
8443,9,24,5
8444,24,34,8
8445,24,34,8
8446,-25,-35,-19
8447,-11,2,-18
8448,-11,2,-18
8449,-10,15,6
8450,-10,15,6
8451,-12,-21,32
8452,7,34,-23
8453,7,34,-23
8454,20,21,19
8455,0,16,-31
8456,0,16,-31
8457,-10,27,-15
8458,-10,27,-15
8459,-11,-14,9
8460,-10,-9,-26
8461,-10,-9,-26
8462,14,23,-11
8463,14,23,-11
8464,-37,-27,-17
8465,-15,26,47
8466,-15,26,47
8467,-14,25,2
8468,-19,-22,-22
8469,-19,-22,-22
8470,-40,9,-9
8471,-40,9,-9
8472,2,25,-3
8473,-32,-11,-4
8474,-32,-11,-4
8475,13,11,23
8476,8,-43,8
8477,8,-43,8
8478,-19,-16,-29
8479,-19,-16,-29
8480,0,34,-12
8481,-23,-29,-10
8482,-23,-29,-10
8483,15,-22,-8
8484,-4,14,-30
8485,-4,14,-30
8486,-7,3,33
8487,-7,3,33
8488,-20,-1,18
8489,-2,-15,5
8490,-2,-15,5
8491,-12,-36,7
8492,-4,-9,22
8493,-4,-9,22
8494,8,-14,18
8495,8,-14,18
8496,0,22,0
8497,12,15,2
8498,12,15,2
8499,0,-17,9
8500,-7,-10,24
8501,-7,-10,24
8502,-22,4,-24
8503,-22,4,-24
8504,-20,-16,-26
8505,-60,-12,-1
8506,-60,-12,-1
8507,8,-21,-2
8508,48,41,31
8509,48,41,31
8510,-16,-14,-57
8511,-16,-14,-57
8512,-28,6,-26
8513,-13,-31,-14
8514,-13,-31,-14
8515,-4,-29,4
8516,6,7,-4
8517,6,7,-4
8518,-33,20,-46
8519,-33,20,-46
8520,8,7,37
8521,0,9,7
8522,0,9,7
8523,-2,-3,39
8524,-28,-21,-19
8525,-28,-21,-19
8526,-3,-30,-39
8527,-3,-30,-39
8528,10,-22,8
8529,7,-16,29
8530,7,-16,29
8531,-24,7,16
8532,-19,3,7
8533,-19,3,7
8534,-12,24,-19
8535,-12,24,-19
8536,-4,15,-17
8537,-1,-3,-3
8538,-1,-3,-3
8539,0,-10,-27
8540,0,-10,-27
8541,26,-18,-4
8542,-6,37,-9
8543,-6,37,-9
8544,-6,-32,-42
8545,-7,44,8
8546,-7,44,8
8547,9,-49,23
8548,9,-49,23
8549,19,19,-16
8550,29,-32,-33
8551,29,-32,-33
8552,-6,15,27
8553,6,-14,-6
8554,6,-14,-6
8555,7,-1,-13
8556,7,-1,-13
8557,-29,-1,-30
8558,6,8,-16
8559,6,8,-16
8560,-13,2,19
8561,-18,5,-21
8562,-18,5,-21
8563,-19,1,-12
8564,-19,1,-12
8565,-15,-12,15
8566,-11,18,23
8567,-11,18,23
8568,-21,25,-3
8569,-14,-29,-37
8570,-14,-29,-37
8571,4,25,-3
8572,4,25,-3
8573,-19,0,-5
8574,-22,-7,0
8575,-22,-7,0
8576,-7,-42,-38
8577,-6,-10,28
8578,-6,-10,28
8579,-13,-18,-9
8580,-13,-18,-9
8581,21,-2,-2
8582,5,1,15
8583,5,1,15
8584,1,4,12
8585,-11,6,32
8586,-11,6,32
8587,12,-9,11
8588,12,-9,11
8589,-4,-20,1
8590,-7,-6,-9
8591,-7,-6,-9
8592,13,-8,57
8593,-25,28,-24
8594,-25,28,-24
8595,-27,0,-25
8596,-27,0,-25
8597,-11,42,-49
8598,-31,-8,-11
8599,-31,-8,-11
8600,-30,16,46
8601,-17,22,-59
8602,-17,22,-59
8603,-10,-19,-7
8604,-10,-19,-7
8605,-17,11,11
8606,-5,8,-23
8607,-5,8,-23
8608,-20,-36,-11
8609,16,3,0
8610,16,3,0
8611,-10,-5,19
8612,-10,-5,19
8613,-22,2,-11
8614,-6,25,-21
8615,-6,25,-21
8616,-21,-20,14
8617,11,34,21
8618,11,34,21
8619,2,-6,-36
8620,2,-6,-36
8621,-19,-15,-3
8622,-41,2,-41
8623,-41,2,-41
8624,2,-18,1
8625,2,-18,1
8626,0,5,-21
8627,-8,-38,-39
8628,-8,-38,-39
8629,1,-3,19
8630,-9,-3,-1
8631,-9,-3,-1
8632,-18,-7,-15
8633,-18,-7,-15
8634,-21,15,-50
8635,29,-4,-10
8636,29,-4,-10
8637,8,-18,-7
8638,-2,1,-11
8639,-2,1,-11
8640,-19,-3,-46
8641,-19,-3,-46
8642,-21,-2,-31
8643,-22,23,-31
8644,-22,23,-31
8645,-6,22,-21
8646,0,-18,-27
8647,0,-18,-27
8648,-11,2,-36
