SNO,Xdata,Ydata,Zdata
0,-25,-33,18
1,-25,-37,130
2,-25,-37,130
3,51,32,-67
4,20,-3,-28
5,20,-3,-28
6,-64,101,43
7,15,-71,75
8,15,-71,75
9,-11,7,44
10,-11,7,44
11,82,-2,-142
12,-53,50,-18
13,-53,50,-18
14,16,3,-52
15,-11,-65,104
16,-11,-65,104
17,64,32,-97
18,64,32,-97
19,30,5,-67
20,-70,67,15
21,-70,67,15
22,27,-106,27
23,-45,28,115
24,-45,28,115
25,113,-44,-133
26,113,-44,-133
27,-80,113,12
28,-23,-2,17
29,-23,-2,17
30,-2,-24,123
31,-7,4,-27
32,-7,4,-27
33,21,7,-93
34,21,7,-93
35,-77,70,58
36,3,-58,57
37,3,-58,57
38,-20,-16,49
39,88,-54,-87
40,88,-54,-87
41,-33,44,0
42,-33,44,0
43,-9,-33,10
44,-34,-32,130
45,-34,-32,130
46,37,40,-18
47,-4,-13,-81
48,-4,-13,-81
49,-122,77,21
50,-122,77,21
51,-5,-65,13
52,-20,34,155
53,-20,34,155
54,129,-46,-179
55,-59,59,-25
56,-59,59,-25
57,-20,-39,12
58,-20,-39,12
59,14,-39,106
60,19,22,-25
61,19,22,-25
62,60,-44,-221
63,60,-44,-221
64,-80,113,19
65,28,-98,13
66,28,-98,13
67,-29,21,87
68,54,18,-136
69,54,18,-136
70,-55,88,-46
71,-55,88,-46
72,-21,22,42
73,-46,-28,99
74,-46,-28,99
75,11,2,-55
76,33,20,-87
77,33,20,-87
78,-86,66,-6
79,-86,66,-6
80,9,-64,0
81,-35,-15,80
82,-35,-15,80
83,100,-20,-162
84,-19,36,10
85,-19,36,10
86,-17,-12,-2
87,-17,-12,-2
88,25,-83,104
89,-6,21,-16
90,-6,21,-16
91,50,-31,-173
92,-106,109,69
93,-106,109,69
94,50,-66,-18
95,50,-66,-18
96,-2,7,97
97,66,26,-122
98,66,26,-122
99,-8,63,-18
100,-58,0,55
101,-58,0,55
102,-28,-91,71
103,-28,-91,71
104,3,11,36
105,61,-37,-91
106,61,-37,-91
107,-60,49,-2
108,-7,-65,7
109,-7,-65,7
110,-14,2,75
111,-14,2,75
112,70,-13,-132
113,-46,47,29
114,-46,47,29
115,-4,57,26
116,8,-37,104
117,8,-37,104
118,-6,27,33
119,-6,27,33
120,55,12,-114
121,-79,58,46
122,-79,58,46
123,-12,-53,-43
124,-35,-24,107
125,-35,-24,107
126,31,13,-143
127,31,13,-143
128,-11,5,-56
129,-63,45,18
130,-63,45,18
131,5,-134,-8
132,-5,25,55
133,-5,25,55
134,41,-43,-109
135,41,-43,-109
136,-79,85,2
137,1,-55,24
138,1,-55,24
139,-32,-9,104
140,-32,-9,104
141,56,13,-102
142,-20,24,-67
143,-20,24,-67
144,-44,89,44
145,1,-48,53
146,1,-48,53
147,-28,12,35
148,-28,12,35
149,80,-42,-88
150,-82,69,54
151,-82,69,54
152,-14,-24,-22
153,40,-58,92
154,40,-58,92
155,65,36,-59
156,65,36,-59
157,23,-26,-65
158,-69,72,98
159,-69,72,98
160,44,-145,1
161,-22,23,96
162,-22,23,96
163,78,-59,-131
164,78,-59,-131
165,-94,88,36
166,2,-66,3
167,2,-66,3
168,-33,-16,78
169,52,16,-112
170,52,16,-112
171,-7,-6,-74
172,-7,-6,-74
173,-68,107,13
174,48,-125,110
175,48,-125,110
176,-8,78,48
177,69,-58,-160
178,69,-58,-160
179,-95,132,45
180,-95,132,45
181,49,-100,-12
182,-58,39,85
183,-58,39,85
184,103,-79,-115
185,-15,75,-40
186,-15,75,-40
187,-33,-39,36
188,-33,-39,36
189,-6,-37,10
190,30,-89,52
191,30,-89,52
192,61,48,-149
193,-62,30,16
194,-62,30,16
195,-31,44,-50
196,-31,44,-50
197,-6,-63,37
198,21,52,-67
199,21,52,-67
200,41,9,-114
201,-50,88,82
202,-50,88,82
203,28,-46,18
204,28,-46,18
205,-15,-29,50
206,35,47,-72
207,35,47,-72
208,2,-14,20
209,-62,40,-17
210,-62,40,-17
211,-1,-154,102
212,-1,-154,102
213,-7,94,-33
214,41,-87,-69
215,41,-87,-69
216,-68,156,8
217,-68,156,8
218,36,-181,17
219,-77,126,60
220,-77,126,60
221,131,-151,-144
222,-98,162,69
223,-98,162,69
224,40,-115,-52
225,40,-115,-52
226,-40,58,155
227,55,-55,-52
228,55,-55,-52
229,2,56,-119
230,-6,6,-27
231,-6,6,-27
232,-4,-21,48
233,-4,-21,48
234,34,-92,93
235,43,64,-148
236,43,64,-148
237,-17,10,-26
238,4,74,-9
239,4,74,-9
240,-3,-105,30
241,-3,-105,30
242,-14,61,-20
243,37,-24,-157
244,37,-24,-157
245,-83,46,106
246,13,-12,-52
247,13,-12,-52
248,-11,-105,62
249,-11,-105,62
250,37,76,-154
251,-15,-76,-23
252,-15,-76,-23
253,-78,93,44
254,36,-182,22
255,36,-182,22
256,-30,140,34
257,-30,140,34
258,77,-85,-199
259,-145,202,85
260,-145,202,85
261,38,-128,23
262,-97,116,137
263,-97,116,137
264,106,-107,-118
265,106,-107,-118
266,-68,147,-25
267,9,-40,10
268,9,-40,10
269,-29,31,119
270,25,-36,-37
271,25,-36,-37
272,28,47,-110
273,28,47,-110
274,-36,55,-24
275,5,8,-15
276,5,8,-15
277,-21,-41,91
278,27,24,-111
279,27,24,-111
280,-33,-1,0
281,-33,-1,0
282,-37,44,40
283,-18,-94,60
284,-18,-94,60
285,26,42,11
286,26,42,11
287,44,-32,-145
288,-79,86,27
289,-79,86,27
290,11,-79,55
291,-36,-20,111
292,-36,-20,111
293,50,-14,-92
294,50,-14,-92
295,-36,65,-49
296,-38,34,21
297,-38,34,21
298,-14,-42,99
299,37,21,22
300,37,21,22
301,13,4,-92
302,13,4,-92
303,-64,107,7
304,-24,-145,79
305,-24,-145,79
306,-39,151,69
307,157,-290,-60
308,157,-290,-60
309,-152,353,-14
310,-152,353,-14
311,96,-305,-28
312,-162,264,125
313,-162,264,125
314,177,-295,-170
315,-32,232,10
316,-32,232,10
317,-8,-94,-56
318,-8,-94,-56
319,-55,161,68
320,61,-191,97
321,61,-191,97
322,-54,203,-98
323,118,-224,9
324,118,-224,9
325,-117,300,23
326,-117,300,23
327,78,-297,82
328,-48,213,39
329,-48,213,39
330,139,-187,-229
331,-118,214,21
332,-118,214,21
333,69,-173,-28
334,69,-173,-28
335,-49,71,128
336,98,-94,-135
337,98,-94,-135
338,-30,63,4
339,-56,50,39
340,-56,50,39
341,4,-91,57
342,4,-91,57
343,-19,65,41
344,69,-54,-174
345,69,-54,-174
346,-77,128,46
347,24,-72,25
348,24,-72,25
349,-36,-23,105
350,-36,-23,105
351,48,-10,-111
352,-9,-4,-95
353,-9,-4,-95
354,-68,37,48
355,1,-83,20
356,1,-83,20
357,-4,-12,45
358,-4,-12,45
359,103,-16,-142
360,-26,80,35
361,-26,80,35
362,20,-3,11
363,20,-3,11
364,2,-48,76
365,36,68,-25
366,36,68,-25
367,23,-24,-75
368,-75,95,46
369,-75,95,46
370,17,-95,42
371,17,-95,42
372,-38,54,53
373,89,-32,-144
374,89,-32,-144
375,-77,91,24
376,-26,-59,-2
377,-26,-59,-2
378,-40,-45,109
379,-40,-45,109
380,20,18,-111
381,41,-18,-83
382,41,-18,-83
383,-50,51,35
384,5,-65,43
385,5,-65,43
386,35,52,64
387,35,52,64
388,71,4,-154
389,-60,74,51
390,-60,74,51
391,-7,13,-37
392,-4,-75,99
393,-4,-75,99
394,68,36,-40
395,68,36,-40
396,1,-14,-68
397,-71,90,49
398,-71,90,49
399,30,-60,37
400,-43,9,47
