SNO,Xdata,Ydata,Zdata
0,-24,23,-1
1,14,-11,1
2,14,-11,1
3,-17,7,86
4,-17,7,86
5,9,13,-59
6,35,-40,-57
7,35,-40,-57
8,15,66,22
9,49,-43,-43
10,49,-43,-43
11,44,44,77
12,44,44,77
13,38,16,-92
14,-31,29,-11
15,-31,29,-11
16,-5,47,31
17,-12,-26,18
18,-12,-26,18
19,36,1,71
20,36,1,71
21,-1,-33,-91
22,-49,9,39
23,-49,9,39
24,0,7,-6
25,-77,12,12
26,-77,12,12
27,37,-4,-16
28,37,-4,-16
29,-8,-8,-21
30,-46,8,-22
31,-46,8,-22
32,52,-21,-5
33,-31,36,40
34,-31,36,40
35,25,-79,-85
36,25,-79,-85
37,32,44,56
38,-1,4,13
39,-1,4,13
40,-9,-60,43
41,12,5,46
42,12,5,46
43,18,-17,-16
44,18,-17,-16
45,18,56,22
46,-23,5,31
47,-23,5,31
48,-23,63,13
49,-23,63,13
50,18,1,4
51,-63,32,5
52,-63,32,5
53,33,-13,19
54,-28,2,92
55,-28,2,92
56,0,-16,-6
57,0,-16,-6
58,51,-1,-1
59,-43,21,-1
60,-43,21,-1
61,24,-62,-12
62,-38,20,86
63,-38,20,86
64,-17,-39,-99
65,-17,-39,-99
66,-1,27,-12
67,5,47,53
68,5,47,53
69,24,-34,-49
70,-18,-17,110
71,-18,-17,110
72,-30,-40,-101
73,-30,-40,-101
74,-10,-15,31
75,-36,78,27
76,-36,78,27
77,36,-33,-70
78,6,-114,182
79,6,-114,182
80,25,166,-83
81,25,166,-83
82,30,-138,-179
83,-129,49,299
84,-129,49,299
85,59,-60,-92
86,49,-8,-132
87,49,-8,-132
88,-51,137,199
89,-51,137,199
90,25,-185,-111
91,-54,167,85
92,-54,167,85
93,25,-55,-14
94,-14,-70,-33
95,-14,-70,-33
96,-40,194,17
97,-40,194,17
98,29,-168,-6
99,25,170,115
100,25,170,115
101,82,-71,-130
102,-24,43,35
103,-24,43,35
104,31,72,-8
105,31,72,-8
106,-59,-43,-31
107,35,-30,34
108,35,-30,34
109,35,-11,-104
110,-77,56,86
111,-77,56,86
112,70,-51,18
113,70,-51,18
114,-12,2,16
115,9,24,-19
116,9,24,-19
117,91,-4,16
118,-73,73,-20
119,-73,73,-20
120,-4,-9,18
121,-4,-9,18
122,-8,38,28
123,-40,1,-1
124,-40,1,-1
125,42,13,52
126,42,13,52
127,-25,21,-21
128,-31,-20,39
129,-31,-20,39
130,82,-60,-104
131,-74,-5,-40
132,-74,-5,-40
133,33,6,-1
134,33,6,-1
135,38,-28,-39
136,-98,31,47
137,-98,31,47
138,82,-50,-66
139,-50,11,26
140,-50,11,26
141,0,-15,-33
142,0,-15,-33
143,-14,-21,28
144,-27,-35,0
145,-27,-35,0
146,12,3,-10
147,-65,32,22
148,-65,32,22
149,2,-25,-4
150,2,-25,-4
151,-30,52,120
152,-4,-91,-73
153,-4,-91,-73
154,77,-13,-37
155,-47,45,49
156,-47,45,49
157,6,-93,3
158,6,-93,3
159,-28,81,53
160,0,-49,-58
161,0,-49,-58
162,-3,11,20
163,-5,11,-15
164,-5,11,-15
165,-46,3,-49
166,-46,3,-49
167,64,-31,47
168,-33,57,-43
169,-33,57,-43
170,-2,-83,-43
171,26,42,112
172,26,42,112
173,-18,-20,18
174,-18,-20,18
175,74,5,-77
176,4,-20,41
177,4,-20,41
178,-30,22,-85
179,12,-55,66
180,12,-55,66
181,-38,-17,-53
182,-38,-17,-53
183,12,-9,-22
184,17,22,20
185,17,22,20
186,0,-39,10
187,-11,100,90
188,-11,100,90
189,28,-24,0
190,28,-24,0
191,3,44,-16
192,43,27,-28
193,43,27,-28
194,-43,-49,-13
195,-16,-9,-39
196,-16,-9,-39
197,32,7,-18
198,32,7,-18
199,-10,-45,-36
