SNO,Xdata,Ydata,Zdata
0,5,24,-14
1,5,24,-14
2,-44,-6,8
3,-44,-6,8
4,-23,-13,-21
5,12,-23,-3
6,12,-23,-3
7,-14,21,11
8,-4,-8,-5
9,-4,-8,-5
10,-1,-19,0
11,-1,-19,0
12,-20,-2,34
13,20,25,38
14,20,25,38
15,5,-47,14
16,-14,42,-10
17,-14,42,-10
18,23,-17,55
19,23,-17,55
20,-29,24,33
21,-7,-32,-39
22,-7,-32,-39
23,-37,30,75
24,9,-25,-33
25,9,-25,-33
26,-27,-52,-1
27,-27,-52,-1
28,-26,-24,-21
29,-37,23,26
30,-37,23,26
31,-19,16,-2
32,15,5,-23
33,15,5,-23
34,-6,-11,26
35,-6,-11,26
36,35,47,16
37,-13,41,15
38,-13,41,15
39,4,13,-51
40,-13,47,-21
41,-13,47,-21
42,-25,-7,12
43,-25,-7,12
44,5,6,-28
45,-14,-22,42
46,-14,-22,42
47,-36,41,-35
48,-36,41,-35
49,9,-53,-4
50,8,6,-5
51,8,6,-5
52,-2,-36,-46
53,-33,15,21
54,-33,15,21
55,5,-39,90
56,5,-39,90
57,18,40,48
58,9,-9,13
59,9,-9,13
60,-32,18,60
61,18,-9,49
62,18,-9,49
63,-9,-17,22
64,-9,-17,22
65,14,-19,-13
66,17,-9,42
67,17,-9,42
68,22,3,-52
69,28,-98,19
70,28,-98,19
71,25,38,-87
72,25,38,-87
73,5,-34,87
74,19,35,19
75,19,35,19
76,-15,-53,-18
77,-23,61,76
78,-23,61,76
79,46,-65,-6
80,46,-65,-6
81,-35,85,47
82,14,-33,-14
83,14,-33,-14
84,22,46,2
85,-1,-52,-24
86,-1,-52,-24
87,-33,24,-9
88,-33,24,-9
89,16,-5,11
90,1,7,-17
91,1,7,-17
92,8,-3,-12
93,26,-7,-18
94,26,-7,-18
95,19,-14,26
96,19,-14,26
97,-3,13,34
98,-40,8,-3
99,-40,8,-3
100,-22,-22,-6
101,-10,-60,-12
102,-10,-60,-12
103,-30,-4,6
104,-30,-4,6
105,-8,-17,-24
106,-35,10,-5
107,-35,10,-5
108,10,-40,46
109,-1,25,14
110,-1,25,14
111,11,-50,30
112,11,-50,30
113,-18,57,-6
114,-4,-45,-25
115,-4,-45,-25
116,-12,38,-27
117,42,-16,23
118,42,-16,23
119,-21,54,-12
120,-21,54,-12
121,4,-51,27
122,-34,113,-2
123,-34,113,-2
124,7,-51,34
125,7,-51,34
126,-27,44,38
127,-6,-65,-38
128,-6,-65,-38
129,-38,37,-5
130,9,-44,-11
131,9,-44,-11
132,-1,26,-24
133,-1,26,-24
134,25,-21,3
135,15,45,23
136,15,45,23
137,19,-4,11
138,22,0,-1
139,22,0,-1
140,10,-4,-19
141,10,-4,-19
142,18,-17,25
143,-11,17,4
144,-11,17,4
145,-29,19,-22
146,-4,1,34
147,-4,1,34
148,-8,-5,29
149,-8,-5,29
150,2,-10,4
151,10,17,2
152,10,17,2
153,4,5,-68
154,5,-45,8
155,5,-45,8
156,2,1,26
157,2,1,26
158,-19,11,-7
159,-21,24,25
160,-21,24,25
161,-11,-6,-30
162,3,3,23
163,3,3,23
164,-32,-4,11
165,-32,-4,11
166,27,24,-36
167,21,-61,48
168,21,-61,48
169,22,-10,69
170,41,27,65
171,41,27,65
172,5,-28,-5
173,5,-28,-5
174,0,-58,63
175,-8,-58,10
176,-8,-58,10
177,-44,-8,42
178,-64,0,6
179,-64,0,6
180,-8,-30,-19
181,-8,-30,-19
182,-4,19,2
183,2,8,33
184,2,8,33
185,-14,11,21
186,-11,34,27
187,-11,34,27
188,17,5,27
189,17,5,27
190,23,-3,6
191,32,19,-20
192,32,19,-20
193,-5,0,15
194,19,-10,-13
195,19,-10,-13
196,-1,24,-5
197,-1,24,-5
198,12,-26,2
199,-5,0,8
200,-5,0,8
201,33,-21,11
202,33,-21,11
203,7,-13,-16
204,17,-27,-4
205,17,-27,-4
206,-6,4,14
207,-8,-29,-9
208,-8,-29,-9
209,-19,-1,30
210,-19,-1,30
211,-16,-23,-25
212,-15,-12,16
213,-15,-12,16
214,-19,20,2
215,-11,4,-5
216,-11,4,-5
217,10,16,-46
218,10,16,-46
219,4,25,-2
220,-26,4,32
221,-26,4,32
222,-5,21,17
223,17,-24,-17
224,17,-24,-17
225,31,-14,22
226,31,-14,22
227,16,4,-5
228,-13,-4,10
229,-13,-4,10
230,-19,-56,-28
231,0,-5,6
232,0,-5,6
233,-14,11,-4
234,-14,11,-4
235,0,-7,-25
236,-18,-7,-8
237,-18,-7,-8
238,11,-34,22
239,-7,10,-1
240,-7,10,-1
241,-10,-29,3
242,-10,-29,3
243,19,-9,-3
244,7,-13,29
245,7,-13,29
246,23,14,48
247,-3,18,1
248,-3,18,1
249,1,-28,32
250,1,-28,32
251,-19,-51,31
252,-1,24,-18
253,-1,24,-18
254,-6,-12,2
255,13,6,-31
256,13,6,-31
257,-4,-25,22
258,-4,-25,22
259,-1,30,-39
260,26,-4,-22
261,26,-4,-22
262,-17,6,-11
263,11,3,-22
264,11,3,-22
265,-23,-16,-2
266,-23,-16,-2
267,33,-25,-25
268,-13,-2,-2
269,-13,-2,-2
270,-8,-22,4
271,-9,39,-28
272,-9,39,-28
273,16,1,17
274,16,1,17
275,18,2,31
276,-1,-12,-5
277,-1,-12,-5
278,-8,14,-12
279,-8,14,-12
280,-30,17,-12
281,-28,-7,17
282,-28,-7,17
283,30,-2,-38
284,8,-5,-2
285,8,-5,-2
286,5,23,-25
287,5,23,-25
288,-7,-2,-29
289,10,52,1
290,10,52,1
291,-22,36,25
292,-17,-17,5
293,-17,-17,5
294,-19,-22,-27
295,-19,-22,-27
296,-3,-1,21
297,3,-7,8
298,3,-7,8
299,-22,-14,4
300,-29,-36,2
301,-29,-36,2
302,-1,-6,-12
303,-1,-6,-12
304,-9,-41,-14
305,-23,-6,44
306,-23,-6,44
307,7,16,43
308,4,29,-31
309,4,29,-31
310,6,28,-13
311,6,28,-13
312,24,-3,-31
313,32,-25,23
314,32,-25,23
315,5,5,14
316,-17,10,-7
317,-17,10,-7
318,17,28,12
319,17,28,12
320,-5,-6,11
321,0,-17,21
322,0,-17,21
323,-10,8,14
324,6,9,-25
325,6,9,-25
326,-19,-18,1
327,-19,-18,1
328,-16,-27,3
329,-12,-18,17
330,-12,-18,17
331,13,7,-13
332,19,44,16
333,19,44,16
334,20,17,-27
335,20,17,-27
336,59,20,25
337,4,-20,-30
338,4,-20,-30
339,-8,-23,0
340,-18,0,-4
341,-18,0,-4
342,-23,26,2
343,-23,26,2
344,0,-17,49
345,-36,-12,-31
346,-36,-12,-31
347,-31,-23,-19
348,-31,-23,-19
349,-15,41,14
350,-19,-4,-20
351,-19,-4,-20
352,-31,3,11
353,24,-2,26
354,24,-2,26
355,5,17,-6
356,5,17,-6
357,9,7,-54
358,5,31,-32
359,5,31,-32
360,39,-3,3
361,15,-9,16
362,15,-9,16
363,-37,-23,-26
364,-37,-23,-26
365,10,19,-9
366,-7,1,2
367,-7,1,2
368,-12,11,37
369,4,-18,-12
370,4,-18,-12
371,7,-14,39
372,7,-14,39
373,0,-26,4
374,-19,-26,41
375,-19,-26,41
376,-21,-15,54
377,-31,0,3
378,-31,0,3
379,9,-25,35
380,9,-25,35
381,22,20,13
382,0,-16,2
383,0,-16,2
384,29,7,-21
385,-2,-5,-30
386,-2,-5,-30
387,-8,3,-45
388,-8,3,-45
389,23,2,8
390,-6,-41,50
391,-6,-41,50
392,12,-48,-5
393,4,-15,3
394,4,-15,3
395,-19,-26,25
396,-19,-26,25
397,-8,-67,10
398,17,-12,2
399,17,-12,2
400,9,-26,-12
401,-41,22,-1
402,-41,22,-1
403,-17,-9,25
404,-17,-9,25
405,34,1,61
406,35,-16,-27
407,35,-16,-27
408,-27,38,55
409,5,12,2
410,5,12,2
411,9,29,-49
412,9,29,-49
413,31,-17,-13
414,3,34,24
415,3,34,24
416,0,-32,58
417,34,-76,23
418,34,-76,23
419,22,53,-4
420,22,53,-4
421,-15,26,-28
422,23,3,-39
423,23,3,-39
424,0,-8,43
425,0,-8,43
426,-11,20,31
427,-10,8,49
428,-10,8,49
429,0,-25,24
430,17,7,-36
431,17,7,-36
432,-12,24,53
433,-12,24,53
434,-36,46,42
435,-29,8,42
436,-29,8,42
437,9,-11,12
438,19,2,14
439,19,2,14
440,-1,-21,-15
441,-1,-21,-15
442,-31,-17,-29
443,-2,-11,0
444,-2,-11,0
445,38,-21,-5
446,-21,-35,29
447,-21,-35,29
448,-39,30,-3
449,-39,30,-3
450,0,7,9
451,-16,15,-9
452,-16,15,-9
453,-4,-17,0
454,-40,-27,6
455,-40,-27,6
456,112,-57,-253
457,112,-57,-253
458,-860,3036,74
459,1254,-7082,508
460,1254,-7082,508
461,-858,4405,-293
462,1000,397,-162
463,1000,397,-162
464,-1290,1463,-131
465,-1290,1463,-131
466,1044,-5204,179
467,-617,2828,-30
468,-617,2828,-30
469,67,1620,205
470,82,-509,-1
471,82,-509,-1
472,153,-3178,-126
473,153,-3178,-126
474,-284,2202,-93
475,290,1052,107
476,290,1052,107
477,-464,-291,-58
478,399,-2406,57
479,399,-2406,57
480,-128,1593,-49
481,-128,1593,-49
482,38,1287,-154
483,-206,1779,-260
484,-206,1779,-260
485,492,-7506,743
486,-904,3760,-262
487,-904,3760,-262
488,1360,1733,147
489,1360,1733,147
490,-1739,3017,-454
491,1928,-7932,257
492,1928,-7932,257
493,-1145,3480,-445
494,245,1648,440
495,245,1648,440
496,-365,659,54
497,-365,659,54
498,690,-4587,-109
499,-562,2629,-230
500,-562,2629,-230
501,346,1299,265
502,346,1299,265
503,-394,121,-84
504,234,-3175,18
505,234,-3175,18
506,-99,1649,-53
507,47,1409,161
508,47,1409,161
509,-271,-352,-61
510,-271,-352,-61
511,396,-2623,71
512,-367,1833,-68
513,-367,1833,-68
514,143,1157,116
515,-113,-970,-26
516,-113,-970,-26
517,107,-1296,20
518,107,-1296,20
519,31,1108,45
520,-76,928,7
521,-76,928,7
522,-25,-1012,-25
523,127,-868,-43
524,127,-868,-43
525,-43,1217,39
526,-43,1217,39
527,3,403,22
528,37,-946,-34
529,37,-946,-34
530,-21,-274,18
531,-20,778,65
532,-20,778,65
533,-13,41,49
534,-13,41,49
535,-39,-537,-9
536,82,-69,-13
537,82,-69,-13
538,-24,490,-12
539,-22,-31,53
540,-22,-31,53
541,15,-450,-21
542,15,-450,-21
543,-2,109,-15
544,9,247,-7
545,9,247,-7
546,12,-110,-14
547,37,-174,-41
548,37,-174,-41
549,53,47,-7
550,53,47,-7
551,34,104,27
552,10,-100,12
553,10,-100,12
554,-23,-56,34
555,-10,135,5
556,-10,135,5
557,14,14,27
558,14,14,27
559,-20,-57,17
560,-3,-28,-16
561,-3,-28,-16
562,-13,52,8
563,6,-4,-29
564,6,-4,-29
565,-29,-45,21
566,-29,-45,21
567,-19,-36,-45
568,-17,64,-10
569,-17,64,-10
570,9,-25,22
571,25,4,17
572,25,4,17
573,29,8,-44
574,29,8,-44
575,28,21,-16
576,25,-9,-12
577,25,-9,-12
578,10,9,19
579,10,9,19
580,-16,2,40
581,-2,24,45
582,-2,24,45
583,62,-57,56
584,4,-17,25
585,4,-17,25
586,10,-27,28
587,10,-27,28
588,30,28,9
589,21,7,-20
590,21,7,-20
591,22,11,31
592,34,2,42
593,34,2,42
594,-10,24,25
595,-10,24,25
596,24,-20,-21
597,-21,38,2
598,-21,38,2
599,-3,33,-13
600,-34,27,-10
601,-34,27,-10
602,-28,10,2
603,-28,10,2
