SNO,Xdata,Ydata,Zdata
0,37,-56,-60
1,-40,129,78
2,-40,129,78
3,45,-116,-21
4,8,20,81
5,8,20,81
6,84,-28,-121
7,84,-28,-121
8,-84,47,-38
9,-34,34,31
10,-34,34,31
11,-22,-150,67
12,-8,20,-48
13,-8,20,-48
14,9,-68,-99
15,9,-68,-99
16,-91,121,9
17,0,-95,31
18,0,-95,31
19,-11,2,79
20,96,-76,-149
21,96,-76,-149
22,-6,74,49
23,-6,74,49
24,40,34,1
25,36,-84,71
26,36,-84,71
27,30,51,-49
28,11,-76,-98
29,11,-76,-98
30,-95,96,48
31,-95,96,48
32,-27,-103,-22
33,-41,-16,124
34,-41,-16,124
35,16,-53,-137
36,-30,50,22
37,-30,50,22
38,-27,98,-17
39,-27,98,-17
40,-35,-69,29
41,3,37,-14
42,3,37,-14
43,46,-74,-85
44,-64,121,27
45,-64,121,27
46,41,-114,3
47,41,-114,3
48,-34,-27,98
49,82,-17,-152
50,82,-17,-152
51,-19,-26,27
52,-78,99,-49
53,-78,99,-49
54,8,-144,40
55,8,-144,40
56,-53,79,9
57,51,-69,-99
58,51,-69,-99
59,-99,120,64
60,17,-93,-23
61,17,-93,-23
62,16,-1,137
63,16,-1,137
64,57,-4,-149
65,-11,44,-39
66,-11,44,-39
67,-24,73,58
68,4,-102,35
69,4,-102,35
70,16,33,47
71,16,33,47
72,32,-111,-98
73,-83,123,18
74,-83,123,18
75,-13,-55,-25
76,-13,-55,-25
77,-17,-15,53
78,80,-3,-148
79,80,-3,-148
80,-5,31,22
81,-27,107,27
82,-27,107,27
83,13,-74,92
84,13,-74,92
85,33,39,-13
86,51,-69,-93
87,51,-69,-93
88,-67,115,104
89,-3,-44,-36
90,-3,-44,-36
91,-36,-63,139
92,-36,-63,139
93,28,13,-113
94,18,-19,-71
95,18,-19,-71
96,-50,95,50
97,32,-97,67
98,32,-97,67
99,9,57,64
100,9,57,64
101,63,-60,-150
102,-94,109,43
103,-94,109,43
104,-17,-64,21
105,-30,-44,46
106,-30,-44,46
107,24,-6,-93
108,24,-6,-93
109,-9,-21,29
110,-57,118,46
111,-57,118,46
112,20,-124,4
113,11,17,20
114,11,17,20
115,81,-47,-139
116,81,-47,-139
117,-63,39,32
118,9,-12,4
119,9,-12,4
120,44,-72,159
121,47,15,-27
122,47,15,-27
123,9,-62,-83
124,9,-62,-83
125,-94,111,-2
126,-2,-137,-3
127,-2,-137,-3
128,-26,81,67
129,74,-63,-148
130,74,-63,-148
131,-40,149,24
132,-40,149,24
133,42,-54,14
134,25,-39,162
135,25,-39,162
136,50,7,-31
137,-1,16,-66
138,-1,16,-66
139,-75,85,13
140,-75,85,13
141,-17,-104,72
142,-20,0,-4
143,-20,0,-4
144,37,-31,-114
145,-93,99,-10
146,-93,99,-10
147,-32,-7,16
148,-32,-7,16
149,5,-55,93
150,53,15,-51
151,53,15,-51
152,30,-17,-54
153,-46,48,54
154,-46,48,54
155,36,-38,10
156,36,-38,10
157,-20,-57,117
158,61,81,-128
159,61,81,-128
160,-31,-13,10
161,-31,-13,10
162,-33,59,29
163,27,-164,92
164,27,-164,92
165,-30,151,-22
166,52,-157,-106
167,52,-157,-106
168,-110,205,49
169,-110,205,49
170,3,-130,11
171,-40,66,97
172,-40,66,97
173,114,-36,-203
174,-53,29,32
175,-53,29,32
176,-35,100,-26
177,-35,100,-26
178,7,-147,162
179,48,123,-67
180,48,123,-67
181,68,-140,-92
182,-94,289,101
183,-94,289,101
184,41,-200,-108
185,41,-200,-108
186,-61,107,121
187,93,-138,-226
188,93,-138,-226
189,-99,170,50
190,-13,-69,-4
191,-13,-69,-4
192,7,9,27
193,7,9,27
194,60,-45,29
195,11,97,-52
196,11,97,-52
197,-63,-18,72
198,-34,112,58
199,-34,112,58
200,53,-139,82
201,53,-139,82
202,45,177,-34
203,5,-107,-31
204,5,-107,-31
205,-61,176,71
206,42,-173,34
207,42,-173,34
208,14,102,-32
209,14,102,-32
210,95,-107,-97
211,-91,146,23
212,-91,146,23
213,21,-94,41
214,-26,31,99
215,-26,31,99
216,59,-25,-116
217,59,-25,-116
218,-40,26,50
219,-27,41,15
220,-27,41,15
221,15,-85,38
222,-5,-16,37
223,-5,-16,37
224,81,-37,-100
225,81,-37,-100
226,-56,82,79
227,17,-48,-40
228,17,-48,-40
229,-11,-46,115
230,59,13,-94
231,59,13,-94
232,33,-43,-12
233,33,-43,-12
234,-25,140,11
235,22,-153,67
236,22,-153,67
237,-12,68,88
238,-12,68,88
239,64,-96,-69
240,-77,121,81
241,-77,121,81
242,6,-63,5
243,-18,-11,131
244,-18,-11,131
245,52,-36,-116
246,52,-36,-116
247,-39,36,-49
248,-59,75,0
249,-59,75,0
250,2,-108,66
251,1,-13,61
252,1,-13,61
253,94,-66,-202
254,94,-66,-202
255,-23,74,23
256,14,12,-15
257,14,12,-15
258,-14,-107,76
259,43,49,-85
260,43,49,-85
261,-15,-37,-107
262,-15,-37,-107
263,-80,135,54
264,-27,-118,78
265,-27,-118,78
266,-1,53,86
267,52,-74,-100
268,52,-74,-100
269,-71,84,-36
270,-71,84,-36
271,-22,-19,-38
272,20,-65,90
273,20,-65,90
274,53,12,-56
275,21,-19,-18
276,21,-19,-18
277,-32,98,0
278,-32,98,0
279,20,-89,21
280,-5,72,113
281,-5,72,113
282,74,-51,-162
283,-87,69,51
284,-87,69,51
285,-38,13,-12
286,-38,13,-12
287,41,-60,103
288,12,25,-91
289,12,25,-91
290,38,-109,-80
291,-29,147,40
292,-29,147,40
293,48,-121,14
294,48,-121,14
295,-3,41,36
296,86,-36,-103
297,86,-36,-103
298,-47,90,82
299,-2,39,21
300,-2,39,21
301,-34,-42,51
302,-34,-42,51
303,24,16,-56
304,23,-77,-70
305,23,-77,-70
306,-72,97,75
307,4,-116,21
308,4,-116,21
309,-8,1,61
310,-8,1,61
311,62,-47,-138
312,-44,77,26
313,-44,77,26
314,-9,4,-8
315,-9,4,-8
316,-19,-83,92
317,37,72,6
318,37,72,6
319,62,-68,-80
320,-56,155,30
321,-56,155,30
322,14,-84,6
323,14,-84,6
324,-34,2,109
325,70,-37,-99
326,70,-37,-99
327,-47,1,-8
328,-7,23,20
329,-7,23,20
330,-13,-116,56
331,-13,-116,56
332,-9,9,-57
333,34,-56,-68
334,34,-56,-68
335,-72,109,47
336,19,-72,-5
337,19,-72,-5
338,-4,4,95
339,-4,4,95
340,92,-6,-173
341,-30,53,-10
342,-30,53,-10
343,-19,71,-18
344,-4,-97,97
345,-4,-97,97
346,25,37,10
347,25,37,10
348,42,-54,-87
349,-94,155,43
350,-94,155,43
351,31,-46,-39
352,22,-21,145
353,22,-21,145
354,24,-49,-62
355,24,-49,-62
356,-20,-2,-23
357,-23,81,41
358,-23,81,41
359,-3,-117,66
360,28,18,7
361,28,18,7
362,81,-79,-138
363,81,-79,-138
364,-50,137,-5
365,31,-36,17
366,31,-36,17
367,-18,-9,101
368,63,-10,-112
369,63,-10,-112
370,-36,-19,19
371,-36,-19,19
372,-21,98,-33
373,1,-81,63
374,1,-81,63
