SNO,Xdata,Ydata,Zdata
0,-22,69,103
1,-1,-107,-75
2,-1,-107,-75
3,-1,59,49
4,-22,-19,-26
5,-22,-19,-26
6,-37,-23,-14
7,13,-6,-2
8,13,-6,-2
9,-53,23,-118
10,-53,23,-118
11,15,-73,-33
12,-47,36,-10
13,-47,36,-10
14,2,-2,-46
15,36,-8,-52
16,36,-8,-52
17,-23,4,-19
18,-23,4,-19
19,5,-47,-3
20,-5,38,133
21,-5,38,133
22,-32,-42,-84
23,-10,-10,-20
24,-10,-10,-20
25,-26,-8,-49
26,-26,-8,-49
27,-58,-62,-34
28,-8,83,63
29,-8,83,63
30,13,-24,-97
31,-11,-9,21
32,-11,-9,21
33,6,60,25
34,6,60,25
35,-28,-40,20
36,37,46,57
37,37,46,57
38,40,-13,-48
39,40,-13,-48
40,7,7,-36
41,36,7,66
42,36,7,66
43,-60,-8,-17
44,18,-33,-35
45,18,-33,-35
46,-2,38,77
47,-2,38,77
48,-27,-6,-49
49,24,-11,75
50,24,-11,75
51,-7,3,-48
52,19,-31,-48
53,19,-31,-48
54,6,59,28
55,6,59,28
56,-4,9,-83
57,14,44,79
58,14,44,79
59,-9,-32,-36
60,11,23,14
61,11,23,14
62,25,-26,66
63,25,-26,66
64,-58,-26,-50
65,-2,17,61
66,-2,17,61
67,15,35,-18
68,-39,20,-50
69,-39,20,-50
70,15,-26,69
71,15,-26,69
72,-19,74,26
73,41,-4,-60
74,41,-4,-60
75,34,-21,38
76,-9,38,-69
77,-9,38,-69
78,31,-37,25
79,31,-37,25
80,-20,45,63
81,18,-36,-84
82,18,-36,-84
83,23,10,115
84,-14,20,-37
85,-14,20,-37
86,-12,-5,-22
87,-12,-5,-22
88,-2,18,14
89,3,3,-77
90,3,3,-77
91,8,-2,7
92,-16,15,-19
93,-16,15,-19
94,-11,-3,0
95,-11,-3,0
96,32,-47,-18
97,-47,31,-59
98,-47,31,-59
99,38,-32,1
100,-53,11,39
101,-53,11,39
102,-11,-18,-57
103,-11,-18,-57
104,81,-14,16
105,-33,74,58
106,-33,74,58
107,35,-58,-52
108,19,51,73
109,19,51,73
110,6,-60,-124
111,6,-60,-124
112,10,-11,29
113,-18,49,-8
114,-18,49,-8
115,-13,-63,7
116,-13,-63,7
117,19,65,42
118,1,-22,-112
119,1,-22,-112
120,-15,8,4
121,17,27,55
122,17,27,55
123,-30,-12,-15
124,-30,-12,-15
125,41,27,29
126,-18,-3,26
127,-18,-3,26
128,6,-24,-43
129,15,14,48
130,15,14,48
131,-23,-5,-27
132,-23,-5,-27
133,30,-12,18
134,-28,52,31
135,-28,52,31
136,10,-44,-29
137,9,35,100
138,9,35,100
139,38,-13,-73
140,38,-13,-73
141,5,24,-3
142,37,74,-16
143,37,74,-16
144,-12,-92,-49
145,11,62,79
146,11,62,79
147,9,-66,2
148,9,-66,2
149,-23,40,37
150,54,-5,17
151,54,-5,17
152,-61,10,7
153,15,-3,-7
154,15,-3,-7
155,8,-22,26
156,8,-22,26
157,-48,25,3
158,24,-26,42
159,24,-26,42
160,-64,24,21
161,10,-20,-38
162,10,-20,-38
163,-7,-5,35
164,-7,-5,35
165,-38,15,-26
166,-5,12,31
167,-5,12,31
168,-21,3,37
169,34,20,-53
170,34,20,-53
