SNO,Xdata,Ydata,Zdata
0,30,-56,48
1,30,-56,48
2,70,-10,-147
3,-47,-7,68
4,-47,-7,68
5,-58,-16,-35
6,-58,-16,-35
7,-22,-133,106
8,24,116,-156
9,24,116,-156
10,-16,-111,-58
11,-67,218,55
12,-67,218,55
13,-11,-221,54
14,-11,-221,54
15,-17,78,27
16,80,-186,-138
17,80,-186,-138
18,-129,208,73
19,35,-184,-34
20,35,-184,-34
21,-37,70,158
22,-37,70,158
23,55,-98,-141
24,-2,81,16
25,-2,81,16
26,-37,23,-32
27,1,-82,16
28,1,-82,16
29,40,5,64
30,40,5,64
31,57,-2,-174
32,-50,57,79
33,-50,57,79
34,-42,48,-58
35,-2,-120,117
36,-2,-120,117
37,24,97,-73
38,24,97,-73
39,-2,-116,-91
40,-101,192,67
41,-101,192,67
42,-5,-179,16
43,-5,-179,16
44,-55,84,62
45,96,-123,-119
46,96,-123,-119
47,-69,127,17
48,17,-64,11
49,17,-64,11
50,12,-41,98
51,12,-41,98
52,48,-3,-23
53,42,-5,-69
54,42,-5,-69
55,-44,95,27
56,16,-88,14
57,16,-88,14
58,-18,-12,61
59,-18,-12,61
60,30,-37,-143
61,-50,69,12
62,-50,69,12
63,-26,-4,1
64,-39,-78,97
65,-39,-78,97
66,9,-11,5
67,9,-11,5
68,48,-49,-117
69,-15,124,29
70,-15,124,29
71,32,-124,1
72,32,-22,56
73,32,-22,56
74,28,-10,-93
75,28,-10,-93
76,-57,48,48
77,-21,14,46
78,-21,14,46
79,-13,-111,116
80,17,11,-49
81,17,11,-49
82,58,-57,-63
83,58,-57,-63
84,-48,102,38
85,34,-101,60
86,34,-101,60
87,-38,33,78
88,64,-32,-115
89,64,-32,-115
90,-63,63,22
91,-63,63,22
92,-74,23,11
93,25,-163,96
94,25,-163,96
95,33,45,-35
96,92,-80,-77
97,92,-80,-77
98,-101,102,74
99,-101,102,74
100,-9,-124,29
101,-20,43,76
102,-20,43,76
103,65,-63,-129
104,-56,61,27
105,-56,61,27
106,-25,8,47
107,-25,8,47
108,12,-74,136
109,69,-18,-39
110,69,-18,-39
111,12,-58,-64
112,-72,85,69
113,-72,85,69
114,-2,-47,-9
115,-2,-47,-9
116,-38,-20,21
117,52,-32,-156
118,52,-32,-156
119,-39,20,26
120,-39,20,26
121,-39,45,39
122,20,-108,90
123,20,-108,90
124,11,47,6
125,26,-61,-111
126,26,-61,-111
127,-49,144,54
128,-49,144,54
129,8,-68,-4
130,-36,-37,123
131,-36,-37,123
132,55,-23,-97
133,-35,12,-62
134,-35,12,-62
135,-63,54,-34
136,-63,54,-34
137,9,-138,0
138,13,13,-20
139,13,13,-20
140,66,-78,-137
141,-78,117,5
142,-78,117,5
143,33,-68,28
144,33,-68,28
145,-2,-14,102
146,62,-17,-130
147,62,-17,-130
148,4,37,-29
149,-29,82,-58
150,-29,82,-58
151,-8,-93,56
152,-8,-93,56
153,15,42,11
154,77,-79,-142
155,77,-79,-142
156,-103,110,42
157,-10,-64,-19
158,-10,-64,-19
159,-20,-77,154
160,-20,-77,154
161,58,-5,-135
162,8,-19,-50
163,8,-19,-50
164,-42,80,48
165,-23,-102,-4
166,-23,-102,-4
167,-2,49,-13
168,-2,49,-13
169,48,-82,-167
170,-66,115,6
171,-66,115,6
172,20,-68,23
173,-7,-54,122
174,-7,-54,122
175,67,-9,-58
176,67,-9,-58
