SNO,Xdata,Ydata,Zdata
11625,15,-16,-26
11626,15,-16,-26
11627,-16,7,-40
11628,-28,-25,-44
11629,-28,-25,-44
11630,-25,65,-17
11631,-25,65,-17
11632,-22,-39,1
11633,-56,60,-13
11634,-56,60,-13
11635,54,-52,-96
11636,-32,110,20
11637,-32,110,20
11638,24,-120,-32
11639,24,-120,-32
11640,-22,105,-6
11641,7,-93,-59
11642,7,-93,-59
11643,-48,46,44
11644,8,-106,-70
11645,8,-106,-70
11646,-35,69,-24
11647,-35,69,-24
11648,2,-106,59
11649,-38,21,13
11650,-38,21,13
11651,19,-15,-58
11652,5,-3,137
11653,5,-3,137
11654,21,6,-86
11655,21,6,-86
11656,-26,-34,84
11657,-2,62,-8
11658,-2,62,-8
11659,-28,-128,-12
11660,-35,97,-31
11661,-35,97,-31
11662,8,-167,-101
11663,8,-167,-101
11664,-53,154,111
11665,57,-158,-58
11666,57,-158,-58
11667,-45,147,31
11668,25,-153,-14
11669,25,-153,-14
11670,-38,180,-8
11671,-38,180,-8
11672,63,-166,-1
11673,-26,124,-15
11674,-26,124,-15
11675,22,-148,27
11676,-38,149,17
11677,-38,149,17
11678,21,-152,-2
11679,21,-152,-2
11680,-38,144,9
11681,12,-170,-41
11682,12,-170,-41
11683,-66,152,49
11684,17,-135,-33
11685,17,-135,-33
11686,-59,101,-1
11687,-59,101,-1
11688,41,-104,-64
11689,-30,62,11
11690,-30,62,11
11691,16,-66,-28
11692,-5,7,-48
11693,-5,7,-48
11694,-13,-21,-8
11695,-13,-21,-8
11696,-4,10,-45
11697,6,-43,-6
11698,6,-43,-6
11699,-12,-5,3
11700,-12,-5,3
11701,2,-32,-62
11702,6,35,-17
11703,6,35,-17
11704,-10,-58,30
11705,30,49,-26
11706,30,49,-26
11707,-24,-78,37
11708,-24,-78,37
11709,31,158,-53
11710,23,-197,5
11711,23,-197,5
11712,-72,217,60
11713,64,-238,-40
11714,64,-238,-40
11715,-98,216,29
11716,-98,216,29
11717,-13,-122,-44
11718,-5,45,28
11719,-5,45,28
11720,11,41,8
11721,9,-116,14
11722,9,-116,14
11723,-37,136,-2
11724,-37,136,-2
11725,77,-126,-56
11726,-12,82,4
11727,-12,82,4
11728,7,-157,-22
11729,-26,125,-6
11730,-26,125,-6
11731,43,-112,9
11732,43,-112,9
11733,-21,142,-38
11734,17,-188,-25
11735,17,-188,-25
11736,-3,73,24
11737,19,-65,4
11738,19,-65,4
11739,-56,97,58
11740,-56,97,58
11741,24,-126,-81
11742,6,73,-44
11743,6,73,-44
11744,54,-119,-6
11745,3,72,12
11746,3,72,12
11747,-17,-109,5
11748,-17,-109,5
11749,-12,128,-28
11750,13,-151,50
11751,13,-151,50
11752,-42,82,-16
11753,16,-133,-24
11754,16,-133,-24
11755,-40,89,20
11756,-40,89,20
11757,22,-126,-65
11758,-9,62,-5
11759,-9,62,-5
11760,16,-114,-42
11761,-23,39,-14
11762,-23,39,-14
11763,21,-65,-50
11764,21,-65,-50
11765,-19,57,40
11766,10,-40,-10
11767,10,-40,-10
11768,13,33,-14
11769,34,-32,11
11770,34,-32,11
11771,-31,20,-9
11772,-31,20,-9
11773,-18,-51,-41
11774,-15,13,-27
11775,-15,13,-27
11776,24,-26,35
11777,24,-26,35
11778,-26,39,-22
11779,8,-10,0
11780,8,-10,0
11781,7,15,13
11782,16,-51,-17
11783,16,-51,-17
11784,3,4,40
11785,3,4,40
11786,-1,-55,-2
11787,4,-11,17
11788,4,-11,17
11789,-3,-43,-31
11790,12,10,-16
11791,12,10,-16
11792,-8,-46,10
11793,-8,-46,10
11794,-42,10,-35
11795,1,-28,-8
11796,1,-28,-8
11797,-19,22,-26
11798,4,8,-60
11799,4,8,-60
11800,15,-3,36
11801,15,-3,36
11802,17,0,-19
11803,10,-23,19
11804,10,-23,19
11805,17,-60,-6
11806,-22,-28,12
11807,-22,-28,12
11808,-16,-24,31
11809,-16,-24,31
11810,-17,23,-47
11811,-32,-30,0
11812,-32,-30,0
11813,-15,-12,-26
11814,4,29,-43
11815,4,29,-43
11816,33,-14,7
11817,33,-14,7
11818,14,38,-40
11819,8,-3,2
11820,8,-3,2
11821,16,-36,-5
11822,13,-56,-28
11823,13,-56,-28
11824,-12,-49,37
11825,-12,-49,37
11826,32,-26,-25
11827,19,-21,24
11828,19,-21,24
11829,-20,-16,-31
11830,-17,7,-53
11831,-17,7,-53
