SNO,Xdata,Ydata,Zdata
0,63,-67,61
1,-44,60,-19
2,-44,60,-19
3,22,-12,-29
4,29,-27,14
5,29,-27,14
6,-58,74,-20
7,-58,74,-20
8,48,-81,1
9,-31,36,-41
10,-31,36,-41
11,-46,60,-37
12,38,-55,-28
13,38,-55,-28
14,-10,31,-7
15,-10,31,-7
16,-20,0,49
17,29,-29,-64
18,29,-29,-64
19,-27,57,-52
20,7,-40,29
21,7,-40,29
22,40,-29,-75
23,40,-29,-75
24,-35,61,62
25,27,-54,58
26,27,-54,58
27,-10,8,-79
28,-10,8,-79
29,-46,74,29
30,15,-68,-17
31,15,-68,-17
32,-78,12,-14
33,-29,-20,24
34,-29,-20,24
35,44,-49,-77
36,44,-49,-77
37,-11,-26,-52
38,-31,-22,68
39,-31,-22,68
40,58,0,-45
41,-8,43,14
42,-8,43,14
43,31,-7,67
44,31,-7,67
45,35,-22,-28
46,-55,92,15
47,-55,92,15
48,23,-38,-8
49,3,13,-54
50,3,13,-54
51,-34,39,0
52,-34,39,0
53,0,-50,32
54,-29,42,-28
55,-29,42,-28
56,-42,30,-40
57,6,-19,0
58,6,-19,0
59,15,9,10
60,15,9,10
61,24,-2,-33
62,11,-11,-7
63,11,-11,-7
64,-25,23,-14
65,23,-59,-40
66,23,-59,-40
67,6,-29,-8
68,6,-29,-8
69,-39,46,29
70,-32,-46,-46
71,-32,-46,-46
72,-22,46,62
73,-31,17,17
74,-31,17,17
75,-4,-5,-71
76,-4,-5,-71
77,-18,7,23
78,-23,55,-41
79,-23,55,-41
80,25,-39,4
81,-21,16,31
82,-21,16,31
83,27,6,-1
84,27,6,-1
85,-9,-32,59
86,11,27,15
87,11,27,15
88,19,-10,-10
89,-13,23,63
90,-13,23,63
91,-21,45,-47
92,-21,45,-47
93,14,-30,-26
94,6,14,-23
95,6,14,-23
96,-8,10,-58
97,-31,15,-8
98,-31,15,-8
99,-3,-22,11
100,-3,-22,11
101,11,63,15
102,23,-51,15
103,23,-51,15
104,-32,12,-6
105,13,-16,-11
106,13,-16,-11
107,-19,-17,21
108,-19,-17,21
109,3,44,-4
110,21,-27,-20
111,21,-27,-20
112,-3,59,107
113,-3,59,107
114,-3,2,4
115,-28,-10,-28
116,-28,-10,-28
117,-15,11,-14
118,-17,-19,3
119,-17,-19,3
120,1,-16,17
121,1,-16,17
122,13,5,-19
123,16,-10,7
124,16,-10,7
125,-4,5,-18
126,-4,28,13
127,-4,28,13
128,-20,-21,-42
129,-20,-21,-42
130,-16,-6,-26
131,-7,-14,-27
132,-7,-14,-27
133,-20,-26,63
134,10,-5,-6
135,10,-5,-6
136,-14,-17,-9
137,-14,-17,-9
138,20,2,10
139,-38,5,9
140,-38,5,9
141,5,-28,10
142,-27,20,-15
143,-27,20,-15
144,-9,7,-21
145,-9,7,-21
146,-15,-1,24
147,-21,10,2
148,-21,10,2
149,5,13,-55
150,-10,15,-1
151,-10,15,-1
152,19,23,21
153,19,23,21
154,27,-46,-36
155,12,-4,-9
156,12,-4,-9
157,-13,-22,0
158,-30,-26,0
159,-30,-26,0
160,-34,52,16
161,-34,52,16
162,16,-7,-3
163,11,-32,40
164,11,-32,40
165,14,-10,25
166,0,-1,-8
167,0,-1,-8
168,21,-15,-6
169,21,-15,-6
170,19,-7,-16
171,13,12,-27
172,13,12,-27
173,17,6,30
174,1,-5,0
175,1,-5,0
176,2,-22,12
177,2,-22,12
178,-31,20,46
179,17,-20,-58
180,17,-20,-58
181,39,26,8
182,28,17,30
183,28,17,30
184,21,-43,1
185,21,-43,1
186,10,-52,-21
187,15,25,-8
188,15,25,-8
189,-2,-9,-6
190,-2,-9,-6
191,-11,4,-19
192,-4,20,14
193,-4,20,14
194,7,-23,-2
195,-21,13,25
196,-21,13,25
197,-16,-8,-30
198,-16,-8,-30
199,-24,15,-33
200,-3,12,-20
201,-3,12,-20
202,15,-42,-7
203,-1,18,-5
204,-1,18,-5
205,7,-14,35
206,7,-14,35
207,-2,-5,40
208,-48,-17,-6
209,-48,-17,-6
210,-28,-2,38
211,-22,-2,1
212,-22,-2,1
213,-10,-6,-7
214,-10,-6,-7
215,-6,-22,-44
216,14,11,-2
217,14,11,-2
218,32,-18,24
219,28,17,-52
220,28,17,-52
221,4,-1,1
222,4,-1,1
223,7,-6,-17
224,-14,-33,-18
225,-14,-33,-18
226,17,11,19
227,21,5,-35
228,21,5,-35
229,-1,1,36
230,-1,1,36
231,0,19,33
232,-12,-1,26
233,-12,-1,26
234,-2,40,12
235,-12,-33,23
236,-12,-33,23
237,-55,8,37
238,-55,8,37
239,-4,22,-36
240,2,11,-4
241,2,11,-4
242,27,-2,16
243,-5,-17,42
244,-5,-17,42
245,5,-1,34
246,5,-1,34
247,14,-5,22
248,-26,-22,-19
249,-26,-22,-19
250,-20,6,-68
251,-43,-23,12
252,-43,-23,12
253,-7,-29,3
254,-7,-29,3
255,-10,22,28
256,-21,16,-5
257,-21,16,-5
258,-12,11,49
259,10,4,2
260,10,4,2
261,-17,19,16
262,-17,19,16
263,5,-34,20
264,17,9,-7
265,17,9,-7
266,13,-37,-9
267,38,26,-10
268,38,26,-10
269,-11,13,-9
270,-11,13,-9
271,-7,-14,-18
272,-6,-8,-42
273,-6,-8,-42
274,12,-5,-68
275,12,-5,-68
276,1,-1,60
277,-10,-28,-14
278,-10,-28,-14
279,29,0,-17
280,-23,-28,-33
281,-23,-28,-33
282,0,8,3
283,0,8,3
284,44,-1,-27
285,25,-19,-14
286,25,-19,-14
287,-26,-16,-79
288,19,-42,-36
289,19,-42,-36
290,-10,-31,25
291,-10,-31,25
292,-5,-21,-9
293,29,6,36
294,29,6,36
295,-26,53,5
296,21,1,-2
297,21,1,-2
298,48,15,30
299,48,15,30
300,41,-35,-5
301,0,-30,23
302,0,-30,23
303,-12,2,-14
304,12,53,23
305,12,53,23
306,26,-34,38
307,26,-34,38
308,-3,40,-30
309,-14,-4,-1
310,-14,-4,-1
311,-25,-7,-8
312,-9,-18,-54
313,-9,-18,-54
314,9,14,-25
315,9,14,-25
316,6,15,19
317,-6,22,-13
318,-6,22,-13
319,-20,16,-18
320,-44,9,-11
321,-44,9,-11
322,-5,-12,27
323,-5,-12,27
324,14,-21,24
325,-7,-9,-3
326,-7,-9,-3
327,-11,-11,16
328,5,-28,3
329,5,-28,3
330,-6,11,-19
331,-6,11,-19
332,-2,-23,10
333,-19,19,21
334,-19,19,21
335,-7,7,2
336,-3,-8,50
337,-3,-8,50
338,-19,-11,22
339,-19,-11,22
340,-13,39,-6
341,-27,0,57
342,-27,0,57
343,-51,38,-5
344,-15,13,-17
345,-15,13,-17
346,-22,3,4
347,-22,3,4
348,-9,0,-11
349,-37,-21,-13
350,-37,-21,-13
351,-23,11,4
352,9,-22,17
353,9,-22,17
354,23,-17,29
355,23,-17,29
356,37,35,-25
357,32,-8,-51
358,32,-8,-51
359,-29,-16,18
360,-29,-16,18
361,-17,9,14
362,-23,18,36
363,-23,18,36
364,0,-17,12
365,-27,45,-14
366,-27,45,-14
367,-42,3,15
368,-42,3,15
369,-8,23,38
370,23,1,-8
371,23,1,-8
372,41,-5,20
373,11,-1,28
374,11,-1,28
375,0,24,11
376,0,24,11
377,-19,19,-27
378,-6,-28,-14
379,-6,-28,-14
380,14,25,8
381,9,-18,41
382,9,-18,41
383,5,53,-23
384,5,53,-23
385,27,-26,15
386,-13,13,19
387,-13,13,19
388,7,17,-42
389,-33,15,65
390,-33,15,65
391,6,-2,43
392,6,-2,43
393,19,-16,-22
394,35,-8,45
395,35,-8,45
396,19,26,-17
397,2,-2,20
398,2,-2,20
399,-17,22,-12
400,-17,22,-12
401,10,5,-21
402,-22,12,-14
403,-22,12,-14
404,-14,-9,1
405,-16,-5,-12
406,-16,-5,-12
407,3,-45,19
408,3,-45,19
409,-2,39,20
410,-33,-49,34
411,-33,-49,34
412,-14,2,16
413,25,-11,6
414,25,-11,6
415,16,53,-28
416,16,53,-28
417,13,-28,3
418,-32,20,23
419,-32,20,23
420,36,-11,5
421,18,23,-49
422,18,23,-49
423,-11,-1,-14
424,-11,-1,-14
425,17,20,-16
426,17,-27,6
427,17,-27,6
428,-7,24,-26
429,40,-28,-31
430,40,-28,-31
431,-1,-11,5
432,-1,-11,5
433,33,8,-17
434,-10,30,49
435,-10,30,49
436,3,19,-56
437,3,19,-56
438,9,13,33
439,14,8,-27
440,14,8,-27
441,22,18,-51
442,-13,-18,-19
443,-13,-18,-19
444,-29,43,-40
445,-29,43,-40
446,-1,-18,23
447,-25,7,-15
448,-25,7,-15
449,-14,57,-22
450,-1,-19,26
451,-1,-19,26
452,-30,-15,-15
453,-30,-15,-15
454,15,-19,-56
455,-4,31,-8
456,-4,31,-8
457,-30,54,-37
458,-17,23,-18
459,-17,23,-18
460,7,-18,58
461,7,-18,58
462,-5,35,62
463,1,5,47
464,1,5,47
465,-4,15,54
466,-15,-33,-11
467,-15,-33,-11
468,-17,-22,-54
469,-17,-22,-54
470,-17,23,-10
471,-4,-40,-12
472,-4,-40,-12
473,7,19,13
474,43,-11,9
475,43,-11,9
476,1,12,-8
477,1,12,-8
478,-14,14,-5
479,-6,-4,-32
480,-6,-4,-32
481,23,-37,24
482,17,12,31
483,17,12,31
484,5,-6,48
485,5,-6,48
486,25,10,5
487,19,29,-6
488,19,29,-6
489,15,-43,-19
490,-13,18,1
491,-13,18,1
492,-1,23,-41
493,-1,23,-41
494,8,-27,1
495,4,31,25
496,4,31,25
497,-9,-16,15
498,-21,-3,47
499,-21,-3,47
500,15,6,6
501,15,6,6
502,30,-38,13
503,-23,-1,57
504,-23,-1,57
505,2,0,25
506,19,1,-40
507,19,1,-40
508,-30,-15,-52
509,-30,-15,-52
510,-16,21,-17
511,-8,-16,38
512,-8,-16,38
513,-19,20,35
514,-19,20,35
515,-6,-20,25
516,-24,-12,-8
517,-24,-12,-8
518,-32,9,-3
519,-33,-5,13
520,-33,-5,13
521,20,-11,-31
522,20,-11,-31
523,-15,19,-17
524,-12,3,-34
525,-12,3,-34
526,7,-9,-9
527,12,6,13
528,12,6,13
529,27,-21,6
530,27,-21,6
531,23,-24,-12
532,16,-8,-6
533,16,-8,-6
534,-39,33,-58
535,2,-25,6
536,2,-25,6
537,-46,-9,0
538,-46,-9,0
539,31,-10,-69
540,-18,-61,72
541,-18,-61,72
542,32,-36,10
543,52,41,-40
544,52,41,-40
545,7,-33,17
546,7,-33,17
547,-3,-17,43
548,-10,0,-25
549,-10,0,-25
550,26,-5,6
551,-20,-24,-17
552,-20,-24,-17
553,-62,47,-28
554,-62,47,-28
555,-4,-45,45
556,-26,51,-19
557,-26,51,-19
558,-50,33,0
559,-13,-4,27
560,-13,-4,27
561,13,29,-53
562,13,29,-53
563,14,3,-53
564,12,-4,-56
565,12,-4,-56
566,-28,-5,-52
567,-8,-17,0
568,-8,-17,0
569,-12,-9,2
570,-12,-9,2
571,-21,9,-15
572,17,11,-3
573,17,11,-3
574,17,-22,-68
575,18,50,44
576,18,50,44
577,36,-23,-24
578,36,-23,-24
579,-12,10,67
580,-35,-28,43
581,-35,-28,43
582,-9,37,-13
583,-35,2,-12
584,-35,2,-12
585,-3,3,-25
586,-3,3,-25
587,-8,-6,-35
588,-31,2,69
589,-31,2,69
590,29,-15,63
591,-36,18,-37
592,-36,18,-37
593,8,28,14
594,8,28,14
595,22,-39,-49
596,11,52,-76
597,11,52,-76
598,-11,-1,26
599,-11,-1,26
600,-19,20,9
601,28,6,2
602,28,6,2
603,-34,-17,22
604,-1,-29,-65
605,-1,-29,-65
606,-46,-7,30
607,-46,-7,30
608,6,-12,4
609,-68,-22,-32
610,-68,-22,-32
611,18,-5,28
612,-14,1,-111
613,-14,1,-111
614,-20,-2,45
615,-20,-2,45
616,72,-4,-18
617,-24,-3,-21
618,-24,-3,-21
619,-6,37,-35
620,12,-72,72
621,12,-72,72
622,2,100,-85
623,2,100,-85
624,67,-113,29
625,-49,63,43
626,-49,63,43
627,-10,-40,-54
628,-3,9,33
629,-3,9,33
630,-27,-34,-34
631,-27,-34,-34
632,-27,13,63
633,17,-30,17
634,17,-30,17
635,-2,47,-36
636,8,-10,35
637,8,-10,35
638,11,0,-30
639,11,0,-30
640,22,28,14
641,-10,45,76
642,-10,45,76
643,5,-53,-29
644,-16,21,8
645,-16,21,8
646,35,-48,41
647,35,-48,41
648,12,46,15
649,3,-22,-30
650,3,-22,-30
651,24,-8,-64
652,-6,10,45
653,-6,10,45
654,2,32,-63
655,2,32,-63
656,31,-33,13
657,-15,34,33
658,-15,34,33
659,9,1,72
660,-15,20,-46
661,-15,20,-46
662,-13,52,-27
663,-13,52,-27
664,6,-35,-2
665,-12,8,-32
666,-12,8,-32
667,-26,13,24
668,23,31,21
669,23,31,21
670,-22,26,-2
671,-22,26,-2
672,13,9,-10
673,12,-36,-12
674,12,-36,-12
675,-41,7,-15
676,-41,7,-15
677,7,27,-10
678,-16,-12,11
679,-16,-12,11
680,1,35,22
681,-8,-7,-21
682,-8,-7,-21
683,-2,5,-52
684,-2,5,-52
685,5,17,-8
686,-15,-10,8
687,-15,-10,8
688,-12,5,-40
689,0,-16,28
690,0,-16,28
691,-8,-31,28
692,-8,-31,28
693,-19,-20,7
694,15,-5,14
695,15,-5,14
696,16,-19,14
697,15,5,13
698,15,5,13
699,19,-52,-46
700,19,-52,-46
701,-13,27,-15
702,15,-12,-58
703,15,-12,-58
704,21,-37,-30
705,43,39,17
706,43,39,17
707,28,-56,6
708,28,-56,6
709,-29,12,-7
710,3,1,-8
711,3,1,-8
712,-26,8,5
713,-36,-19,5
714,-36,-19,5
715,-23,-14,-11
716,-23,-14,-11
717,17,-17,13
718,-51,15,-26
719,-51,15,-26
720,-20,-18,31
721,-13,10,19
722,-13,10,19
723,-16,25,-50
724,-16,25,-50
725,30,-34,-7
726,-4,1,-11
727,-4,1,-11
728,7,15,-36
729,1,28,-45
730,1,28,-45
731,15,-2,-25
732,15,-2,-25
733,7,8,-60
734,27,-15,37
735,27,-15,37
736,-16,8,-11
737,-1,-1,-32
738,-1,-1,-32
739,-15,7,-32
740,-15,7,-32
741,-17,23,21
742,1,-27,14
743,1,-27,14
744,26,-3,-11
745,5,-22,-14
746,5,-22,-14
747,-34,-5,-21
748,-34,-5,-21
749,-32,30,41
750,5,-35,-4
751,5,-35,-4
752,-4,4,-9
753,-10,-13,-55
754,-10,-13,-55
755,-20,-18,-40
756,-20,-18,-40
757,-3,4,33
758,18,16,-21
759,18,16,-21
760,31,-26,-9
761,31,-26,-9
762,29,60,36
763,11,55,-7
764,11,55,-7
765,-2,-7,-53
766,-17,0,-28
767,-17,0,-28
768,-24,-2,-20
769,-24,-2,-20
770,-9,19,-5
771,26,-6,-36
