SNO,Xdata,Ydata,Zdata
0,-13,10,-48
1,-13,10,-48
2,-23,-26,-32
3,-47,2,-25
4,-47,2,-25
5,6,18,-15
6,6,18,-15
7,-35,20,-2
8,-30,-10,74
9,-30,-10,74
10,-24,-15,32
11,-5,-12,19
12,-5,-12,19
13,-15,-27,-22
14,-15,-27,-22
15,-15,1,-19
16,3,7,-39
17,3,7,-39
18,18,-36,3
19,0,45,-28
20,0,45,-28
21,37,-8,-56
22,37,-8,-56
23,-21,0,61
24,10,3,57
25,10,3,57
26,-29,-2,-7
27,38,-38,-78
28,38,-38,-78
29,20,2,-39
30,20,2,-39
31,-5,18,12
32,-22,82,18
33,-22,82,18
34,-4,-107,-39
35,-4,-107,-39
36,-18,6,-12
37,44,-25,17
38,44,-25,17
39,-49,86,40
40,-7,-15,-6
41,-7,-15,-6
42,14,-6,-30
43,14,-6,-30
44,9,-46,28
45,0,42,-17
46,0,42,-17
47,-9,10,-14
48,-6,41,40
49,-6,41,40
50,-4,-80,71
51,-4,-80,71
52,32,160,-146
53,-5,-246,23
54,-5,-246,23
55,-5,202,57
56,35,-196,-61
57,35,-196,-61
58,-60,226,64
59,-60,226,64
60,-4,-257,-1
61,-28,82,17
62,-28,82,17
63,70,-45,-35
64,-49,142,16
65,-49,142,16
66,35,-157,-13
67,35,-157,-13
68,28,90,22
69,-9,-19,7
70,-9,-19,7
71,31,-50,-32
72,26,-35,-52
73,26,-35,-52
74,22,69,-27
75,22,69,-27
76,-33,19,14
77,31,-134,-52
78,31,-134,-52
79,-23,-15,-18
80,-5,88,13
81,-5,88,13
82,-35,-4,14
83,-35,-4,14
84,7,-125,-2
85,-5,78,12
86,-5,78,12
87,-26,-47,64
88,16,-14,-38
89,16,-14,-38
90,47,-147,-65
91,47,-147,-65
92,-28,162,-27
93,18,-100,21
94,18,-100,21
95,-5,21,9
96,1,-61,54
97,1,-61,54
98,-8,110,-30
99,-8,110,-30
100,39,-168,33
101,-18,64,6
102,-18,64,6
103,-7,-103,-1
104,-42,94,1
105,-42,94,1
106,37,-113,-2
107,37,-113,-2
108,-23,31,-27
109,12,-45,-45
110,12,-45,-45
111,18,102,-33
112,18,102,-33
113,-7,-87,-19
114,1,60,51
115,1,60,51
116,31,-51,-42
117,-21,62,39
118,-21,62,39
119,19,-100,-30
120,19,-100,-30
121,3,40,-23
122,0,-37,12
123,0,-37,12
124,-6,28,23
125,-20,-41,25
126,-20,-41,25
127,10,-13,-35
128,10,-13,-35
129,13,6,26
130,-12,26,-16
131,-12,26,-16
132,-23,-5,25
133,-25,21,17
134,-25,21,17
135,28,-30,-19
136,28,-30,-19
137,14,-16,-25
138,-19,-39,-33
139,-19,-39,-33
140,-18,15,72
141,18,16,24
142,18,16,24
143,-17,7,-19
144,-17,7,-19
145,-11,-62,17
146,13,-3,27
147,13,-3,27
148,-11,-20,44
149,18,-25,-42
150,18,-25,-42
151,-23,3,12
152,-23,3,12
153,14,-22,19
154,-36,-23,-42
155,-36,-23,-42
156,21,-2,-14
157,25,-2,8
158,25,-2,8
159,-40,47,45
160,-40,47,45
161,9,-82,-83
162,-39,28,68
163,-39,28,68
164,-10,27,-55
165,2,-29,8
166,2,-29,8
167,0,10,-45
168,0,10,-45
169,-19,-7,18
170,23,16,54
171,23,16,54
172,14,-57,-40
173,-36,-13,33
174,-36,-13,33
175,12,-43,-38
176,12,-43,-38
177,-34,44,-33
178,16,-24,-57
179,16,-24,-57
180,9,20,8
181,25,-40,-47
182,25,-40,-47
183,24,30,-43
184,24,30,-43
185,7,-64,-13
186,-10,74,31
187,-10,74,31
188,-29,-80,-6
189,-29,-80,-6
190,-67,74,12
191,-32,-87,-82
192,-32,-87,-82
193,-17,78,28
194,22,-41,-12
195,22,-41,-12
196,-19,20,-39
197,-19,20,-39
198,-22,-18,-13
199,10,28,-31
200,10,28,-31
201,-1,-21,78
202,16,-19,-58
203,16,-19,-58
204,10,3,-18
205,10,3,-18
206,6,-11,7
207,22,-15,-57
208,22,-15,-57
209,17,-51,-24
210,40,-22,-28
211,40,-22,-28
212,-14,-9,-4
213,-14,-9,-4
214,11,28,-14
215,23,-41,36
216,23,-41,36
217,-2,11,2
218,30,-25,-32
219,30,-25,-32
220,-26,49,17
221,-26,49,17
222,21,-9,-16
223,-22,-2,-9
224,-22,-2,-9
225,26,-31,-5
226,-3,5,-13
227,-3,5,-13
228,-1,-79,27
229,-1,-79,27
230,17,24,0
231,8,-13,-12
232,8,-13,-12
233,-33,3,12
234,17,12,-36
235,17,12,-36
236,-2,-2,-32
237,-2,-2,-32
238,-23,-27,-1
239,14,18,-33
240,14,18,-33
241,-8,-13,3
242,-21,-20,-24
243,-21,-20,-24
244,15,-25,-26
245,15,-25,-26
246,-9,7,14
247,9,-34,-54
248,9,-34,-54
249,-22,24,40
250,18,25,-1
251,18,25,-1
252,22,-5,-53
253,22,-5,-53
254,-39,2,-43
255,-27,-46,38
256,-27,-46,38
257,2,99,24
258,1,-84,-41
259,1,-84,-41
260,-23,62,29
261,-23,62,29
262,28,-10,-116
263,-92,-129,134
264,-92,-129,134
265,26,139,-89
266,26,139,-89
267,8,-93,-171
268,-130,63,264
269,-130,63,264
270,98,-89,-80
271,-6,-4,-122
272,-6,-4,-122
273,-37,97,131
274,-37,97,131
275,36,-205,-38
276,-41,235,-8
277,-41,235,-8
278,81,-119,72
279,-51,-16,11
280,-51,-16,11
281,-37,117,-106
282,-37,117,-106
283,13,-70,97
284,-10,75,-3
285,-10,75,-3
286,-10,-84,-78
287,6,28,61
288,6,28,61
289,27,1,-69
290,27,1,-69
291,-35,-4,28
292,45,-62,36
293,45,-62,36
294,41,16,-121
295,-22,18,68
296,-22,18,68
297,-9,-22,37
298,-9,-22,37
299,-11,-107,-24
300,-27,101,63
301,-27,101,63
302,44,-101,25
303,-55,45,-44
304,-55,45,-44
305,40,-26,-65
306,40,-26,-65
307,-28,-12,91
308,-10,1,-51
309,-10,1,-51
310,60,-2,-54
311,-9,-8,-31
312,-9,-8,-31
313,23,-6,-45
314,23,-6,-45
315,13,-64,-27
316,-59,49,19
317,-59,49,19
318,-4,-65,0
319,8,30,-40
320,8,30,-40
321,-27,0,-5
322,-27,0,-5
323,14,-25,-6
324,11,-17,22
325,11,-17,22
326,-4,-25,-18
327,7,-74,51
328,7,-74,51
329,-20,25,10
330,-20,25,10
331,3,-12,-37
332,21,-42,-1
333,21,-42,-1
334,-24,9,-46
335,-11,-24,8
336,-11,-24,8
337,-22,-21,-1
338,-22,-21,-1
339,-2,-15,-19
340,-1,1,32
341,-1,1,32
342,9,-76,-65
343,9,-76,-65
344,9,-76,-65
345,45,-20,-27
346,45,-20,-27
347,25,9,6
348,15,-27,-1
349,15,-27,-1
350,-15,-2,33
351,-15,-2,33
352,-24,18,-88
353,-29,-7,-63
354,-29,-7,-63
355,11,-15,-66
356,-2,-12,9
357,-2,-12,9
358,-27,-16,-52
359,-27,-16,-52
360,-34,21,48
361,2,15,-68
362,2,15,-68
363,12,-58,-18
364,-1,15,16
365,-1,15,16
366,18,31,-31
367,18,31,-31
368,6,-127,-10
369,5,-5,-29
370,5,-5,-29
371,13,-17,53
372,-30,-21,20
373,-30,-21,20
374,21,-20,-72
375,21,-20,-72
376,28,56,38
377,35,11,-10
378,35,11,-10
379,-20,20,-5
380,-30,-38,-38
381,-30,-38,-38
382,10,-29,-10
383,10,-29,-10
384,-12,29,-36
385,3,15,13
386,3,15,13
387,-14,-26,9
388,-11,20,-35
389,-11,20,-35
390,19,95,-4
391,19,95,-4
392,23,-194,-46
393,-105,83,86
394,-105,83,86
395,81,-218,-92
396,41,384,-42
397,41,384,-42
398,-52,-140,-40
399,-52,-140,-40
400,-38,-86,20
401,40,120,3
402,40,120,3
403,27,199,-13
404,-46,-220,43
405,-46,-220,43
406,-30,-311,26
407,-30,-311,26
408,52,103,-9
409,-19,76,6
410,-19,76,6
411,15,-206,7
412,16,-238,-64
413,16,-238,-64
414,6,421,-41
415,6,421,-41
416,11,42,-40
417,-15,-193,45
418,-15,-193,45
419,1,18,-60
420,32,201,-31
421,32,201,-31
422,-38,3,9
423,-38,3,9
424,-9,-112,-49
425,-6,3,33
426,-6,3,33
427,-18,8,-58
428,-18,8,-58
429,28,-181,25
430,40,-66,37
431,40,-66,37
432,-13,237,-42
433,29,-55,17
434,29,-55,17
435,-28,-120,-3
436,-28,-120,-3
437,4,54,-1
438,38,50,-13
439,38,50,-13
440,-6,-1,21
441,-32,-137,-20
442,-32,-137,-20
443,-1,-68,8
444,-1,-68,8
445,3,88,-19
446,19,41,-22
447,19,41,-22
448,-1,-114,5
449,12,-72,2
450,12,-72,2
451,-24,202,-8
452,-24,202,-8
453,9,-82,-43
454,-35,-23,6
455,-35,-23,6
456,47,-90,-56
457,-7,94,56
458,-7,94,56
459,-14,-53,-59
460,-14,-53,-59
461,-24,-40,-40
462,47,25,40
463,47,25,40
464,44,79,-61
465,1,-136,79
466,1,-136,79
467,-14,71,25
468,-14,71,25
469,21,17,-11
470,-16,29,25
471,-16,29,25
472,12,-113,-55
473,10,24,-9
474,10,24,-9
475,19,-28,-12
476,19,-28,-12
477,-15,13,-4
478,20,-92,25
479,20,-92,25
480,-18,117,-32
481,34,-9,-7
482,34,-9,-7
483,1,11,27
484,1,11,27
485,-25,-27,-41
486,-7,38,31
487,-7,38,31
488,-19,-17,7
489,-3,-12,-28
490,-3,-12,-28
491,-11,-5,39
492,-11,-5,39
493,-21,39,-1
494,-14,-5,21
495,-14,-5,21
496,-6,-13,41
497,36,-2,-16
498,36,-2,-16
499,18,-17,32
500,18,-17,32
501,-27,23,-15
502,21,-9,-25
503,21,-9,-25
504,-1,80,37
505,-1,80,37
506,13,-36,-36
507,-28,62,24
508,-28,62,24
509,16,-93,-59
510,-15,41,-65
511,-15,41,-65
512,-30,-67,16
513,-30,-67,16
514,6,45,-9
515,18,-77,-24
516,18,-77,-24
517,-30,111,-1
518,72,-180,-48
519,72,-180,-48
520,-47,173,85
521,-47,173,85
522,37,-109,-84
523,-13,104,83
524,-13,104,83
525,47,-78,-51
526,11,76,67
527,11,76,67
528,44,18,-4
529,44,18,-4
530,-11,27,-12
531,11,-42,54
532,11,-42,54
533,-10,-3,-31
534,-22,83,-30
535,-22,83,-30
536,-3,-143,-15
537,-3,-143,-15
538,-61,-40,-16
539,3,-77,-20
540,3,-77,-20
541,5,55,-4
542,5,-80,30
543,5,-80,30
544,-7,74,27
545,-7,74,27
546,24,-62,-12
547,9,148,3
548,9,148,3
549,19,-161,-11
550,0,94,-35
551,0,94,-35
552,73,-175,-10
553,73,-175,-10
554,-12,88,33
555,39,-132,-42
556,39,-132,-42
557,-28,125,13
558,38,-151,-17
559,38,-151,-17
560,-46,94,14
561,-46,94,14
562,-7,-87,7
563,-1,61,-4
564,-1,61,-4
565,13,-113,-4
566,-23,18,13
567,-23,18,13
568,-12,-7,-29
569,-12,-7,-29
570,-21,57,-5
571,12,-60,-11
572,12,-60,-11
573,-6,54,-7
574,33,38,25
575,33,38,25
576,-9,-5,17
577,-9,-5,17
578,-40,-50,-18
579,21,-37,-7
580,21,-37,-7
581,-3,15,-4
582,-3,15,-4
583,-21,-35,-3
584,-5,-28,38
585,-5,-28,38
586,3,17,3
587,-32,-13,86
588,-32,-13,86
589,-11,78,-148
590,-11,78,-148
591,-21,-177,176
592,45,265,-48
593,45,265,-48
594,29,-295,-95
595,57,749,51
596,57,749,51
597,-166,379,-129
598,-166,379,-129
599,17,-2253,201
600,77,1053,-331
601,77,1053,-331
602,-8,962,135
603,-35,-341,-98
604,-35,-341,-98
605,104,-1192,-108
606,104,-1192,-108
607,-102,844,107
608,145,496,-185
609,145,496,-185
610,-47,-548,169
611,-68,-316,-84
612,-68,-316,-84
613,122,211,-8
614,122,211,-8
615,5,399,21
616,-99,-125,29
617,-99,-125,29
618,108,-396,47
619,-35,399,-33
620,-35,399,-33
621,38,52,32
622,38,52,32
623,26,-178,5
624,-26,-184,18
625,-26,-184,18
626,9,358,29
627,40,-234,-24
628,40,-234,-24
629,-70,122,71
630,-70,122,71
631,73,-303,-74
632,-5,255,7
633,-5,255,7
634,2,-13,7
635,-55,-67,-19
636,-55,-67,-19
637,10,-44,0
638,10,-44,0
639,11,115,13
640,8,41,35
641,8,41,35
642,-63,-39,2
643,-45,66,-2
644,-45,66,-2
645,6,72,-5
646,6,72,-5
647,-62,-29,-8
648,51,-173,-39
649,51,-173,-39
650,22,-36,10
651,9,53,-13
652,9,53,-13
653,13,-12,-57
654,13,-12,-57
655,-50,8,29
656,16,-16,-36
657,16,-16,-36
658,-7,-38,-4
659,-7,-38,-4
660,-24,5,26
661,24,-116,-23
662,24,-116,-23
663,-20,26,22
664,21,14,-61
665,21,14,-61
666,-2,-31,-3
667,-2,-31,-3
668,-1,-68,16
669,3,26,-36
670,3,26,-36
671,44,5,14
672,27,-68,-27
673,27,-68,-27
674,-9,-7,2
675,-9,-7,2
676,-12,-1,6
677,-16,0,-29
678,-16,0,-29
679,6,-15,-27
680,-28,-11,-22
681,-28,-11,-22
682,-48,5,18
683,-48,5,18
684,38,-15,-20
685,-23,8,1
686,-23,8,1
687,5,21,-14
688,15,5,5
689,15,5,5
690,-23,-47,1
691,-23,-47,1
692,24,-67,-34
693,15,34,-41
694,15,34,-41
695,8,31,-11
696,18,-48,48
697,18,-48,48
698,-13,-35,2
699,-13,-35,2
700,-6,72,-13
701,17,-12,1
702,17,-12,1
703,-14,-42,-18
704,11,-13,14
705,11,-13,14
706,36,26,-18
707,36,26,-18
708,-19,0,14
709,31,-35,-40
710,31,-35,-40
711,-15,-31,-15
712,9,25,14
713,9,25,14
714,32,-46,-39
715,32,-46,-39
716,19,-27,0
717,1,-24,-35
